Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,an2dl,an2dl_rel,kocke,kocke_rel,labirint,labirint_rel,mostovi,mostovi_rel,sudoku,sudoku_rel
Qwen2.5-Coder-32B-Instruct,180.00,,51.81%,40.00%,0.450,21.66,5,110.00,,0.00,,70.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,180.00,,48.95%,40.00%,0.558,37.54,5,110.00,,0.00,,70.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,133.00,,56.19%,20.00%,1.676,28.79,5,29.00,,0.00,,24.00,,30.00,,50.00,
seed-oss_0,132.00,,44.83%,40.00%,0.124,9.96,5,12.00,,0.00,,70.00,,0.00,,50.00,
Llama-4-Scout,109.00,,48.02%,20.00%,1.688,18.62,5,29.00,,0.00,,0.00,,30.00,,50.00,
Llama-3.3-70B-Instruct,54.00,,28.00%,0.00%,0.834,2.53,5,0.00,,0.00,,24.00,,30.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,29.00,,26.48%,0.00%,0.962,13.41,5,29.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,29.00,,16.67%,0.00%,0.964,13.37,5,29.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,29.00,,25.81%,0.00%,0.968,13.41,5,29.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,29.00,,26.48%,0.00%,0.974,13.41,5,29.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,29.00,,21.90%,0.00%,0.974,13.40,5,29.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,29.00,,19.33%,0.00%,0.976,16.25,5,29.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,29.00,,25.81%,0.00%,0.988,50.65,5,29.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
Qwen2.5-Coder-14B-Instruct,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,
Llama-3.1-8B-Instruct,0.00,,9.14%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,10.64%,0.00%,0.100,14.62,5,0.00,,0.00,,0.00,,0.00,,0.00,
