Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Colorful_graph,Colorful_graph_rel,Hard_problem,Hard_problem_rel,Legs_warm-up_exercise,Legs_warm-up_exercise_rel,Lunch,Lunch_rel,Paired_roads,Paired_roads_rel,Space_accident,Space_accident_rel,Tournament,Tournament_rel,Yet_another_queries,Yet_another_queries_rel,You_need_to_train_more,You_need_to_train_more_rel
Qwen2.5-Coder-14B-Instruct,373.00,41.44%,50.80%,22.22%,0.420,2.48,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,80.00,80.00%,19.00,19.00%,74.00,74.00%
Qwen3-8B-Non-Thinking,373.00,41.44%,49.11%,22.22%,0.478,1.91,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,80.00,80.00%,19.00,19.00%,74.00,74.00%
gpt-4.1,338.00,37.56%,48.81%,11.11%,0.349,43.37,9,0.00,0.00%,100.00,100.00%,0.00,0.00%,16.00,16.00%,0.00,0.00%,49.00,49.00%,80.00,80.00%,19.00,19.00%,74.00,74.00%
OlympicCoder-7B,306.00,34.00%,42.86%,22.22%,0.108,31.91,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,26.00,26.00%,80.00,80.00%,0.00,0.00%,0.00,0.00%
seed-oss_4096,306.00,,42.46%,22.22%,0.276,40.93,9,100.00,,100.00,,0.00,,16.00,,0.00,,10.00,,80.00,,0.00,,0.00,
deepseek-chat,299.00,33.22%,45.96%,11.11%,0.614,8.46,9,10.00,10.00%,100.00,100.00%,0.00,0.00%,16.00,16.00%,0.00,0.00%,0.00,0.00%,80.00,80.00%,19.00,19.00%,74.00,74.00%
seed-oss_1024,296.00,,39.14%,22.22%,0.628,32.49,9,100.00,,100.00,,0.00,,16.00,,0.00,,0.00,,80.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,289.00,32.11%,40.50%,11.11%,0.714,6.72,9,0.00,0.00%,100.00,100.00%,0.00,0.00%,16.00,16.00%,0.00,0.00%,0.00,0.00%,80.00,80.00%,19.00,19.00%,74.00,74.00%
Llama-3.3-70B-Instruct,284.00,,40.02%,22.22%,0.546,12.15,9,0.00,,100.00,,0.00,,0.00,,0.00,,10.00,,100.00,,19.00,,55.00,
Mistral-Small-3.1-24B-2503,273.00,30.33%,37.69%,11.11%,0.536,5.28,9,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,80.00,80.00%,19.00,19.00%,74.00,74.00%
Qwen2.5-72B,264.00,,38.27%,11.11%,0.402,5.64,9,0.00,,100.00,,0.00,,0.00,,0.00,,10.00,,80.00,,19.00,,55.00,
Qwen3-30B-Non-Thinking,264.00,29.33%,35.79%,11.11%,0.450,32.69,9,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,80.00,80.00%,0.00,0.00%,74.00,74.00%
seed-oss_0,263.00,,40.06%,11.11%,0.260,30.45,9,64.00,,100.00,,0.00,,0.00,,0.00,,0.00,,80.00,,19.00,,0.00,
Qwen3-32B-Non-Thinking,254.00,28.22%,38.76%,11.11%,0.600,18.21,9,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,80.00,80.00%,19.00,19.00%,55.00,55.00%
Qwen3-14B-Non-Thinking,228.00,25.33%,36.60%,22.22%,1.032,43.45,9,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,100.00,100.00%,0.00,0.00%,18.00,18.00%
seed-oss_2048,221.00,,36.04%,11.11%,0.303,31.61,9,10.00,,100.00,,0.00,,16.00,,0.00,,15.00,,80.00,,0.00,,0.00,
Llama-4-Scout,219.00,24.33%,29.90%,22.22%,0.314,1.24,9,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,19.00,19.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,199.00,22.11%,29.59%,11.11%,0.257,2.70,9,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,80.00,80.00%,19.00,19.00%,0.00,0.00%
seed-oss_512,190.00,,30.71%,11.11%,0.027,1.03,9,0.00,,100.00,,0.00,,0.00,,0.00,,10.00,,80.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,190.00,21.11%,25.61%,11.11%,0.071,28.86,9,10.00,10.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,80.00,80.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,180.00,20.00%,25.74%,11.11%,0.770,5.01,9,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,80.00,80.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,165.00,18.33%,27.43%,11.11%,0.234,1.61,9,0.00,0.00%,65.00,65.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,112.00,12.44%,23.67%,0.00%,0.499,1.65,9,0.00,0.00%,32.00,32.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,80.00,80.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,100.00,100.00%,100.00%,100.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00,100.00%,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Qwen-32B,100.00,100.00%,100.00%,100.00%,0.110,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00,100.00%,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Llama-8B,100.00,11.11%,11.89%,11.11%,0.010,0.00,9,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,80.00,80.00%,97.15%,0.00%,0.100,2.33,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.00,80.00%,N/A,N/A,N/A,N/A
Qwen2.5-Coder-32B-Instruct,80.00,80.00%,97.15%,0.00%,0.100,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.00,80.00%,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,0.00,0.00%,N/A,N/A
