Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,d1p1,d1p1_rel,d1p2,d1p2_rel,d1p3,d1p3_rel,d2p1,d2p1_rel,d2p2,d2p2_rel,d2p3,d2p3_rel
seed-oss_1024,1.00,,8.57%,0.00%,0.250,24.20,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
seed-oss_4096,1.00,,15.83%,0.00%,0.263,18.90,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
deepseek-chat,1.00,,13.18%,0.00%,0.270,123.46,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,1.00,,8.13%,0.00%,0.318,195.96,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
Qwen2.5-72B,1.00,,8.32%,0.00%,0.697,193.53,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,1.00,,3.97%,0.00%,1.143,4.47,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,1.00,,4.99%,0.00%,1.545,189.84,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,
Llama-4-Scout,0.00,,6.61%,0.00%,0.047,6.75,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,2.18%,0.00%,0.245,193.06,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,0.00,,8.64%,0.00%,0.395,191.80,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,0.00,,4.79%,0.00%,0.987,5.66,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,0.00,,1.22%,0.00%,1.030,4.58,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,0.00,,6.08%,0.00%,1.340,181.71,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
