Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,boi,boi_rel,dev,dev_rel,exp,exp_rel,gcd,gcd_rel,tou,tou_rel,tow,tow_rel
Qwen3-32B-Non-Thinking,0.00,,5.33%,0.00%,0.338,17.97,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,0.00,,3.53%,0.00%,0.345,52.87,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,1.83%,0.00%,0.345,45.34,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,0.00,,6.69%,0.00%,0.348,25.27,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,0.00,,3.31%,0.00%,0.383,39.66,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,0.00,,4.47%,0.00%,0.390,76.90,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,1.11%,0.00%,0.453,13.81,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,0.00,,1.76%,0.00%,0.595,14.16,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B,0.00,,9.62%,0.00%,0.652,10.75,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B,0.00,,6.30%,0.00%,0.657,28.30,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,0.00,,4.59%,0.00%,0.872,30.82,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,0.00,,4.26%,0.00%,0.903,48.41,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_16384,0.00,,10.61%,0.00%,0.988,24.96,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
