Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bikesvscars,bikesvscars_rel,candy,candy_rel,carnival,carnival_rel,findthebox,findthebox_rel,guessinggame,guessinggame_rel,inflation,inflation_rel,ppp,ppp_rel,sopsug,sopsug_rel
gemini-2.5-flash,236.00,29.50%,30.65%,25.00%,0.492,16.95,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,36.00,36.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,236.00,29.50%,30.65%,25.00%,0.492,4.26,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,36.00,36.00%,0.00,0.00%
gpt-o3-mini-high,236.00,29.50%,30.65%,25.00%,0.497,4.44,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,36.00,36.00%,0.00,0.00%
seed-oss_-1,236.00,29.50%,30.65%,25.00%,0.506,4.52,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,36.00,36.00%,0.00,0.00%
Qwen3-32B,234.00,,39.84%,25.00%,0.454,4.91,8,34.00,,0.00,,100.00,,0.00,,0.00,,100.00,,0.00,,0.00,
seed-oss_4096,200.00,,25.00%,25.00%,0.025,2.52,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
seed-oss_8192,200.00,,25.71%,25.00%,0.029,9.82,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
gpt-oss-20b-medium,200.00,25.00%,25.71%,25.00%,0.037,3.19,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-low,200.00,25.00%,25.18%,25.00%,0.056,4.93,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp1,200.00,25.00%,25.71%,25.00%,0.056,3.77,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-medium,200.00,25.00%,25.71%,25.00%,0.059,4.84,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-low,200.00,25.00%,25.36%,25.00%,0.060,4.84,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,200.00,,29.54%,25.00%,0.235,121.34,8,0.00,,0.00,,100.00,,0.00,,0.00,,100.00,,0.00,,0.00,
deepseek-reasoner,200.00,25.00%,25.71%,25.00%,0.497,4.04,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,200.00,25.00%,25.54%,25.00%,0.499,4.76,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,158.00,19.75%,26.16%,12.50%,0.229,126.67,8,0.00,0.00%,22.00,22.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,36.00,36.00%,0.00,0.00%
seed-oss_2048,141.00,,23.61%,12.50%,0.569,70.91,8,0.00,,41.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
deepseek-chat,136.00,17.00%,20.72%,12.50%,0.191,126.37,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,36.00,36.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,119.00,14.88%,23.70%,12.50%,0.516,3.75,8,0.00,0.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,100.00,,15.07%,12.50%,0.019,2.06,8,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
seed-oss_1024,100.00,,15.33%,12.50%,0.028,3.32,8,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
Qwen3-8B,100.00,12.50%,15.79%,12.50%,0.204,127.44,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B,100.00,12.50%,15.79%,12.50%,0.205,126.40,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_512,84.00,,12.57%,0.00%,0.015,1.88,8,0.00,,0.00,,0.00,,0.00,,0.00,,84.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,42.00,5.25%,8.41%,0.00%,0.044,5.05,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,42.00,42.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,42.00,5.25%,9.20%,0.00%,0.473,1.50,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,42.00,42.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,39.00,4.88%,11.49%,0.00%,0.511,1.81,8,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,33.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,39.00,,12.88%,0.00%,0.854,1.94,8,0.00,,0.00,,11.00,,0.00,,0.00,,28.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,28.00,3.50%,9.22%,0.00%,0.486,1.19,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,28.00,28.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,25.00,3.12%,9.99%,0.00%,0.510,4.88,8,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,23.00,2.88%,4.12%,0.00%,0.916,2.61,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,23.00,23.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,19.00,2.38%,6.57%,0.00%,0.019,1.95,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,19.00,2.38%,3.47%,0.00%,0.031,2.64,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,19.00,,7.66%,0.00%,0.051,2.37,8,0.00,,0.00,,0.00,,0.00,,0.00,,19.00,,0.00,,0.00,
Llama-4-Scout,19.00,2.38%,6.35%,0.00%,0.094,154.16,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,19.00,2.38%,7.20%,0.00%,0.191,125.32,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,14.00,1.75%,8.95%,0.00%,0.466,4.42,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,14.00,14.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,N/A,N/A,N/A,N/A,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,3.62%,0.00%,0.009,0.00,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,0.00,0.00%,3.51%,0.00%,0.023,0.52,3,N/A,N/A,N/A,N/A,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Qwen-32B,0.00,0.00%,0.00%,0.00%,0.023,0.00,3,N/A,N/A,N/A,N/A,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,0.00%,0.00%,0.023,0.00,3,N/A,N/A,N/A,N/A,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A
Qwen3-4B-Non-Thinking,0.00,0.00%,5.89%,0.00%,0.508,2.61,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
