Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Farmer_Johns_Favorite_Permutation,bronze_Farmer_Johns_Favorite_Permutation_rel,bronze_Logical_Moos,bronze_Logical_Moos_rel,bronze_Walking_Along_a_Fence,bronze_Walking_Along_a_Fence_rel,gold_Cowreography,gold_Cowreography_rel,gold_Grass_Segments,gold_Grass_Segments_rel,gold_Smaller_Averages,gold_Smaller_Averages_rel,platinum_Activating_Robots,platinum_Activating_Robots_rel,platinum_Identity_Theft,platinum_Identity_Theft_rel,platinum_Splitting_Haybales,platinum_Splitting_Haybales_rel,silver_Bessies_Interview,silver_Bessies_Interview_rel,silver_Painting_Fence_Posts,silver_Painting_Fence_Posts_rel,silver_The_Winning_Gene,silver_The_Winning_Gene_rel
seed-oss_-1,2065.00,53.39%,54.87%,41.67%,0.535,13.94,12,0.00,0.00%,333.00,106.73%,333.00,100.91%,100.00,31.25%,333.00,103.10%,333.00,104.06%,200.00,62.50%,50.00,15.62%,17.00,5.31%,33.00,10.31%,0.00,0.00%,333.00,100.91%
gemini-2.5-flash,2063.00,53.31%,55.70%,33.33%,1.026,102.97,12,333.00,100.91%,333.00,106.73%,333.00,100.91%,133.00,41.56%,333.00,103.10%,104.00,32.50%,200.00,62.50%,50.00,15.62%,67.00,20.94%,133.00,41.56%,0.00,0.00%,44.00,13.33%
gpt-oss-120b_sp2,1986.00,51.33%,52.35%,33.33%,0.513,10.87,12,0.00,0.00%,333.00,106.73%,333.00,100.91%,133.00,41.56%,333.00,103.10%,271.00,84.69%,200.00,62.50%,0.00,0.00%,17.00,5.31%,33.00,10.31%,0.00,0.00%,333.00,100.91%
gpt-oss-20b-medium,1781.00,45.97%,46.59%,33.33%,0.421,13.74,12,0.00,0.00%,333.00,106.73%,333.00,100.91%,100.00,31.25%,333.00,103.10%,0.00,0.00%,200.00,62.50%,33.00,10.31%,0.00,0.00%,33.00,10.31%,83.00,25.62%,333.00,100.91%
seed-oss_16384,1659.00,,45.35%,25.00%,0.684,47.63,12,0.00,,333.00,,333.00,,100.00,,333.00,,271.00,,133.00,,17.00,,17.00,,33.00,,0.00,,89.00,
Qwen3-32B,1621.00,,43.50%,25.00%,1.058,28.77,12,0.00,,333.00,,333.00,,100.00,,333.00,,188.00,,67.00,,50.00,,17.00,,67.00,,0.00,,133.00,
deepseek-reasoner,1479.00,38.26%,40.49%,16.67%,0.603,14.43,12,0.00,0.00%,181.00,58.01%,333.00,100.91%,100.00,31.25%,333.00,103.10%,188.00,58.75%,200.00,62.50%,50.00,15.62%,17.00,5.31%,33.00,10.31%,0.00,0.00%,44.00,13.33%
Qwen3-14B,1227.00,,32.65%,16.67%,0.806,51.63,12,0.00,,111.00,,333.00,,100.00,,333.00,,0.00,,167.00,,0.00,,17.00,,33.00,,0.00,,133.00,
QwQ-32B,1224.00,,36.16%,8.33%,0.862,13.15,12,0.00,,236.00,,333.00,,100.00,,118.00,,104.00,,33.00,,50.00,,17.00,,100.00,,0.00,,133.00,
Qwen3-30B,1160.00,,32.99%,16.67%,0.818,18.24,12,0.00,,69.00,,333.00,,100.00,,333.00,,125.00,,33.00,,50.00,,17.00,,33.00,,0.00,,67.00,
seed-oss_8192,1146.00,,30.47%,16.67%,0.753,29.05,12,0.00,,153.00,,333.00,,100.00,,333.00,,83.00,,33.00,,17.00,,17.00,,33.00,,0.00,,44.00,
claude-sonnet-4.5,1135.00,29.26%,37.11%,0.00%,2.250,110.68,12,167.00,50.61%,97.00,31.09%,167.00,50.61%,33.00,10.31%,39.00,12.07%,188.00,58.75%,133.00,41.56%,183.00,57.19%,17.00,5.31%,0.00,0.00%,0.00,0.00%,111.00,33.64%
Qwen3-8B,1121.00,28.85%,31.80%,8.33%,0.761,19.92,12,0.00,0.00%,83.00,26.60%,333.00,100.91%,100.00,31.25%,118.00,36.53%,104.00,32.50%,200.00,62.50%,0.00,0.00%,17.00,5.31%,33.00,10.31%,0.00,0.00%,133.00,40.30%
gpt-oss-120b-low,1053.00,27.10%,27.80%,8.33%,0.395,39.21,12,0.00,0.00%,153.00,49.04%,333.00,100.91%,100.00,31.25%,118.00,36.53%,0.00,0.00%,100.00,31.25%,0.00,0.00%,0.00,0.00%,33.00,10.31%,83.00,25.62%,133.00,40.30%
OpenCodeReasoning-Nemotron-32B-IOI,901.00,25.38%,29.02%,9.09%,0.981,26.81,11,0.00,0.00%,97.00,31.09%,333.00,100.91%,100.00,31.25%,N/A,N/A,104.00,32.50%,117.00,36.56%,50.00,15.62%,0.00,0.00%,100.00,31.25%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,887.00,,26.33%,8.33%,0.562,65.70,12,0.00,,83.00,,333.00,,0.00,,118.00,,104.00,,33.00,,50.00,,0.00,,33.00,,0.00,,133.00,
gpt-4.1,883.00,22.64%,26.15%,8.33%,0.760,9.20,12,33.00,10.00%,28.00,8.97%,333.00,100.91%,33.00,10.31%,118.00,36.53%,188.00,58.75%,33.00,10.31%,0.00,0.00%,17.00,5.31%,33.00,10.31%,0.00,0.00%,67.00,20.30%
gpt-oss-20b-low,832.00,21.40%,25.21%,8.33%,0.589,12.00,12,0.00,0.00%,83.00,26.60%,333.00,100.91%,100.00,31.25%,118.00,36.53%,104.00,32.50%,0.00,0.00%,0.00,0.00%,17.00,5.31%,33.00,10.31%,0.00,0.00%,44.00,13.33%
Qwen3-4B,672.00,17.16%,22.31%,8.33%,0.746,25.33,12,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%,118.00,36.53%,104.00,32.50%,33.00,10.31%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,67.00,20.30%
deepseek-chat,630.00,16.27%,19.92%,0.00%,1.214,36.51,12,0.00,0.00%,69.00,22.12%,167.00,50.61%,100.00,31.25%,118.00,36.53%,104.00,32.50%,0.00,0.00%,0.00,0.00%,17.00,5.31%,33.00,10.31%,0.00,0.00%,22.00,6.67%
DeepSeek-R1-Distill-Llama-70B,513.00,13.12%,17.48%,8.33%,0.783,38.80,12,0.00,0.00%,42.00,13.46%,333.00,100.91%,0.00,0.00%,0.00,0.00%,104.00,32.50%,17.00,5.31%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,462.00,11.88%,17.84%,0.00%,1.501,55.02,12,33.00,10.00%,97.00,31.09%,167.00,50.61%,0.00,0.00%,39.00,12.07%,42.00,13.12%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,67.00,20.30%
seed-oss_4096,433.00,,12.01%,8.33%,0.018,1.87,12,0.00,,0.00,,333.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,428.00,,11.27%,0.00%,0.432,22.61,12,0.00,,56.00,,267.00,,33.00,,0.00,,0.00,,17.00,,0.00,,0.00,,33.00,,0.00,,22.00,
Qwen3-30B-Non-Thinking,384.00,9.87%,13.07%,0.00%,1.108,18.98,12,0.00,0.00%,83.00,26.60%,167.00,50.61%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,17.00,5.31%,33.00,10.31%,0.00,0.00%,67.00,20.30%
Qwen3-32B-Non-Thinking,373.00,9.57%,11.76%,0.00%,0.708,19.75,12,0.00,0.00%,56.00,17.95%,167.00,50.61%,33.00,10.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,33.00,10.31%,0.00,0.00%,67.00,20.30%
seed-oss_1024,309.00,,9.24%,0.00%,0.422,3.48,12,0.00,,42.00,,167.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,305.00,,10.03%,0.00%,0.575,0.99,12,0.00,,0.00,,0.00,,0.00,,0.00,,188.00,,33.00,,0.00,,17.00,,0.00,,0.00,,67.00,
Qwen2.5-Coder-14B-Instruct,278.00,7.24%,10.71%,0.00%,0.875,31.57,12,0.00,0.00%,97.00,31.09%,0.00,0.00%,0.00,0.00%,39.00,12.07%,42.00,13.12%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,67.00,20.30%
Llama-3.3-70B-Instruct,253.00,,10.48%,0.00%,0.863,7.10,12,0.00,,97.00,,0.00,,0.00,,39.00,,0.00,,0.00,,0.00,,17.00,,33.00,,0.00,,67.00,
Qwen2.5-Coder-32B-Instruct,246.00,,9.13%,0.00%,0.876,29.56,12,0.00,,42.00,,0.00,,0.00,,0.00,,104.00,,0.00,,0.00,,0.00,,33.00,,0.00,,67.00,
OlympicCoder-7B,242.00,6.25%,8.64%,0.00%,0.434,2.33,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,31.25%,0.00,0.00%,42.00,13.12%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,67.00,20.30%
seed-oss_0,228.00,,6.69%,0.00%,0.223,2.34,12,0.00,,28.00,,167.00,,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,214.00,,6.79%,0.00%,0.615,4.86,12,0.00,,14.00,,167.00,,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,184.00,4.72%,10.02%,0.00%,1.063,29.49,12,33.00,10.00%,28.00,8.97%,0.00,0.00%,0.00,0.00%,39.00,12.07%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,67.00,20.30%
Qwen3-8B-Non-Thinking,171.00,4.40%,6.95%,0.00%,0.711,53.23,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,104.00,32.50%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%
Qwen3-14B-Non-Thinking,150.00,3.85%,5.93%,0.00%,0.676,3.70,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,33.00,10.31%,0.00,0.00%,67.00,20.30%
Qwen2.5-72B,128.00,,7.36%,0.00%,0.837,5.39,12,0.00,,28.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,33.00,,0.00,,67.00,
Qwen3-4B-Non-Thinking,106.00,2.70%,4.53%,0.00%,0.516,26.01,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,39.00,12.07%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%
Mistral-Small-3.1-24B-2503,95.00,2.44%,5.82%,0.00%,0.874,27.64,12,0.00,0.00%,28.00,8.97%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%
DeepSeek-Coder-V2-Lite-Instruct,89.00,2.31%,5.17%,0.00%,0.970,80.26,12,0.00,0.00%,28.00,8.97%,0.00,0.00%,0.00,0.00%,39.00,12.07%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,22.00,6.67%
Qwen2.5-Coder-7B-Instruct,39.00,1.00%,2.07%,0.00%,0.449,2.03,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,22.00,6.67%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,1.20%,0.00%,0.040,1.62,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,1.61%,0.00%,0.263,1.91,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
