Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2023-ho-t1_Stone_Arranging_2,2023-ho-t1_Stone_Arranging_2_rel,2023-ho-t2_Advertisement_2,2023-ho-t2_Advertisement_2_rel,2023-ho-t3_Maze,2023-ho-t3_Maze_rel,2023-ho-t4_Cat_Exercise,2023-ho-t4_Cat_Exercise_rel,2023-ho-t5_Modern_Machine,2023-ho-t5_Modern_Machine_rel
OpenCodeReasoning-Nemotron-32B-IOI,130.00,26.00%,51.23%,20.00%,1.126,5.11,5,0.00,0.00%,100.00,100.00%,27.00,27.00%,0.00,0.00%,3.00,3.00%
DeepSeek-R1-Distill-Llama-70B,130.00,26.00%,51.23%,20.00%,1.220,3.26,5,0.00,0.00%,100.00,100.00%,27.00,27.00%,0.00,0.00%,3.00,3.00%
QwQ-32B,111.00,22.20%,47.19%,20.00%,0.674,4.18,5,0.00,0.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,3.00,3.00%
gpt-oss-20b-low,111.00,22.20%,43.08%,20.00%,0.720,8.33,5,0.00,0.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,3.00,3.00%
gpt-oss-120b-low,108.00,21.60%,41.10%,20.00%,0.126,5.47,5,0.00,0.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,103.00,20.60%,39.07%,20.00%,0.674,1.52,5,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
OlympicCoder-7B,103.00,20.60%,38.72%,20.00%,0.674,21.22,5,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
Qwen3-4B,100.00,20.00%,29.39%,20.00%,0.704,1.65,5,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,100.00,20.00%,29.39%,20.00%,0.716,1.69,5,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
grok-4-fast-reasoning,65.00,21.67%,59.47%,0.00%,1.807,11.22,3,N/A,N/A,N/A,N/A,8.00,8.00%,54.00,54.00%,3.00,3.00%
Llama-3.3-70B-Instruct,36.00,7.20%,39.42%,0.00%,1.160,3.22,5,25.00,25.00%,0.00,0.00%,8.00,8.00%,0.00,0.00%,3.00,3.00%
deepseek-chat,30.00,6.00%,44.50%,0.00%,1.590,3.14,5,0.00,0.00%,0.00,0.00%,27.00,27.00%,0.00,0.00%,3.00,3.00%
gpt-4.1,21.00,4.20%,32.04%,0.00%,0.678,5.79,5,0.00,0.00%,10.00,10.00%,8.00,8.00%,0.00,0.00%,3.00,3.00%
Qwen3-32B-Non-Thinking,21.00,4.20%,30.41%,0.00%,0.684,6.92,5,0.00,0.00%,10.00,10.00%,8.00,8.00%,0.00,0.00%,3.00,3.00%
Qwen3-8B-Non-Thinking,13.00,2.60%,23.42%,0.00%,0.634,3.15,5,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
Mistral-Large-Instruct-2411,13.00,2.60%,24.57%,0.00%,0.662,2.83,5,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
Qwen2.5-Coder-14B-Instruct,13.00,2.60%,23.42%,0.00%,0.680,1.55,5,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
Qwen2.5-72B,13.00,2.60%,23.42%,0.00%,0.712,5.98,5,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
Qwen3-30B-Non-Thinking,13.00,2.60%,30.20%,0.00%,1.122,4.17,5,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
seed-oss_1024,10.00,,14.73%,0.00%,0.052,5.06,5,0.00,,10.00,,0.00,,0.00,,0.00,
seed-oss_512,10.00,,14.73%,0.00%,0.494,5.79,5,0.00,,10.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,10.00,2.00%,22.10%,0.00%,0.634,2.17,5,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,10.00,2.00%,17.89%,0.00%,0.704,1.40,5,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,3.00,0.60%,19.93%,0.00%,0.664,2.16,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
Qwen3-4B-Non-Thinking,3.00,0.60%,16.34%,0.00%,1.110,1.05,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,0.00,,11.07%,0.00%,0.026,1.34,5,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_4096,0.00,,8.44%,0.00%,0.030,3.25,5,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,6.42%,0.00%,0.032,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,0.00,0.00%,7.87%,0.00%,0.066,0.92,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,10.10%,0.00%,0.402,1.11,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,20.57%,0.00%,0.544,0.98,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,0.00,,9.39%,0.00%,0.608,2.96,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,0.00%,7.87%,0.00%,0.630,8.36,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,10.24%,0.00%,0.662,1.03,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
