Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Alice_Bob_and_two_arrays,Alice_Bob_and_two_arrays_rel,Best_Runner,Best_Runner_rel,Card_Flip,Card_Flip_rel,Cute_Subsequences,Cute_Subsequences_rel,Dreaming_is_not_harmful,Dreaming_is_not_harmful_rel,Order_Statistics,Order_Statistics_rel,Strong_Connectivity_Strikes_Back,Strong_Connectivity_Strikes_Back_rel,The_arithmetic_exercise,The_arithmetic_exercise_rel
deepseek-reasoner,369.00,,50.87%,37.50%,0.686,5.74,8,100.00,,60.00,,0.00,,100.00,,0.00,,5.00,,100.00,,4.00,
Qwen3-30B,358.00,,53.10%,37.50%,1.012,10.13,8,100.00,,50.00,,0.00,,100.00,,0.00,,4.00,,100.00,,4.00,
Qwen3-14B,354.00,,48.24%,37.50%,0.439,9.88,8,100.00,,50.00,,0.00,,100.00,,0.00,,0.00,,100.00,,4.00,
DeepSeek-R1-Distill-Llama-70B,343.00,,51.52%,37.50%,0.761,7.12,8,100.00,,35.00,,0.00,,100.00,,0.00,,4.00,,100.00,,4.00,
Qwen3-8B,342.00,,53.57%,37.50%,1.036,18.30,8,100.00,,34.00,,0.00,,100.00,,0.00,,4.00,,100.00,,4.00,
Qwen3-32B,320.00,,42.95%,25.00%,0.156,6.69,8,100.00,,50.00,,0.00,,100.00,,0.00,,0.00,,66.00,,4.00,
gemini-2.5-flash,289.00,,45.56%,25.00%,1.087,60.03,8,20.00,,39.00,,0.00,,100.00,,0.00,,0.00,,100.00,,30.00,
seed-oss_8192,263.00,,38.35%,12.50%,0.674,7.86,8,100.00,,79.00,,10.00,,0.00,,0.00,,4.00,,66.00,,4.00,
Llama-3.3-70B-Instruct,256.00,,47.24%,25.00%,1.415,15.71,8,100.00,,23.00,,0.00,,29.00,,0.00,,4.00,,100.00,,0.00,
Qwen3-4B,242.00,,41.74%,25.00%,0.690,7.02,8,100.00,,34.00,,0.00,,0.00,,0.00,,4.00,,100.00,,4.00,
deepseek-chat,238.00,,33.32%,25.00%,0.168,38.11,8,100.00,,34.00,,0.00,,0.00,,0.00,,0.00,,100.00,,4.00,
gpt-4.1,228.00,,33.24%,25.00%,0.451,28.85,8,100.00,,11.00,,0.00,,17.00,,0.00,,0.00,,100.00,,0.00,
Mistral-Large-Instruct-2411,227.00,,37.47%,25.00%,0.826,6.41,8,100.00,,23.00,,0.00,,0.00,,0.00,,4.00,,100.00,,0.00,
Qwen2.5-Coder-32B-Instruct,218.00,,36.85%,12.50%,1.032,19.22,8,100.00,,23.00,,0.00,,0.00,,10.00,,4.00,,77.00,,4.00,
seed-oss_1024,216.00,,29.26%,25.00%,0.384,12.21,8,100.00,,16.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,
Qwen2.5-72B,211.00,,35.02%,12.50%,1.036,14.92,8,100.00,,11.00,,0.00,,0.00,,10.00,,4.00,,86.00,,0.00,
Qwen2.5-Coder-14B-Instruct,208.00,,34.76%,25.00%,0.917,8.20,8,100.00,,0.00,,0.00,,0.00,,0.00,,4.00,,100.00,,4.00,
Qwen3-32B-Non-Thinking,204.00,,31.28%,25.00%,0.333,16.52,8,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,4.00,
DeepSeek-R1-Distill-Qwen-14B,204.00,,30.37%,12.50%,0.681,8.28,8,100.00,,30.00,,0.00,,0.00,,0.00,,4.00,,66.00,,4.00,
seed-oss_4096,202.00,,30.28%,12.50%,0.417,6.21,8,71.00,,27.00,,0.00,,0.00,,0.00,,0.00,,100.00,,4.00,
DeepSeek-R1-Distill-Qwen-32B,186.00,,33.80%,0.00%,1.036,6.59,8,62.00,,50.00,,0.00,,0.00,,0.00,,4.00,,66.00,,4.00,
Codestral-22B-v0.1,182.00,,23.29%,12.50%,0.614,4.49,8,100.00,,16.00,,0.00,,0.00,,0.00,,0.00,,66.00,,0.00,
seed-oss_2048,176.00,,24.47%,12.50%,0.084,3.86,8,100.00,,10.00,,0.00,,0.00,,0.00,,0.00,,66.00,,0.00,
Llama-3.1-8B-Instruct,170.00,,22.65%,0.00%,0.138,3.65,8,93.00,,11.00,,0.00,,0.00,,0.00,,0.00,,66.00,,0.00,
Mistral-Small-3.1-24B-2503,166.00,,22.98%,12.50%,0.290,4.59,8,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,66.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,163.00,,27.50%,0.00%,1.375,17.08,8,93.00,,0.00,,0.00,,0.00,,0.00,,4.00,,66.00,,0.00,
Llama-4-Scout,123.00,,20.72%,0.00%,0.250,50.42,8,57.00,,0.00,,0.00,,0.00,,0.00,,0.00,,66.00,,0.00,
seed-oss_0,117.00,,24.97%,12.50%,0.654,9.89,8,13.00,,0.00,,0.00,,0.00,,0.00,,4.00,,100.00,,0.00,
Qwen3-4B-Non-Thinking,104.00,,21.42%,12.50%,0.899,2.72,8,0.00,,0.00,,0.00,,0.00,,0.00,,4.00,,100.00,,0.00,
Qwen3-14B-Non-Thinking,104.00,,20.81%,12.50%,0.901,7.19,8,100.00,,0.00,,0.00,,0.00,,0.00,,4.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,100.00,,16.30%,12.50%,0.179,35.46,8,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,100.00,,16.69%,12.50%,1.205,18.60,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,
seed-oss_512,36.00,,6.25%,0.00%,0.176,3.41,8,0.00,,11.00,,0.00,,0.00,,0.00,,0.00,,25.00,,0.00,
Qwen3-8B-Non-Thinking,15.00,,4.54%,0.00%,0.524,62.41,8,0.00,,11.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
