Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Choose_Interval,Choose_Interval_rel,Jump_Civilization,Jump_Civilization_rel,Octagon,Octagon_rel,Ramen,Ramen_rel,Signals,Signals_rel,Skittlez,Skittlez_rel
gpt-oss-120b-medium,148.00,24.67%,37.45%,16.67%,0.528,20.86,6,0.00,0.00%,11.00,11.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%,28.00,28.00%
seed-oss_8192,139.00,,31.79%,16.67%,0.463,24.54,6,0.00,,11.00,,0.00,,0.00,,100.00,,28.00,
gpt-oss-20b-medium,128.00,25.60%,34.46%,20.00%,0.836,24.76,5,N/A,N/A,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,28.00,28.00%
seed-oss_4096,128.00,,30.72%,16.67%,0.453,16.60,6,0.00,,0.00,,0.00,,0.00,,100.00,,28.00,
gpt-oss-120b_sp1,127.00,21.17%,29.85%,16.67%,0.543,31.16,6,0.00,0.00%,11.00,11.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%,7.00,7.00%
gpt-oss-20b-low,118.00,19.67%,38.73%,16.67%,0.567,58.74,6,0.00,0.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,7.00,7.00%
Mistral-Small-3.1-24B-2503,113.00,18.83%,28.88%,16.67%,0.608,54.14,6,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,7.00,7.00%
Mistral-Large-Instruct-2411,107.00,17.83%,26.23%,16.67%,0.140,53.59,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,7.00,7.00%
Qwen2.5-Coder-14B-Instruct,107.00,17.83%,22.87%,16.67%,0.192,79.84,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,7.00,7.00%
seed-oss_2048,107.00,,26.88%,16.67%,0.262,64.05,6,0.00,,0.00,,0.00,,0.00,,100.00,,7.00,
deepseek-reasoner,102.00,17.00%,31.54%,0.00%,0.453,60.01,6,52.00,52.00%,11.00,11.00%,9.00,9.00%,0.00,0.00%,2.00,2.00%,28.00,28.00%
seed-oss_512,100.00,,16.67%,16.67%,0.033,5.96,6,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,
seed-oss_0,100.00,,17.65%,16.67%,0.047,4.17,6,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,
seed-oss_1024,100.00,,20.95%,16.67%,0.058,7.52,6,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,
OlympicCoder-7B,100.00,16.67%,20.03%,16.67%,0.080,10.45,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%
Llama-4-Scout,100.00,16.67%,24.69%,16.67%,0.105,28.83,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%
Qwen3-8B,100.00,16.67%,26.22%,0.00%,0.358,60.94,6,0.00,0.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%,61.00,61.00%,28.00,28.00%
Qwen3-32B,78.00,13.00%,31.78%,0.00%,0.673,33.62,6,0.00,0.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%,39.00,39.00%,28.00,28.00%
Qwen3-8B-Non-Thinking,74.00,12.33%,22.29%,0.00%,0.853,58.58,6,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%,61.00,61.00%,7.00,7.00%
Qwen3-14B,68.00,11.33%,24.42%,0.00%,0.608,57.94,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,61.00,61.00%,7.00,7.00%
Llama-3.3-70B-Instruct,57.00,9.50%,30.31%,0.00%,0.912,108.85,6,7.00,7.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%,37.00,37.00%,7.00,7.00%
gpt-4.1,49.00,8.17%,24.94%,0.00%,0.843,86.79,6,0.00,0.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,28.00,28.00%
Qwen3-14B-Non-Thinking,44.00,7.33%,19.15%,0.00%,0.347,80.48,6,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,28.00,28.00%
Qwen3-30B,41.00,6.83%,19.41%,0.00%,0.508,19.59,6,0.00,0.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,28.00,28.00%
Llama-3.1-8B-Instruct,39.00,6.50%,14.56%,0.00%,0.047,1.21,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,39.00,39.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,38.00,6.33%,23.29%,0.00%,0.202,71.13,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,28.00,28.00%
gpt-oss-20b-high,38.00,12.67%,31.29%,0.00%,0.953,27.31,3,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,10.00,10.00%,28.00,28.00%
Codestral-22B-v0.1,32.00,5.33%,3.31%,0.00%,0.085,0.86,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,32.00,32.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,30.00,5.00%,17.07%,0.00%,0.470,54.75,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,28.00,28.00%
DeepSeek-R1-Distill-Qwen-32B,28.00,4.67%,10.79%,0.00%,0.418,58.21,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,28.00,28.00%
Qwen2.5-72B,20.00,3.33%,10.24%,0.00%,0.518,97.09,6,0.00,0.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,7.00,7.00%
Qwen2.5-Coder-32B-Instruct,20.00,3.33%,17.60%,0.00%,0.882,124.58,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,13.00,13.00%,7.00,7.00%
deepseek-chat,15.00,2.50%,19.05%,0.00%,0.420,55.05,6,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,7.00,7.00%
DeepSeek-Coder-V2-Lite-Instruct,11.00,1.83%,11.69%,0.00%,0.447,1.23,6,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%
Qwen3-4B,9.00,1.50%,12.66%,0.00%,0.243,60.65,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,7.00,7.00%
QwQ-32B,2.00,0.33%,9.43%,0.00%,0.283,8.32,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,2.00,0.33%,4.79%,0.00%,0.322,20.46,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,2.38%,0.00%,0.033,0.56,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.034,1.14,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,8.71%,0.00%,0.067,0.98,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
