Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,j1,j1_rel,j2,j2_rel,j3,j3_rel,j4,j4_rel,j5,j5_rel
gpt-o3-mini-high,75.00,100.00%,100.00%,100.00%,0.038,0.77,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gemini-2.5-flash,75.00,100.00%,100.00%,100.00%,0.038,0.77,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b-high,75.00,100.00%,100.00%,100.00%,0.038,0.77,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
seed-oss_-1,75.00,100.00%,100.00%,100.00%,0.038,0.72,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-20b-low,75.00,100.00%,100.00%,100.00%,0.040,0.89,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gemini-2.5-pro,75.00,100.00%,100.00%,100.00%,0.040,0.76,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-4.1,75.00,100.00%,100.00%,100.00%,0.040,0.82,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
OpenCodeReasoning-Nemotron-32B-IOI,75.00,100.00%,100.00%,100.00%,0.040,0.57,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
deepseek-reasoner,75.00,100.00%,100.00%,100.00%,0.042,1.29,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
DeepSeek-R1-Distill-Llama-70B,75.00,100.00%,100.00%,100.00%,0.044,0.98,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
Qwen3-30B,75.00,100.00%,100.00%,100.00%,0.046,1.34,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-20b-medium,75.00,100.00%,100.00%,100.00%,0.046,0.67,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
QwQ-32B,75.00,,100.00%,100.00%,0.048,1.54,5,15.00,,15.00,,15.00,,15.00,,15.00,
DeepSeek-R1-Distill-Qwen-14B,75.00,,100.00%,100.00%,0.052,1.34,5,15.00,,15.00,,15.00,,15.00,,15.00,
Qwen3-8B,75.00,100.00%,100.00%,100.00%,0.054,1.32,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
DeepSeek-R1-Distill-Qwen-32B,72.00,,96.13%,80.00%,0.054,1.81,5,15.00,,15.00,,15.00,,12.00,,15.00,
Qwen3-32B-Non-Thinking,66.00,88.00%,88.39%,80.00%,0.038,0.73,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,15.00,100.00%
Llama-4-Scout,66.00,88.00%,88.39%,80.00%,0.042,0.34,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,15.00,100.00%
Qwen2.5-Coder-14B-Instruct,66.00,88.00%,88.39%,80.00%,0.042,1.19,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,15.00,100.00%
Mistral-Large-Instruct-2411,66.00,88.00%,88.39%,80.00%,0.042,0.78,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,15.00,100.00%
Qwen2.5-Coder-32B-Instruct,66.00,,88.39%,80.00%,0.044,1.19,5,15.00,,15.00,,15.00,,6.00,,15.00,
OlympicCoder-7B,63.00,84.00%,87.10%,80.00%,0.034,0.61,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,3.00,20.00%,15.00,100.00%
Qwen3-30B-Non-Thinking,63.00,84.00%,87.10%,80.00%,0.038,0.83,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,3.00,20.00%,15.00,100.00%
Qwen3-14B,63.00,84.00%,87.10%,80.00%,0.038,1.19,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,3.00,20.00%,15.00,100.00%
Qwen3-4B,63.00,84.00%,87.10%,80.00%,0.040,1.19,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,3.00,20.00%,15.00,100.00%
Qwen2.5-72B,63.00,84.00%,83.23%,80.00%,0.040,0.88,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,3.00,20.00%,15.00,100.00%
Mistral-Small-3.1-24B-2503,63.00,84.00%,84.52%,80.00%,0.040,1.09,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,3.00,20.00%,15.00,100.00%
seed-oss_8192,60.00,,100.00%,100.00%,0.020,0.97,4,N/A,,15.00,,15.00,,15.00,,15.00,
Codestral-22B-v0.1,60.00,80.00%,82.58%,80.00%,0.036,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,0.00,0.00%,15.00,100.00%
Qwen3-4B-Non-Thinking,60.00,80.00%,81.94%,80.00%,0.044,1.14,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,0.00,0.00%,15.00,100.00%
deepseek-chat,51.00,85.00%,90.32%,75.00%,0.055,1.56,4,N/A,N/A,15.00,100.00%,15.00,100.00%,6.00,40.00%,15.00,100.00%
Llama-3.1-8B-Instruct,51.00,68.00%,64.44%,60.00%,0.026,1.12,5,15.00,100.00%,15.00,100.00%,6.00,40.00%,0.00,0.00%,15.00,100.00%
seed-oss_512,48.00,,79.03%,75.00%,0.023,0.76,4,N/A,,15.00,,15.00,,3.00,,15.00,
Llama-3.3-70B-Instruct,48.00,64.00%,71.23%,60.00%,0.034,1.19,5,15.00,100.00%,0.00,0.00%,15.00,100.00%,3.00,20.00%,15.00,100.00%
Qwen3-8B-Non-Thinking,48.00,64.00%,63.23%,60.00%,0.040,1.20,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,3.00,20.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,45.00,60.00%,60.00%,60.00%,0.024,0.47,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,36.00,48.00%,52.44%,40.00%,0.030,0.78,5,15.00,100.00%,0.00,0.00%,6.00,40.00%,0.00,0.00%,15.00,100.00%
DeepSeek-Coder-V2-Lite-Instruct,36.00,48.00%,52.44%,40.00%,0.032,0.78,5,15.00,100.00%,0.00,0.00%,6.00,40.00%,0.00,0.00%,15.00,100.00%
seed-oss_16384,30.00,,100.00%,100.00%,0.015,0.00,2,15.00,,15.00,,N/A,,N/A,,N/A,
seed-oss_0,15.00,,100.00%,100.00%,0.000,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
seed-oss_4096,15.00,,100.00%,100.00%,0.020,0.00,1,N/A,,15.00,,N/A,,N/A,,N/A,
seed-oss_2048,15.00,,100.00%,100.00%,0.020,0.00,1,N/A,,15.00,,N/A,,N/A,,N/A,
seed-oss_1024,15.00,,100.00%,100.00%,0.020,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%
