Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Air_Cownditioning_II,bronze_Air_Cownditioning_II_rel,bronze_Leaders,bronze_Leaders_rel,bronze_Moo_Operations,bronze_Moo_Operations_rel,gold_Find_and_Replace,gold_Find_and_Replace_rel,gold_Lights_Off,gold_Lights_Off_rel,gold_Moo_Route,gold_Moo_Route_rel,platinum_Mana_Collection,platinum_Mana_Collection_rel,platinum_Subtree_Activation,platinum_Subtree_Activation_rel,platinum_Tractor_Paths,platinum_Tractor_Paths_rel,silver_Find_and_Replace,silver_Find_and_Replace_rel,silver_Following_Directions,silver_Following_Directions_rel,silver_Moo_Route,silver_Moo_Route_rel
seed-oss_16384,1564.00,,42.32%,33.33%,0.560,9.54,12,333.00,,333.00,,333.00,,143.00,,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,,333.00,,56.00,
QwQ-32B,1468.00,,39.65%,33.33%,1.093,22.88,12,333.00,,333.00,,333.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,24.00,,333.00,,56.00,
Qwen3-32B,1388.00,,36.70%,33.33%,0.927,25.86,12,333.00,,333.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,56.00,
gpt-oss-120b-low,1388.00,,36.65%,33.33%,0.933,48.22,12,333.00,,333.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,56.00,
gpt-4.1,1377.00,,36.49%,25.00%,1.484,45.27,12,333.00,,333.00,,333.00,,0.00,,37.00,,0.00,,0.00,,0.00,,0.00,,71.00,,214.00,,56.00,
deepseek-chat,1330.00,,35.12%,25.00%,1.147,34.55,12,333.00,,333.00,,333.00,,0.00,,37.00,,0.00,,0.00,,0.00,,0.00,,0.00,,238.00,,56.00,
Qwen3-14B,1306.00,,35.72%,25.00%,1.545,44.14,12,333.00,,333.00,,333.00,,0.00,,37.00,,0.00,,0.00,,0.00,,0.00,,0.00,,214.00,,56.00,
Qwen3-30B,1235.00,,36.11%,27.27%,1.473,24.87,11,333.00,,333.00,,333.00,,0.00,,37.00,,0.00,,0.00,,N/A,,0.00,,0.00,,143.00,,56.00,
DeepSeek-R1-Distill-Llama-70B,1229.00,,33.76%,25.00%,1.945,53.69,12,333.00,,22.00,,333.00,,0.00,,37.00,,0.00,,0.00,,0.00,,44.00,,71.00,,333.00,,56.00,
DeepSeek-R1-Distill-Qwen-32B,1213.00,,31.77%,25.00%,1.157,27.20,12,333.00,,333.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,214.00,,0.00,
seed-oss_8192,1144.00,,30.17%,25.00%,0.364,8.74,12,333.00,,333.00,,333.00,,48.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,24.00,,56.00,
Qwen3-8B,1092.00,,32.10%,27.27%,0.666,45.52,11,333.00,,333.00,,333.00,,0.00,,37.00,,0.00,,0.00,,N/A,,0.00,,0.00,,0.00,,56.00,
Llama-4-Scout,1091.00,,29.94%,16.67%,1.625,27.24,12,333.00,,244.00,,333.00,,0.00,,19.00,,0.00,,0.00,,0.00,,0.00,,0.00,,143.00,,19.00,
seed-oss_4096,907.00,,22.80%,16.67%,0.013,0.58,12,333.00,,222.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,19.00,
Qwen3-30B-Non-Thinking,839.00,,22.04%,8.33%,0.940,3.47,12,333.00,,244.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,143.00,,19.00,
DeepSeek-R1-Distill-Qwen-14B,737.00,,19.47%,16.67%,0.040,0.15,12,333.00,,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,71.00,,0.00,,0.00,
seed-oss_1024,727.00,,19.00%,16.67%,0.219,25.83,12,333.00,,44.00,,333.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,722.00,,18.71%,16.67%,0.013,1.13,12,333.00,,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56.00,
Qwen2.5-Coder-32B-Instruct,536.00,,15.33%,8.33%,1.361,48.03,12,333.00,,22.00,,0.00,,0.00,,19.00,,0.00,,0.00,,0.00,,0.00,,0.00,,143.00,,19.00,
Llama-3.3-70B-Instruct,512.00,,13.59%,8.33%,1.133,3.54,12,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,143.00,,19.00,
Mistral-Large-Instruct-2411,495.00,,14.48%,8.33%,0.972,3.19,12,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,143.00,,19.00,
seed-oss_512,488.00,,12.32%,8.33%,0.818,3.56,12,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,71.00,,48.00,,19.00,
Qwen3-4B-Non-Thinking,455.00,,12.81%,8.33%,0.028,0.97,12,333.00,,22.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,369.00,,9.54%,8.33%,0.017,0.72,12,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,0.00,,19.00,
DeepSeek-R1-Distill-Llama-8B,366.00,,10.25%,0.00%,0.009,0.00,12,133.00,,0.00,,233.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,134.00,,5.61%,0.00%,0.421,14.14,12,0.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,71.00,,0.00,,19.00,
Qwen2.5-Coder-14B-Instruct,82.00,,3.60%,0.00%,0.431,26.14,12,0.00,,44.00,,0.00,,0.00,,19.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,19.00,
Mistral-Small-3.1-24B-2503,63.00,,2.77%,0.00%,0.216,1.11,12,0.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,19.00,
Codestral-22B-v0.1,63.00,,2.35%,0.00%,0.232,17.66,12,0.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,19.00,
Qwen2.5-Coder-7B-Instruct,41.00,,1.46%,0.00%,0.029,0.50,12,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,19.00,
DeepSeek-Coder-V2-Lite-Instruct,17.00,,0.40%,0.00%,0.168,3.65,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,
Qwen3-4B,0.00,,4.76%,0.00%,0.020,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,
Llama-3.1-8B-Instruct,0.00,,0.89%,0.00%,0.047,21.83,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
gpt-oss-120b-high,0.00,0.00%,4.76%,0.00%,0.060,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
