Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Alien_Homophones,Alien_Homophones_rel,Classic_Tree_Problem,Classic_Tree_Problem_rel,Colorful_Diameter,Colorful_Diameter_rel,Distinctive_Features,Distinctive_Features_rel,Egors_Gaming_Addiction,Egors_Gaming_Addiction_rel,Repainting_the_Table,Repainting_the_Table_rel,Road_Lighting,Road_Lighting_rel,Stone_Enthusiast,Stone_Enthusiast_rel,Ultrafast_train,Ultrafast_train_rel
seed-oss_-1,479.00,53.22%,66.53%,33.33%,1.240,159.33,9,55.00,55.00%,0.00,0.00%,43.00,43.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,13.00,13.00%,100.00,100.00%,68.00,68.00%
seed-oss_8192,471.00,,67.99%,33.33%,1.793,74.50,9,55.00,,0.00,,29.00,,100.00,,15.00,,72.00,,0.00,,100.00,,100.00,
gemini-2.5-flash,466.00,51.78%,67.15%,33.33%,1.667,166.40,9,55.00,55.00%,0.00,0.00%,51.00,51.00%,100.00,100.00%,36.00,36.00%,0.00,0.00%,24.00,24.00%,100.00,100.00%,100.00,100.00%
Qwen3-32B,460.00,,69.16%,22.22%,2.080,142.68,9,89.00,,0.00,,18.00,,30.00,,27.00,,72.00,,24.00,,100.00,,100.00,
grok-4-fast-reasoning,455.00,65.00%,76.60%,42.86%,1.691,53.93,7,56.00,56.00%,N/A,N/A,62.00,62.00%,N/A,N/A,100.00,100.00%,0.00,0.00%,37.00,37.00%,100.00,100.00%,100.00,100.00%
gpt-oss-20b-medium,446.00,49.56%,54.82%,44.44%,0.497,40.79,9,100.00,100.00%,0.00,0.00%,19.00,19.00%,100.00,100.00%,27.00,27.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
Qwen3-30B,397.00,,67.57%,22.22%,2.216,21.37,9,38.00,,0.00,,18.00,,30.00,,15.00,,72.00,,24.00,,100.00,,100.00,
gpt-oss-120b-low,383.00,42.56%,50.55%,33.33%,1.184,72.85,9,100.00,100.00%,0.00,0.00%,29.00,29.00%,100.00,100.00%,12.00,12.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,42.00,42.00%
Qwen3-14B,379.00,,62.90%,22.22%,2.237,26.15,9,38.00,,0.00,,0.00,,30.00,,15.00,,72.00,,24.00,,100.00,,100.00,
gpt-oss-120b_sp4,369.00,41.00%,50.01%,33.33%,0.469,20.45,9,38.00,38.00%,0.00,0.00%,19.00,19.00%,100.00,100.00%,12.00,12.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
deepseek-reasoner,351.00,39.00%,53.59%,22.22%,0.707,33.30,9,55.00,55.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,15.00,15.00%,0.00,0.00%,13.00,13.00%,100.00,100.00%,68.00,68.00%
claude-sonnet-4.5,348.00,43.50%,65.12%,25.00%,2.470,155.11,8,38.00,38.00%,N/A,N/A,29.00,29.00%,30.00,30.00%,27.00,27.00%,0.00,0.00%,24.00,24.00%,100.00,100.00%,100.00,100.00%
Qwen3-8B,325.00,36.11%,56.97%,22.22%,2.216,9.92,9,38.00,38.00%,0.00,0.00%,18.00,18.00%,30.00,30.00%,15.00,15.00%,0.00,0.00%,24.00,24.00%,100.00,100.00%,100.00,100.00%
DeepSeek-R1-Distill-Qwen-32B,314.00,,53.81%,11.11%,1.992,28.51,9,55.00,,0.00,,0.00,,30.00,,15.00,,72.00,,0.00,,100.00,,42.00,
QwQ-32B,313.00,,54.62%,22.22%,1.181,67.39,9,100.00,,0.00,,0.00,,30.00,,0.00,,17.00,,24.00,,100.00,,42.00,
gpt-oss-20b-low,303.00,33.67%,41.54%,22.22%,0.630,41.31,9,100.00,100.00%,0.00,0.00%,19.00,19.00%,30.00,30.00%,12.00,12.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,42.00,42.00%
seed-oss_4096,293.00,,41.78%,25.00%,1.351,13.01,8,N/A,,0.00,,21.00,,0.00,,0.00,,72.00,,0.00,,100.00,,100.00,
OpenCodeReasoning-Nemotron-32B-IOI,253.00,28.11%,42.65%,22.22%,1.013,12.29,9,8.00,8.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,15.00,15.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
deepseek-chat,253.00,28.11%,55.39%,11.11%,2.327,57.77,9,38.00,38.00%,0.00,0.00%,29.00,29.00%,30.00,30.00%,15.00,15.00%,0.00,0.00%,24.00,24.00%,100.00,100.00%,17.00,17.00%
Qwen3-4B,246.00,27.33%,48.90%,11.11%,1.997,12.74,9,38.00,38.00%,0.00,0.00%,18.00,18.00%,30.00,30.00%,8.00,8.00%,0.00,0.00%,10.00,10.00%,100.00,100.00%,42.00,42.00%
DeepSeek-R1-Distill-Qwen-14B,240.00,,33.22%,22.22%,1.364,14.27,9,0.00,,0.00,,10.00,,30.00,,0.00,,0.00,,0.00,,100.00,,100.00,
DeepSeek-R1-Distill-Llama-70B,225.00,25.00%,45.25%,11.11%,2.226,11.97,9,38.00,38.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,15.00,15.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,42.00,42.00%
Qwen2.5-Coder-32B-Instruct,220.00,,38.67%,11.11%,1.860,41.60,9,38.00,,0.00,,0.00,,30.00,,0.00,,0.00,,10.00,,100.00,,42.00,
gpt-4.1,200.00,22.22%,40.80%,11.11%,1.813,32.30,9,100.00,100.00%,0.00,0.00%,29.00,29.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,24.00,24.00%,0.00,0.00%,17.00,17.00%
Llama-3.3-70B-Instruct,190.00,,36.29%,11.11%,1.922,11.93,9,38.00,,0.00,,18.00,,17.00,,0.00,,17.00,,0.00,,0.00,,100.00,
Qwen3-32B-Non-Thinking,189.00,21.00%,32.97%,11.11%,1.646,23.67,9,38.00,38.00%,0.00,0.00%,21.00,21.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%
OlympicCoder-7B,185.00,20.56%,32.27%,11.11%,1.036,105.50,9,0.00,0.00%,0.00,0.00%,10.00,10.00%,30.00,30.00%,15.00,15.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,100.00,100.00%
Qwen3-30B-Non-Thinking,168.00,18.67%,30.50%,11.11%,0.727,6.26,9,8.00,8.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,100.00,100.00%
Qwen2.5-Coder-14B-Instruct,168.00,18.67%,27.27%,11.11%,1.618,70.91,9,38.00,38.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%
Qwen3-14B-Non-Thinking,148.00,16.44%,23.24%,11.11%,1.366,7.20,9,0.00,0.00%,0.00,0.00%,18.00,18.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%
Mistral-Small-3.1-24B-2503,135.00,15.00%,27.38%,11.11%,1.420,11.04,9,0.00,0.00%,0.00,0.00%,18.00,18.00%,17.00,17.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%
seed-oss_0,130.00,,18.24%,11.11%,0.439,37.10,9,0.00,,0.00,,0.00,,30.00,,0.00,,0.00,,0.00,,0.00,,100.00,
Llama-4-Scout,117.00,13.00%,16.10%,11.11%,0.739,17.91,9,100.00,100.00%,0.00,0.00%,0.00,0.00%,17.00,17.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,102.00,,21.92%,0.00%,0.859,18.17,9,55.00,,0.00,,0.00,,30.00,,0.00,,17.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,100.00,11.11%,11.83%,11.11%,0.973,1.50,9,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%
DeepSeek-Coder-V2-Lite-Instruct,100.00,11.11%,18.12%,11.11%,1.227,17.69,9,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%
Qwen3-4B-Non-Thinking,95.00,10.56%,20.68%,0.00%,1.633,9.97,9,55.00,55.00%,0.00,0.00%,10.00,10.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,60.00,6.67%,24.92%,0.00%,1.812,18.40,9,8.00,8.00%,0.00,0.00%,18.00,18.00%,17.00,17.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,17.00%
seed-oss_1024,59.00,,16.91%,0.00%,0.301,1.93,9,38.00,,0.00,,21.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,51.00,,21.92%,0.00%,0.482,48.66,9,0.00,,0.00,,21.00,,30.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,40.00,,18.36%,0.00%,1.083,28.95,9,0.00,,0.00,,10.00,,0.00,,0.00,,0.00,,0.00,,30.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,30.00,3.33%,4.89%,0.00%,0.268,0.31,9,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,14.00,1.56%,9.51%,0.00%,0.406,33.38,9,14.00,14.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,9,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,2.00%,0.00%,0.044,1.24,9,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
