Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,7krokods,7krokods_rel,bojanje,bojanje_rel,mreza,mreza_rel,vrsta,vrsta_rel,zrinka,zrinka_rel
DeepSeek-R1-Distill-Qwen-32B,109.00,,25.60%,0.00%,0.234,0.93,5,0.00,,0.00,,0.00,,74.00,,35.00,
Qwen2.5-Coder-32B-Instruct,95.00,,18.67%,0.00%,0.224,23.97,5,0.00,,30.00,,0.00,,45.00,,20.00,
Qwen3-4B,80.00,,17.33%,0.00%,0.066,1.05,5,0.00,,0.00,,0.00,,45.00,,35.00,
DeepSeek-R1-Distill-Llama-70B,80.00,,21.33%,0.00%,0.096,0.95,5,0.00,,0.00,,0.00,,45.00,,35.00,
Qwen2.5-72B,69.00,,18.33%,0.00%,0.305,5.32,4,N/A,,30.00,,0.00,,19.00,,20.00,
Qwen2.5-Coder-14B-Instruct,65.00,,13.33%,0.00%,0.250,25.33,5,0.00,,0.00,,0.00,,45.00,,20.00,
Qwen3-30B-Non-Thinking,46.00,,8.00%,0.00%,0.022,0.89,5,0.00,,0.00,,0.00,,26.00,,20.00,
DeepSeek-R1-Distill-Qwen-14B,45.00,,8.00%,0.00%,0.076,0.95,5,0.00,,0.00,,0.00,,45.00,,0.00,
Mistral-Large-Instruct-2411,39.00,,9.33%,0.00%,0.236,0.37,5,0.00,,0.00,,0.00,,19.00,,20.00,
Qwen3-8B-Non-Thinking,39.00,,8.00%,0.00%,0.238,0.41,5,0.00,,0.00,,0.00,,19.00,,20.00,
Qwen2.5-Coder-7B-Instruct,39.00,,8.00%,0.00%,0.242,79.92,5,0.00,,0.00,,0.00,,19.00,,20.00,
Codestral-22B-v0.1,39.00,,9.33%,0.00%,0.258,0.67,5,0.00,,0.00,,0.00,,19.00,,20.00,
Llama-3.3-70B-Instruct,39.00,,12.00%,0.00%,0.454,88.64,5,0.00,,0.00,,0.00,,19.00,,20.00,
Qwen3-14B-Non-Thinking,20.00,,6.67%,0.00%,0.013,0.00,4,0.00,,0.00,,0.00,,N/A,,20.00,
Llama-4-Scout,19.00,,4.00%,0.00%,0.242,0.57,5,0.00,,0.00,,0.00,,19.00,,0.00,
Qwen3-4B-Non-Thinking,15.00,,4.00%,0.00%,0.012,0.00,5,0.00,,0.00,,0.00,,0.00,,15.00,
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,
seed-oss_2048,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,0.00,
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
Mistral-Small-3.1-24B-2503,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,0.00,,N/A,,N/A,,N/A,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,2,0.00,,N/A,,N/A,,0.00,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
