Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Choose_Interval,Choose_Interval_rel,Jump_Civilization,Jump_Civilization_rel,Octagon,Octagon_rel,Ramen,Ramen_rel,Signals,Signals_rel,Skittlez,Skittlez_rel
gpt-4.1,49.00,,24.94%,0.00%,0.792,86.06,6,0.00,,11.00,,0.00,,0.00,,10.00,,28.00,
Qwen3-30B,41.00,,19.41%,0.00%,0.480,19.26,6,0.00,,11.00,,0.00,,0.00,,2.00,,28.00,
Llama-3.1-8B-Instruct,39.00,,14.56%,0.00%,0.042,1.21,6,0.00,,0.00,,0.00,,0.00,,39.00,,0.00,
gpt-oss-20b-high,38.00,,31.29%,0.00%,0.877,28.37,3,N/A,,N/A,,N/A,,0.00,,10.00,,28.00,
Codestral-22B-v0.1,32.00,,3.31%,0.00%,0.052,0.86,6,0.00,,0.00,,0.00,,0.00,,32.00,,0.00,
Qwen3-32B-Non-Thinking,30.00,,17.07%,0.00%,0.435,54.75,6,0.00,,0.00,,0.00,,0.00,,2.00,,28.00,
DeepSeek-R1-Distill-Qwen-32B,28.00,,10.79%,0.00%,0.365,58.22,6,0.00,,0.00,,0.00,,0.00,,0.00,,28.00,
Qwen2.5-72B,20.00,,10.24%,0.00%,0.510,99.38,6,0.00,,11.00,,0.00,,0.00,,2.00,,7.00,
Qwen2.5-Coder-32B-Instruct,20.00,,17.60%,0.00%,0.827,124.58,6,0.00,,0.00,,0.00,,0.00,,13.00,,7.00,
deepseek-chat,15.00,,19.05%,0.00%,0.335,55.05,6,0.00,,6.00,,0.00,,0.00,,2.00,,7.00,
DeepSeek-Coder-V2-Lite-Instruct,11.00,,11.69%,0.00%,0.412,1.34,6,0.00,,6.00,,0.00,,0.00,,5.00,,0.00,
Qwen3-4B,9.00,,12.66%,0.00%,0.160,60.65,6,0.00,,0.00,,0.00,,0.00,,2.00,,7.00,
QwQ-32B,2.00,,9.43%,0.00%,0.253,6.59,6,0.00,,0.00,,0.00,,0.00,,2.00,,0.00,
Qwen3-30B-Non-Thinking,2.00,,4.79%,0.00%,0.295,20.03,6,0.00,,0.00,,0.00,,0.00,,2.00,,0.00,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,0.00%,0.00%,0.028,1.14,5,0.00,,0.00,,0.00,,0.00,,0.00,,N/A,
Qwen2.5-Coder-7B-Instruct,0.00,,2.38%,0.00%,0.028,0.60,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,0.00,,8.71%,0.00%,0.060,0.98,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
