Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Making_Mexes,bronze_Making_Mexes_rel,bronze_Printing_Sequences,bronze_Printing_Sequences_rel,bronze_Reflection,bronze_Reflection_rel,gold_Bessies_Function,gold_Bessies_Function_rel,gold_Friendship_Editing,gold_Friendship_Editing_rel,gold_The_Best_Subsequence,gold_The_Best_Subsequence_rel,platinum_Min_Max_Subarrays,platinum_Min_Max_Subarrays_rel,platinum_Transforming_Pairs,platinum_Transforming_Pairs_rel,platinum_True_or_False_Test,platinum_True_or_False_Test_rel,silver_The_Best_Lineup,silver_The_Best_Lineup_rel,silver_Transforming_Pairs,silver_Transforming_Pairs_rel,silver_Vocabulary_Quiz,silver_Vocabulary_Quiz_rel
gpt-oss-120b-low,2417.00,61.23%,61.55%,58.33%,0.514,20.64,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,0.00,0.00%,67.00,20.30%,19.00,5.86%,0.00,0.00%,0.00,0.00%,333.00,100.91%,333.00,100.91%
seed-oss_16384,2336.00,,62.69%,50.00%,1.257,14.41,12,333.00,,333.00,,333.00,,18.00,,333.00,,78.00,,0.00,,0.00,,105.00,,137.00,,333.00,,333.00,
gpt-o3-mini-high,2305.00,58.47%,62.45%,50.00%,0.886,17.66,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,98.00,30.34%,0.00,0.00%,0.00,0.00%,53.00,16.41%,0.00,0.00%,333.00,100.91%,156.00,47.27%
gemini-2.5-flash,2231.00,56.47%,59.55%,50.00%,1.335,25.44,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,18.00,5.57%,333.00,100.91%,78.00,24.15%,0.00,0.00%,0.00,0.00%,0.00,0.00%,137.00,42.41%,333.00,100.91%,333.00,100.91%
gpt-oss-20b-medium,2057.00,52.16%,52.92%,50.00%,0.343,8.59,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,59.00,18.27%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%
gemini-2.5-pro,1987.00,50.34%,55.04%,33.33%,1.042,12.18,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,200.00,60.61%,20.00,6.19%,0.00,0.00%,37.00,11.42%,105.00,32.51%,137.00,42.41%,333.00,100.91%,156.00,47.27%
claude-sonnet-4.5,1907.00,48.29%,53.88%,33.33%,1.242,64.67,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,18.00,5.57%,178.00,53.94%,59.00,18.27%,0.00,0.00%,0.00,0.00%,105.00,32.51%,59.00,18.27%,333.00,100.91%,156.00,47.27%
seed-oss_8192,1887.00,,49.58%,41.67%,0.255,5.55,12,333.00,,333.00,,333.00,,18.00,,67.00,,0.00,,0.00,,0.00,,0.00,,137.00,,333.00,,333.00,
DeepSeek-R1-Distill-Llama-70B,1735.00,43.94%,49.07%,33.33%,0.879,10.92,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,88.00,27.24%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,137.00,42.41%,333.00,100.91%,156.00,47.27%
Qwen3-32B,1706.00,,47.20%,41.67%,0.487,14.83,12,333.00,,333.00,,333.00,,333.00,,22.00,,0.00,,0.00,,19.00,,0.00,,0.00,,333.00,,0.00,
gpt-4.1,1578.00,39.91%,44.01%,33.33%,1.012,41.58,12,0.00,0.00%,333.00,100.91%,333.00,100.91%,35.00,10.84%,133.00,40.30%,59.00,18.27%,0.00,0.00%,19.00,5.86%,0.00,0.00%,0.00,0.00%,333.00,100.91%,333.00,100.91%
OpenCodeReasoning-Nemotron-32B-IOI,1557.00,39.44%,43.98%,33.33%,0.563,6.79,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,88.00,27.24%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,137.00,42.41%,333.00,100.91%,0.00,0.00%
deepseek-reasoner,1531.00,38.75%,42.22%,33.33%,0.642,5.53,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,18.00,5.57%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,137.00,42.41%,333.00,100.91%,0.00,0.00%
gpt-oss-20b-low,1481.00,37.46%,39.42%,33.33%,0.557,9.25,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,105.00,32.51%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%
seed-oss_4096,1295.00,,36.81%,25.00%,0.288,28.88,12,333.00,,333.00,,333.00,,18.00,,22.00,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,156.00,
deepseek-chat,1048.00,26.47%,30.85%,25.00%,0.479,61.48,12,333.00,100.91%,30.00,9.09%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,5.86%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%
OlympicCoder-7B,1047.00,26.45%,30.82%,25.00%,0.416,23.37,12,333.00,100.91%,30.00,9.09%,333.00,100.91%,18.00,5.57%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%
Qwen3-4B,1007.00,25.43%,30.10%,16.67%,0.648,3.78,12,333.00,100.91%,152.00,46.06%,333.00,100.91%,0.00,0.00%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,167.00,50.61%,0.00,0.00%
Qwen3-8B,957.00,24.22%,30.73%,16.67%,1.098,19.86,12,333.00,100.91%,30.00,9.09%,333.00,100.91%,35.00,10.84%,0.00,0.00%,59.00,18.27%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,167.00,50.61%,0.00,0.00%
Qwen3-30B,601.00,,20.06%,8.33%,0.757,32.45,12,0.00,,121.00,,0.00,,88.00,,0.00,,59.00,,0.00,,0.00,,0.00,,0.00,,333.00,,0.00,
QwQ-32B,471.00,,16.04%,8.33%,0.272,4.06,12,0.00,,30.00,,333.00,,88.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,408.00,10.30%,14.05%,0.00%,1.190,25.44,12,167.00,50.61%,30.00,9.09%,0.00,0.00%,0.00,0.00%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,167.00,50.61%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,368.00,,11.91%,8.33%,0.388,2.26,12,333.00,,0.00,,0.00,,35.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,333.00,8.41%,10.14%,8.33%,0.074,1.05,12,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,318.00,8.07%,11.18%,0.00%,1.093,5.62,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,18.00,5.57%,44.00,13.33%,59.00,18.27%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,167.00,50.61%,0.00,0.00%
Qwen3-32B-Non-Thinking,300.00,7.61%,9.72%,0.00%,0.873,53.49,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,0.00,0.00%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,59.00,18.27%,167.00,50.61%,0.00,0.00%
Llama-4-Scout,252.00,6.36%,10.50%,0.00%,1.268,27.12,12,0.00,0.00%,30.00,9.09%,111.00,33.64%,0.00,0.00%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%
Qwen3-8B-Non-Thinking,197.00,4.97%,6.84%,0.00%,0.907,40.35,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,167.00,50.61%,0.00,0.00%
seed-oss_1024,181.00,,8.29%,0.00%,0.046,2.22,12,0.00,,30.00,,0.00,,18.00,,133.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,129.00,,6.67%,0.00%,0.229,1.55,12,0.00,,30.00,,0.00,,18.00,,22.00,,59.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,109.00,2.77%,5.22%,0.00%,0.614,25.95,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,35.00,10.84%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,88.00,,5.56%,0.00%,0.318,1.61,12,0.00,,0.00,,0.00,,88.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,87.00,2.22%,3.87%,0.00%,0.609,27.15,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,35.00,10.84%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,74.00,,3.27%,0.00%,0.040,2.58,12,0.00,,30.00,,0.00,,0.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,74.00,1.87%,2.67%,0.00%,0.042,0.99,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,0.00,0.00%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,74.00,,3.92%,0.00%,0.247,7.44,12,0.00,,30.00,,0.00,,0.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,74.00,1.87%,4.35%,0.00%,0.765,24.87,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,0.00,0.00%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,67.00,,4.05%,0.00%,0.565,27.57,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,
Llama-3.3-70B-Instruct,67.00,,3.37%,0.00%,0.685,26.56,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,
Mistral-Small-3.1-24B-2503,52.00,1.31%,2.21%,0.00%,0.040,0.30,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,0.00,0.00%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,52.00,1.31%,4.00%,0.00%,0.751,2.80,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,0.00,0.00%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,52.00,1.31%,3.54%,0.00%,0.853,26.15,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,0.00,0.00%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,30.00,0.76%,4.59%,0.00%,0.589,39.84,12,0.00,0.00%,30.00,9.09%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,0.00,,2.85%,0.00%,0.074,24.19,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,0.00,,4.17%,0.00%,0.551,0.92,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
