Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,j1,j1_rel,j2,j2_rel,j3,j3_rel,j5,j5_rel,s1j4,s1j4_rel
Mistral-Large-Instruct-2411,57.00,,84.94%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
Qwen3-4B,57.00,,84.94%,60.00%,0.004,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
Qwen3-8B,57.00,,84.94%,60.00%,0.004,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
Qwen2.5-Coder-14B-Instruct,57.00,,84.44%,60.00%,0.008,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
Qwen2.5-Coder-7B-Instruct,57.00,,84.44%,60.00%,0.008,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
Llama-3.3-70B-Instruct,53.00,,78.28%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,2.00,,6.00,
Codestral-22B-v0.1,53.00,,75.06%,60.00%,0.016,0.00,5,15.00,,15.00,,15.00,,2.00,,6.00,
DeepSeek-R1-Distill-Qwen-14B,51.00,,70.50%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,0.00,,6.00,
QwQ-32B,51.00,,72.72%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,0.00,,6.00,
Llama-4-Scout,51.00,,72.72%,60.00%,0.002,0.00,5,15.00,,15.00,,15.00,,0.00,,6.00,
DeepSeek-Coder-V2-Lite-Instruct,51.00,,74.44%,60.00%,0.008,0.00,5,15.00,,15.00,,15.00,,6.00,,0.00,
Qwen3-4B-Non-Thinking,51.00,,75.94%,60.00%,0.008,0.00,5,15.00,,15.00,,15.00,,6.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,48.00,,66.50%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,0.00,,3.00,
Mistral-Small-3.1-24B-2503,48.00,,68.72%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,0.00,,3.00,
Llama-3.1-8B-Instruct,48.00,,68.72%,60.00%,0.016,0.00,5,15.00,,15.00,,15.00,,0.00,,3.00,
Qwen3-30B-Non-Thinking,42.00,,81.18%,50.00%,0.018,0.00,4,N/A,,15.00,,15.00,,6.00,,6.00,
DeepSeek-R1-Distill-Qwen-7B,30.00,,100.00%,100.00%,0.000,0.00,2,15.00,,15.00,,N/A,,N/A,,N/A,
gpt-oss-20b-low,30.00,100.00%,100.00%,100.00%,0.005,0.00,2,N/A,N/A,15.00,100.00%,15.00,100.00%,N/A,N/A,N/A,N/A
seed-oss_2048,30.00,,100.00%,100.00%,0.015,0.00,2,15.00,,15.00,,N/A,,N/A,,N/A,
gpt-oss-20b-medium,15.00,100.00%,100.00%,100.00%,0.000,0.00,1,15.00,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seed-oss_512,15.00,,100.00%,100.00%,0.000,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
seed-oss_1024,15.00,,100.00%,100.00%,0.000,0.00,1,N/A,,15.00,,N/A,,N/A,,N/A,
seed-oss_16384,15.00,,100.00%,100.00%,0.010,0.00,1,N/A,,15.00,,N/A,,N/A,,N/A,
deepseek-reasoner,15.00,,100.00%,100.00%,0.020,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
seed-oss_0,15.00,,100.00%,100.00%,0.020,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
seed-oss_4096,15.00,,100.00%,100.00%,0.020,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
Qwen3-14B,15.00,,100.00%,100.00%,0.040,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
Qwen3-14B-Non-Thinking,6.00,,26.25%,0.00%,0.000,0.00,2,0.00,,N/A,,N/A,,N/A,,6.00,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
