Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,cesta,cesta_rel,eurokod,eurokod_rel,milano,milano_rel,restorani,restorani_rel,vrsar,vrsar_rel
gemini-2.5-pro,340.00,80.00%,80.41%,80.00%,0.398,70.10,5,110.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
claude-sonnet-4.5,274.00,65.30%,73.84%,40.00%,0.988,94.23,5,70.00,63.64%,50.00,100.00%,110.00,100.00%,0.00,0.00%,44.00,62.86%
seed-oss_8192,230.00,,60.14%,60.00%,0.040,10.56,5,0.00,,50.00,,110.00,,0.00,,70.00,
Qwen3-32B,230.00,,60.14%,60.00%,0.066,14.91,5,0.00,,50.00,,110.00,,0.00,,70.00,
seed-oss_-1,230.00,60.00%,60.32%,60.00%,0.074,6.56,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
deepseek-reasoner,230.00,60.00%,60.14%,60.00%,0.084,17.21,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
DeepSeek-R1-Distill-Llama-70B,230.00,60.00%,60.14%,60.00%,0.090,6.59,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,70.00,100.00%
Qwen3-30B,230.00,,60.32%,60.00%,0.094,16.17,5,0.00,,50.00,,110.00,,0.00,,70.00,
gpt-oss-120b-low,204.00,52.57%,54.07%,40.00%,0.304,9.80,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,44.00,62.86%
gemini-2.5-flash,187.00,47.71%,50.59%,40.00%,0.236,140.58,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,27.00,38.57%
gpt-4.1,187.00,47.71%,50.46%,40.00%,0.556,127.98,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,27.00,38.57%
OpenCodeReasoning-Nemotron-32B-IOI,177.00,44.86%,44.16%,40.00%,0.094,19.73,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,17.00,24.29%
Qwen3-4B,177.00,44.86%,44.51%,40.00%,0.304,14.48,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,17.00,24.29%
seed-oss_0,160.00,,40.14%,40.00%,0.044,3.20,5,0.00,,50.00,,110.00,,0.00,,0.00,
seed-oss_4096,160.00,,40.14%,40.00%,0.048,13.84,5,0.00,,50.00,,110.00,,0.00,,0.00,
QwQ-32B,160.00,,40.32%,40.00%,0.060,16.37,5,0.00,,50.00,,110.00,,0.00,,0.00,
gpt-oss-20b-low,160.00,40.00%,40.18%,40.00%,0.064,3.86,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,160.00,,40.14%,40.00%,0.064,10.47,5,0.00,,50.00,,110.00,,0.00,,0.00,
OlympicCoder-7B,160.00,40.00%,40.14%,40.00%,0.074,19.96,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,160.00,,40.14%,40.00%,0.100,10.04,5,0.00,,50.00,,110.00,,0.00,,0.00,
Qwen3-8B,160.00,40.00%,40.32%,40.00%,0.332,20.40,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,154.00,,33.89%,20.00%,0.306,10.73,5,0.00,,0.00,,110.00,,0.00,,44.00,
Mistral-Large-Instruct-2411,127.00,26.80%,26.80%,20.00%,0.056,10.59,5,0.00,0.00%,17.00,34.00%,110.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,127.00,26.80%,26.80%,20.00%,0.296,6.97,5,0.00,0.00%,17.00,34.00%,110.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,127.00,24.86%,23.89%,20.00%,0.298,15.17,5,0.00,0.00%,0.00,0.00%,110.00,100.00%,0.00,0.00%,17.00,24.29%
Llama-4-Scout,110.00,20.00%,20.14%,20.00%,0.066,5.74,5,0.00,0.00%,0.00,0.00%,110.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,102.00,,28.71%,20.00%,0.270,15.62,5,0.00,,50.00,,52.00,,0.00,,0.00,
Qwen2.5-72B,69.00,,15.38%,0.00%,0.490,5.57,5,0.00,,17.00,,52.00,,0.00,,0.00,
seed-oss_1024,68.00,,24.90%,20.00%,0.050,14.14,5,0.00,,50.00,,18.00,,0.00,,0.00,
deepseek-chat,67.00,24.86%,25.93%,20.00%,0.278,5.83,5,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%,17.00,24.29%
seed-oss_512,50.00,,20.61%,20.00%,0.028,14.16,5,0.00,,50.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,50.00,20.00%,22.04%,20.00%,0.510,10.34,5,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,50.00,20.00%,20.14%,20.00%,0.748,18.00,5,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,34.00,,12.46%,0.00%,0.296,16.41,5,0.00,,17.00,,0.00,,0.00,,17.00,
Llama-3.1-8B-Instruct,18.00,3.27%,3.95%,0.00%,0.038,5.00,5,0.00,0.00%,0.00,0.00%,18.00,16.36%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,17.00,6.80%,9.18%,0.00%,0.040,13.20,5,0.00,0.00%,17.00,34.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,17.00,6.80%,8.71%,0.00%,0.172,58.24,5,0.00,0.00%,17.00,34.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,0.00,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,0.14%,0.00%,0.018,2.84,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,0.00,0.00%,1.90%,0.00%,0.044,2.57,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,0.00,0.00%,0.61%,0.00%,0.048,7.43,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,2.04%,0.00%,0.064,5.46,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,0.00,,1.42%,0.00%,1.420,9.95,5,0.00,,0.00,,0.00,,0.00,,0.00,
