Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,dizalo,dizalo_rel,kuglice,kuglice_rel,pahuljice,pahuljice_rel,pingvin,pingvin_rel,zatopljenje,zatopljenje_rel
Llama-3.3-70B-Instruct,130.00,,50.93%,40.00%,1.122,2.79,5,0.00,,0.00,,50.00,,70.00,,10.00,
Qwen2.5-72B,130.00,,50.43%,40.00%,1.124,2.22,5,0.00,,0.00,,50.00,,70.00,,10.00,
Qwen2.5-Coder-14B-Instruct,130.00,,49.58%,40.00%,1.148,3.92,5,0.00,,0.00,,50.00,,70.00,,10.00,
Codestral-22B-v0.1,123.00,,46.94%,20.00%,0.476,2.86,5,0.00,,0.00,,50.00,,63.00,,10.00,
seed-oss_1024,120.00,,42.16%,40.00%,0.012,1.29,5,0.00,,0.00,,50.00,,70.00,,0.00,
seed-oss_0,120.00,,40.27%,40.00%,0.022,1.19,5,0.00,,0.00,,50.00,,70.00,,0.00,
seed-oss_2048,120.00,,41.62%,40.00%,0.024,8.51,5,0.00,,0.00,,50.00,,70.00,,0.00,
seed-oss_512,120.00,,41.62%,40.00%,0.030,16.14,5,0.00,,0.00,,50.00,,70.00,,0.00,
Qwen3-30B-Non-Thinking,80.00,,29.36%,20.00%,0.286,225.53,5,0.00,,0.00,,0.00,,70.00,,10.00,
DeepSeek-R1-Distill-Qwen-14B,80.00,,28.50%,20.00%,0.470,16.16,5,0.00,,0.00,,0.00,,70.00,,10.00,
DeepSeek-Coder-V2-Lite-Instruct,70.00,,24.44%,20.00%,0.692,1.70,5,0.00,,0.00,,0.00,,70.00,,0.00,
Qwen3-4B-Non-Thinking,37.00,,30.65%,0.00%,0.468,1.92,5,0.00,,0.00,,11.00,,16.00,,10.00,
Qwen2.5-Coder-32B-Instruct,33.00,,19.50%,0.00%,0.472,1.13,5,0.00,,0.00,,0.00,,23.00,,10.00,
Qwen2.5-Coder-7B-Instruct,16.00,,7.01%,0.00%,0.472,2.33,5,0.00,,0.00,,0.00,,16.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,5.32%,0.00%,0.015,0.00,4,0.00,,0.00,,0.00,,N/A,,0.00,
Llama-3.1-8B-Instruct,0.00,,7.50%,0.00%,0.050,0.37,5,0.00,,0.00,,0.00,,0.00,,0.00,
