Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,avoid,avoid_rel,balance,balance_rel,grading-server,grading-server_rel,light,light_rel,trade,trade_rel,incursion,incursion_rel
gpt-oss-120b_sp4,10.00,1.67%,2.15%,0.00%,0.085,6.88,6,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-medium,10.00,1.67%,2.09%,0.00%,0.085,7.62,6,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
deepseek-reasoner,10.00,1.67%,5.97%,0.00%,1.438,4.03,6,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,10.00,1.67%,7.09%,0.00%,1.453,45.23,6,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,10.00,1.67%,9.35%,0.00%,2.257,47.66,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%
Llama-4-Scout,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,0.22%,0.00%,0.012,1.51,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,0.00,0.00%,0.22%,0.00%,0.013,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,0.00,0.00%,0.44%,0.00%,0.020,1.81,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,0.00,0.00%,0.67%,0.00%,0.020,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,0.49%,0.00%,0.020,0.99,3,0.00,0.00%,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,0.00,0.00%,1.41%,0.00%,0.022,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,0.00,0.00%,0.22%,0.00%,0.023,2.63,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B,0.00,0.00%,0.57%,0.00%,0.027,0.95,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-low,0.00,0.00%,0.81%,0.00%,0.030,3.74,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,0.00,0.00%,1.53%,0.00%,0.045,1.12,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,0.44%,0.00%,0.048,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.27%,0.00%,0.062,0.00,5,0.00,0.00%,N/A,N/A,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,1.56%,0.00%,0.062,2.02,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,0.00,0.00%,0.69%,0.00%,0.070,44.87,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,0.79%,0.00%,0.080,1.76,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,0.00,0.00%,0.91%,0.00%,0.108,0.53,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-low,0.00,0.00%,5.75%,0.00%,0.160,407.58,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,0.44%,0.00%,0.802,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,0.00,0.00%,0.57%,0.00%,0.818,1.21,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,0.00,0.00%,4.33%,0.00%,1.493,45.57,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
