Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,five,five_rel,game,game_rel,lexgcd,lexgcd_rel,ones,ones_rel,travel,travel_rel
Mistral-Large-Instruct-2411,34.00,,10.14%,0.00%,0.396,68.87,5,5.00,,0.00,,0.00,,9.00,,20.00,
Qwen3-14B,30.00,,7.62%,0.00%,0.210,69.81,5,5.00,,0.00,,0.00,,25.00,,0.00,
Qwen3-8B,30.00,,6.00%,0.00%,0.302,129.83,5,5.00,,0.00,,0.00,,25.00,,0.00,
Qwen3-4B,25.00,,2.19%,0.00%,0.054,7.12,5,0.00,,0.00,,0.00,,25.00,,0.00,
Mistral-Small-3.1-24B-2503,25.00,,1.15%,0.00%,0.060,1.32,5,0.00,,0.00,,0.00,,25.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,25.00,,1.48%,0.00%,0.064,2.18,5,0.00,,0.00,,0.00,,25.00,,0.00,
seed-oss_4096,25.00,,2.02%,0.00%,0.078,18.32,5,0.00,,0.00,,0.00,,25.00,,0.00,
seed-oss_1024,25.00,,2.02%,0.00%,0.122,2.77,5,0.00,,0.00,,0.00,,25.00,,0.00,
Qwen3-30B-Non-Thinking,25.00,,0.66%,0.00%,0.438,8.36,5,0.00,,0.00,,0.00,,25.00,,0.00,
Qwen2.5-72B,25.00,,0.98%,0.00%,0.450,8.12,5,0.00,,0.00,,0.00,,25.00,,0.00,
Qwen3-4B-Non-Thinking,22.00,,1.72%,0.00%,0.196,55.30,5,0.00,,0.00,,0.00,,22.00,,0.00,
Llama-4-Scout,20.00,,7.36%,0.00%,0.250,67.10,5,0.00,,0.00,,0.00,,0.00,,20.00,
gpt-4.1,20.00,,4.10%,0.00%,0.962,91.15,5,0.00,,0.00,,0.00,,20.00,,0.00,
seed-oss_2048,13.00,,1.48%,0.00%,0.056,0.82,5,0.00,,0.00,,0.00,,13.00,,0.00,
Llama-3.3-70B-Instruct,6.00,,1.07%,0.00%,0.162,245.43,5,0.00,,0.00,,6.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,5.00,,4.26%,0.00%,0.464,59.92,5,5.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,3.00,,1.48%,0.00%,0.142,2.95,5,0.00,,0.00,,0.00,,3.00,,0.00,
Qwen2.5-Coder-7B-Instruct,3.00,,0.98%,0.00%,0.404,8.84,5,0.00,,0.00,,0.00,,3.00,,0.00,
seed-oss_512,1.00,,1.85%,0.00%,0.436,3.34,5,0.00,,0.00,,0.00,,1.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,1.15%,0.00%,0.026,0.36,5,0.00,,0.00,,0.00,,0.00,,0.00,
gpt-oss-120b-low,0.00,0.00%,7.38%,0.00%,0.040,2.07,1,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A
Codestral-22B-v0.1,0.00,,2.02%,0.00%,0.070,12.64,5,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,0.66%,0.00%,0.398,0.82,5,0.00,,0.00,,0.00,,0.00,,0.00,
