Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Balancing_Bacteria,bronze_Balancing_Bacteria_rel,bronze_Cannonball,bronze_Cannonball_rel,bronze_Majority_Opinion,bronze_Majority_Opinion_rel,gold_Cowmpetency,gold_Cowmpetency_rel,gold_Nap_Sort,gold_Nap_Sort_rel,gold_Walking_in_Manhattan,gold_Walking_in_Manhattan_rel,platinum_Island_Vacation,platinum_Island_Vacation_rel,platinum_Merging_Cells,platinum_Merging_Cells_rel,platinum_Mooball_Teams_III,platinum_Mooball_Teams_III_rel,silver_Cowlendar,silver_Cowlendar_rel,silver_Cowmpetency,silver_Cowmpetency_rel,silver_Potion_Farming,silver_Potion_Farming_rel
Qwen3-32B,1648.00,,44.39%,33.33%,0.441,70.10,12,333.00,,333.00,,333.00,,19.00,,0.00,,140.00,,33.00,,100.00,,0.00,,333.00,,0.00,,24.00,
DeepSeek-R1-Distill-Llama-70B,1529.00,39.43%,39.21%,16.67%,0.542,54.24,12,333.00,102.46%,259.00,79.94%,333.00,103.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,31.25%,0.00,0.00%,194.00,59.88%,0.00,0.00%,310.00,96.27%
QwQ-32B,1445.00,,38.41%,25.00%,0.478,4.62,12,0.00,,333.00,,333.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,306.00,,0.00,,333.00,
gpt-oss-20b-low,1257.00,35.29%,37.81%,18.18%,0.568,5.48,11,333.00,102.46%,333.00,102.78%,71.00,22.05%,19.00,5.86%,0.00,0.00%,140.00,43.34%,0.00,0.00%,N/A,N/A,0.00,0.00%,194.00,59.88%,0.00,0.00%,167.00,51.86%
seed-oss_4096,1156.00,,29.10%,16.67%,0.254,2.67,12,231.00,,333.00,,71.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,333.00,,0.00,,48.00,
deepseek-chat,1148.00,29.63%,30.18%,16.67%,0.910,33.48,12,0.00,0.00%,333.00,102.78%,333.00,103.42%,0.00,0.00%,0.00,0.00%,140.00,43.34%,0.00,0.00%,100.00,31.25%,0.00,0.00%,194.00,59.88%,0.00,0.00%,48.00,14.91%
DeepSeek-R1-Distill-Qwen-32B,1054.00,,27.64%,8.33%,0.459,2.14,12,333.00,,315.00,,24.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,194.00,,0.00,,48.00,
Qwen3-8B,1043.00,26.89%,28.96%,16.67%,0.528,4.37,12,0.00,0.00%,333.00,102.78%,333.00,103.42%,19.00,5.86%,0.00,0.00%,140.00,43.34%,0.00,0.00%,0.00,0.00%,0.00,0.00%,194.00,59.88%,0.00,0.00%,24.00,7.45%
gpt-oss-120b-low,1024.00,26.42%,29.01%,8.33%,0.525,55.34,12,0.00,0.00%,333.00,102.78%,24.00,7.45%,19.00,5.86%,0.00,0.00%,140.00,43.34%,0.00,0.00%,100.00,31.25%,0.00,0.00%,194.00,59.88%,0.00,0.00%,214.00,66.46%
gpt-4.1,1011.00,26.10%,29.40%,8.33%,0.768,109.52,12,0.00,0.00%,333.00,102.78%,71.00,22.05%,0.00,0.00%,0.00,0.00%,140.00,43.34%,33.00,10.31%,100.00,31.25%,0.00,0.00%,167.00,51.54%,0.00,0.00%,167.00,51.86%
Qwen3-4B,858.00,22.14%,24.15%,16.67%,0.693,26.87,12,0.00,0.00%,333.00,102.78%,333.00,103.42%,0.00,0.00%,0.00,0.00%,140.00,43.34%,0.00,0.00%,0.00,0.00%,0.00,0.00%,28.00,8.64%,0.00,0.00%,24.00,7.45%
seed-oss_2048,786.00,,19.03%,8.33%,0.439,2.30,12,0.00,,333.00,,71.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,194.00,,0.00,,48.00,
DeepSeek-R1-Distill-Qwen-14B,731.00,,20.97%,0.00%,0.441,1.77,12,205.00,,315.00,,0.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,0.00,,0.00,,71.00,
OlympicCoder-7B,649.00,16.72%,17.19%,8.33%,0.480,52.24,12,0.00,0.00%,333.00,102.78%,24.00,7.45%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,50.00,15.62%,0.00,0.00%,194.00,59.88%,0.00,0.00%,48.00,14.91%
Qwen3-32B-Non-Thinking,575.00,14.80%,14.21%,8.33%,0.354,2.63,12,0.00,0.00%,333.00,102.78%,24.00,7.45%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,194.00,59.88%,0.00,0.00%,24.00,7.45%
Qwen3-30B-Non-Thinking,551.00,14.18%,15.15%,8.33%,0.347,5.61,12,0.00,0.00%,333.00,102.78%,24.00,7.45%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,194.00,59.88%,0.00,0.00%,0.00,0.00%
seed-oss_1024,516.00,,12.73%,8.33%,0.050,3.84,12,0.00,,333.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,111.00,,0.00,,48.00,
Llama-4-Scout,462.00,11.89%,13.80%,8.33%,0.673,4.87,12,0.00,0.00%,333.00,102.78%,24.00,7.45%,0.00,0.00%,0.00,0.00%,53.00,16.41%,0.00,0.00%,0.00,0.00%,0.00,0.00%,28.00,8.64%,0.00,0.00%,24.00,7.45%
Qwen2.5-Coder-14B-Instruct,416.00,10.72%,13.56%,0.00%,0.856,1.42,12,0.00,0.00%,241.00,74.38%,95.00,29.50%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,56.00,17.28%,0.00,0.00%,24.00,7.45%
seed-oss_0,405.00,,10.35%,8.33%,0.225,2.51,12,0.00,,333.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,48.00,
Qwen3-8B-Non-Thinking,404.00,10.39%,10.75%,0.00%,0.667,3.87,12,0.00,0.00%,241.00,74.38%,24.00,7.45%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,139.00,42.90%,0.00,0.00%,0.00,0.00%
seed-oss_512,363.00,,8.85%,0.00%,0.349,12.60,12,0.00,,148.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,167.00,,0.00,,24.00,
Qwen3-14B-Non-Thinking,360.00,9.27%,11.04%,0.00%,0.677,6.60,12,0.00,0.00%,259.00,79.94%,24.00,7.45%,0.00,0.00%,0.00,0.00%,53.00,16.41%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,24.00,7.45%
Llama-3.3-70B-Instruct,345.00,,11.34%,0.00%,0.792,2.18,12,0.00,,241.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56.00,,0.00,,48.00,
Mistral-Large-Instruct-2411,340.00,8.76%,10.47%,0.00%,0.658,3.54,12,0.00,0.00%,241.00,74.38%,71.00,22.05%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,28.00,8.64%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,321.00,,10.26%,0.00%,0.809,2.23,12,0.00,,241.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56.00,,0.00,,0.00,
Qwen2.5-72B,317.00,,10.19%,0.00%,0.440,2.73,12,0.00,,241.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,28.00,,0.00,,24.00,
Qwen2.5-Coder-7B-Instruct,313.00,8.06%,8.26%,0.00%,0.250,1.48,12,0.00,0.00%,241.00,74.38%,24.00,7.45%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,48.00,14.91%
Mistral-Small-3.1-24B-2503,311.00,8.00%,9.49%,0.00%,0.645,1.47,12,0.00,0.00%,259.00,79.94%,24.00,7.45%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,28.00,8.64%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,265.00,6.82%,8.68%,0.00%,0.717,17.62,12,0.00,0.00%,241.00,74.38%,24.00,7.45%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,67.00,1.73%,1.94%,0.00%,0.281,3.10,12,0.00,0.00%,19.00,5.86%,24.00,7.45%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,24.00,7.45%
Qwen3-4B-Non-Thinking,65.00,1.67%,4.70%,0.00%,0.461,2.44,12,0.00,0.00%,37.00,11.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,28.00,8.64%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,61.00,1.57%,1.77%,0.00%,0.434,13.13,12,0.00,0.00%,37.00,11.42%,24.00,7.45%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,19.00,0.49%,0.97%,0.00%,0.024,0.35,12,0.00,0.00%,19.00,5.86%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,2,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A
