Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,september,september_rel,show,show_rel,train,train_rel
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-low,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
seed-oss_4096,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
OpenCodeReasoning-Nemotron-32B-IOI,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,0.00,,0.60%,0.00%,0.033,2.60,3,0.00,,0.00,,0.00,
seed-oss_0,0.00,,0.60%,0.00%,0.040,10.80,3,0.00,,0.00,,0.00,
seed-oss_1024,0.00,,0.60%,0.00%,0.040,5.69,3,0.00,,0.00,,0.00,
OlympicCoder-7B,0.00,0.00%,0.60%,0.00%,0.063,2.13,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,0.00,0.00%,1.56%,0.00%,0.093,4.55,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
gemini-2.5-flash,0.00,0.00%,5.36%,0.00%,0.423,76.71,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,0.00,0.00%,0.60%,0.00%,0.587,7.43,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
