Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Hungry_Cow,bronze_Hungry_Cow_rel,bronze_Stamp_Grid,bronze_Stamp_Grid_rel,bronze_Watching_Mooloo,bronze_Watching_Mooloo_rel,gold_Equal_Sum_Subarrays,gold_Equal_Sum_Subarrays_rel,gold_Fertilizing_Pastures,gold_Fertilizing_Pastures_rel,gold_Piling_Papers,gold_Piling_Papers_rel,platinum_Hungry_Cow,platinum_Hungry_Cow_rel,platinum_Problem_Setting,platinum_Problem_Setting_rel,platinum_Watching_Cowflix,platinum_Watching_Cowflix_rel,silver_Bakery,silver_Bakery_rel,silver_Cow-libi,silver_Cow-libi_rel,silver_Moo_Route_II,silver_Moo_Route_II_rel
claude-sonnet-4.5,2960.00,75.57%,76.27%,58.33%,1.444,56.02,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,200.00,62.50%,0.00,0.00%,17.00,5.31%,200.00,62.50%,212.00,64.24%,333.00,100.91%,333.00,100.91%,333.00,102.78%
deepseek-reasoner,2908.00,74.34%,74.69%,66.67%,1.292,35.20,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,133.00,41.56%,0.00,0.00%,50.00,15.62%,333.00,104.06%,61.00,18.48%,333.00,100.91%,333.00,100.91%,333.00,102.78%
seed-oss_8192,2903.00,,73.89%,66.67%,0.942,23.34,12,333.00,,333.00,,333.00,,333.00,,133.00,,56.00,,50.00,,333.00,,0.00,,333.00,,333.00,,333.00,
gemini-2.5-pro,2790.00,71.25%,72.01%,66.67%,1.285,57.07,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,0.00,0.00%,17.00,5.31%,33.00,10.31%,76.00,23.03%,333.00,100.91%,333.00,100.91%,333.00,102.78%
Qwen3-32B,2726.00,,70.94%,58.33%,0.964,33.87,12,333.00,,333.00,,333.00,,333.00,,133.00,,0.00,,17.00,,200.00,,45.00,,333.00,,333.00,,333.00,
gemini-2.5-flash,2648.00,67.66%,68.79%,58.33%,1.265,58.02,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,333.00,104.06%,0.00,0.00%,17.00,5.31%,33.00,10.31%,167.00,50.61%,333.00,100.91%,100.00,30.30%,333.00,102.78%
gpt-oss-120b-low,2461.00,62.81%,62.62%,58.33%,0.317,34.40,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,104.06%,0.00,0.00%,333.00,100.91%,333.00,100.91%,130.00,40.12%
seed-oss_4096,2331.00,,58.33%,58.33%,0.386,2.50,12,333.00,,333.00,,333.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,333.00,,333.00,
OpenCodeReasoning-Nemotron-32B-IOI,2235.00,56.90%,57.92%,50.00%,0.810,29.01,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,333.00,100.91%,333.00,100.91%,204.00,62.96%
Qwen3-14B,2188.00,,57.23%,41.67%,1.033,28.65,12,333.00,,333.00,,333.00,,286.00,,0.00,,0.00,,0.00,,33.00,,0.00,,333.00,,333.00,,204.00,
gpt-oss-20b-low,2178.00,55.44%,54.81%,50.00%,0.185,6.14,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,0.00,0.00%,0.00,0.00%,17.00,5.31%,33.00,10.31%,0.00,0.00%,333.00,100.91%,333.00,100.91%,130.00,40.12%
Qwen3-8B,2086.00,53.15%,54.86%,41.67%,2.057,30.86,12,333.00,100.91%,0.00,0.00%,333.00,100.91%,333.00,103.42%,0.00,0.00%,0.00,0.00%,17.00,5.31%,200.00,62.50%,0.00,0.00%,333.00,100.91%,333.00,100.91%,204.00,62.96%
deepseek-chat,2064.00,52.50%,52.66%,41.67%,0.657,30.10,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,119.00,36.96%,133.00,41.56%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,333.00,100.91%,333.00,100.91%,130.00,40.12%
QwQ-32B,2031.00,,54.02%,50.00%,1.241,7.98,12,333.00,,333.00,,333.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,33.00,,333.00,,333.00,
Qwen3-30B,1998.00,,53.89%,33.33%,1.614,30.58,12,333.00,,0.00,,333.00,,262.00,,0.00,,0.00,,0.00,,200.00,,0.00,,333.00,,333.00,,204.00,
DeepSeek-R1-Distill-Llama-70B,1935.00,49.32%,51.10%,41.67%,0.861,31.51,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,33.00,10.00%,333.00,100.91%,204.00,62.96%
DeepSeek-R1-Distill-Qwen-32B,1786.00,,48.07%,33.33%,1.517,30.14,12,333.00,,333.00,,333.00,,333.00,,0.00,,0.00,,0.00,,150.00,,0.00,,0.00,,100.00,,204.00,
seed-oss_2048,1774.00,,45.00%,33.33%,0.349,40.73,12,333.00,,333.00,,333.00,,238.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,204.00,
gpt-4.1,1612.00,41.15%,43.68%,33.33%,1.398,36.37,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,333.00,103.42%,0.00,0.00%,0.00,0.00%,17.00,5.31%,33.00,10.31%,0.00,0.00%,100.00,30.30%,0.00,0.00%,130.00,40.12%
seed-oss_512,1479.00,,37.39%,33.33%,0.632,2.49,12,333.00,,333.00,,333.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,0.00,,333.00,,130.00,
seed-oss_1024,1462.00,,36.63%,33.33%,0.232,4.06,12,333.00,,333.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,130.00,
Qwen3-4B,1432.00,36.53%,38.70%,33.33%,1.006,28.61,12,333.00,100.91%,0.00,0.00%,333.00,100.91%,333.00,103.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,30.30%,333.00,102.78%
OlympicCoder-7B,1303.00,33.21%,35.15%,25.00%,1.119,3.18,12,333.00,100.91%,0.00,0.00%,333.00,100.91%,333.00,103.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,30.30%,204.00,62.96%
Qwen3-30B-Non-Thinking,1229.00,31.23%,32.75%,25.00%,0.601,8.01,12,333.00,100.91%,333.00,102.46%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,30.30%,0.00,0.00%,130.00,40.12%
DeepSeek-R1-Distill-Qwen-14B,989.00,,26.83%,16.67%,0.570,20.84,12,333.00,,0.00,,333.00,,119.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,204.00,
Qwen3-32B-Non-Thinking,970.00,24.59%,26.69%,16.67%,0.688,20.29,12,333.00,100.91%,0.00,0.00%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,30.30%,0.00,0.00%,204.00,62.96%
Qwen3-8B-Non-Thinking,896.00,22.82%,23.37%,16.67%,0.295,2.46,12,333.00,100.91%,333.00,102.46%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,30.30%,0.00,0.00%,130.00,40.12%
seed-oss_0,866.00,,22.74%,16.67%,0.043,5.56,12,200.00,,333.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,763.00,,21.44%,8.33%,0.822,66.34,12,200.00,,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,130.00,
Qwen2.5-72B,713.00,,20.35%,8.33%,0.820,4.83,12,133.00,,333.00,,100.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,0.00,,0.00,,130.00,
Llama-3.3-70B-Instruct,696.00,,17.57%,8.33%,0.947,52.95,12,200.00,,333.00,,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,130.00,
Mistral-Large-Instruct-2411,629.00,16.07%,17.95%,8.33%,0.871,1.91,12,133.00,40.30%,333.00,102.46%,33.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,130.00,40.12%
Qwen3-14B-Non-Thinking,596.00,15.11%,16.85%,8.33%,0.582,2.99,12,333.00,100.91%,0.00,0.00%,33.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,30.30%,0.00,0.00%,130.00,40.12%
Qwen2.5-Coder-14B-Instruct,563.00,14.28%,16.76%,8.33%,0.363,52.65,12,333.00,100.91%,0.00,0.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,130.00,40.12%
Qwen3-4B-Non-Thinking,533.00,13.46%,13.76%,8.33%,0.383,6.48,12,200.00,60.61%,0.00,0.00%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,466.00,11.77%,12.19%,0.00%,0.568,0.74,12,133.00,40.30%,0.00,0.00%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,396.00,10.06%,12.41%,0.00%,0.613,2.02,12,133.00,40.30%,0.00,0.00%,33.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,30.30%,0.00,0.00%,130.00,40.12%
DeepSeek-R1-Distill-Llama-8B,333.00,8.41%,9.09%,8.33%,0.034,0.47,12,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,166.00,4.19%,5.94%,0.00%,0.238,0.75,12,133.00,40.30%,0.00,0.00%,33.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,166.00,4.19%,6.46%,0.00%,0.332,1.25,12,133.00,40.30%,0.00,0.00%,33.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,133.00,3.36%,5.75%,0.00%,0.305,23.59,12,100.00,30.30%,0.00,0.00%,33.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,100.00,2.53%,2.56%,0.00%,0.040,0.55,12,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%
