Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,diskurs,diskurs_rel,kalendar,kalendar_rel,logaritam,logaritam_rel,slasticarnica,slasticarnica_rel,zastave,zastave_rel
gemini-2.5-pro,419.00,94.36%,95.50%,80.00%,0.560,2.96,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,79.00,71.82%,110.00,100.00%
gpt-o3-mini-high,380.00,80.00%,80.00%,80.00%,0.274,40.28,5,0.00,0.00%,50.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
seed-oss_8192,361.00,,89.50%,80.00%,0.094,41.40,5,70.00,,50.00,,110.00,,21.00,,110.00,
gemini-2.5-flash,361.00,83.82%,93.00%,80.00%,0.118,3.24,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,21.00,19.09%,110.00,100.00%
gpt-oss-20b-medium,361.00,83.82%,93.00%,80.00%,0.172,52.01,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,21.00,19.09%,110.00,100.00%
QwQ-32B,348.00,,74.90%,60.00%,0.592,83.08,5,20.00,,50.00,,110.00,,58.00,,110.00,
gpt-oss-20b-low,340.00,80.00%,82.00%,80.00%,0.152,50.70,5,70.00,100.00%,50.00,100.00%,110.00,100.00%,0.00,0.00%,110.00,100.00%
Qwen3-32B,315.00,,73.00%,60.00%,0.492,40.56,5,45.00,,50.00,,110.00,,0.00,,110.00,
Qwen3-14B,315.00,72.86%,73.00%,60.00%,0.528,1.98,5,45.00,64.29%,50.00,100.00%,110.00,100.00%,0.00,0.00%,110.00,100.00%
deepseek-reasoner,315.00,72.86%,72.50%,60.00%,0.542,20.63,5,45.00,64.29%,50.00,100.00%,110.00,100.00%,0.00,0.00%,110.00,100.00%
claude-sonnet-4.5,311.00,69.53%,69.80%,60.00%,0.994,33.83,5,20.00,28.57%,50.00,100.00%,110.00,100.00%,21.00,19.09%,110.00,100.00%
Qwen3-30B,290.00,,65.70%,60.00%,0.550,1.50,5,20.00,,50.00,,110.00,,0.00,,110.00,
OpenCodeReasoning-Nemotron-32B-IOI,205.00,52.86%,52.00%,40.00%,0.514,2.07,5,45.00,64.29%,50.00,100.00%,0.00,0.00%,0.00,0.00%,110.00,100.00%
gpt-4.1,205.00,52.86%,52.50%,40.00%,0.520,2.28,5,45.00,64.29%,50.00,100.00%,0.00,0.00%,0.00,0.00%,110.00,100.00%
DeepSeek-R1-Distill-Llama-70B,160.00,40.00%,41.00%,40.00%,0.070,39.81,5,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%,110.00,100.00%
Qwen3-8B,133.00,37.17%,38.23%,20.00%,0.506,0.68,5,20.00,28.57%,50.00,100.00%,0.00,0.00%,0.00,0.00%,63.00,57.27%
Qwen2.5-72B,128.00,,39.66%,20.00%,0.470,0.78,5,20.00,,50.00,,0.00,,58.00,,0.00,
Llama-3.3-70B-Instruct,70.00,,24.90%,20.00%,0.480,1.40,5,20.00,,50.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,70.00,25.71%,24.90%,20.00%,0.490,0.42,5,20.00,28.57%,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,70.00,25.71%,24.40%,20.00%,0.494,0.36,5,20.00,28.57%,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,70.00,,37.66%,20.00%,0.506,97.47,5,20.00,,50.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,70.00,25.71%,29.66%,20.00%,0.508,1.17,5,20.00,28.57%,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,70.00,25.71%,30.46%,20.00%,0.514,20.48,5,20.00,28.57%,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B,70.00,25.71%,29.66%,20.00%,0.528,1.15,5,20.00,28.57%,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,70.00,25.71%,37.66%,20.00%,0.608,25.17,5,20.00,28.57%,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,50.00,,20.99%,20.00%,0.012,0.00,5,0.00,,50.00,,0.00,,0.00,,0.00,
seed-oss_4096,50.00,,24.76%,20.00%,0.016,0.42,5,0.00,,50.00,,0.00,,0.00,,0.00,
seed-oss_2048,50.00,,23.81%,20.00%,0.018,0.41,5,0.00,,50.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,50.00,20.00%,24.63%,20.00%,0.024,0.98,5,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,50.00,,24.76%,20.00%,0.026,2.06,5,0.00,,50.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,50.00,,23.67%,20.00%,0.028,0.98,5,0.00,,50.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,50.00,,25.26%,20.00%,0.064,20.98,5,0.00,,50.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,39.00,13.31%,13.81%,0.00%,0.482,1.22,5,20.00,28.57%,19.00,38.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,39.00,13.31%,14.31%,0.00%,0.492,0.42,5,20.00,28.57%,19.00,38.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,39.00,13.31%,14.81%,0.00%,0.494,0.98,5,20.00,28.57%,19.00,38.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,39.00,13.31%,13.81%,0.00%,0.550,0.78,5,20.00,28.57%,19.00,38.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,26.00,10.40%,18.60%,0.00%,0.526,2.17,5,0.00,0.00%,26.00,52.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,20.00,5.71%,6.75%,0.00%,0.482,0.41,5,20.00,28.57%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,20.00,5.71%,4.40%,0.00%,0.482,0.41,5,20.00,28.57%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,20.00,5.71%,4.40%,0.00%,0.490,0.42,5,20.00,28.57%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_512,19.00,,9.91%,0.00%,0.016,0.74,5,0.00,,19.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,0.00,0.00%,4.76%,0.00%,0.018,1.29,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
