Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bitovi,bitovi_rel,piratski,piratski_rel,rolete,rolete_rel,trokut,trokut_rel,zlagalica,zlagalica_rel
gpt-4.1,50.00,,20.41%,20.00%,0.454,0.86,5,0.00,,0.00,,0.00,,0.00,,50.00,
deepseek-chat,50.00,,20.00%,20.00%,0.460,0.88,5,0.00,,0.00,,0.00,,0.00,,50.00,
gpt-oss-20b-low,38.00,,9.49%,0.00%,0.016,0.88,5,0.00,,0.00,,26.00,,0.00,,12.00,
seed-oss_2048,12.00,,5.00%,0.00%,0.008,0.00,5,0.00,,0.00,,0.00,,0.00,,12.00,
seed-oss_0,12.00,,5.00%,0.00%,0.012,1.68,5,0.00,,0.00,,0.00,,0.00,,12.00,
seed-oss_512,0.00,,0.00%,0.00%,0.006,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,0.00,,0.00%,0.00%,0.006,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,0.00%,0.00%,0.012,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.012,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,0.00,,0.00%,0.00%,0.012,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.012,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_4096,0.00,,0.00%,0.00%,0.015,0.00,2,N/A,,N/A,,N/A,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,0.00%,0.00%,0.024,0.52,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,0.00%,0.00%,0.024,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,0.00,,0.00%,0.00%,0.024,0.41,5,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,0.00,,0.00%,0.00%,0.024,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,0.00,,0.00%,0.00%,0.024,0.31,5,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,0.00%,0.00%,0.026,0.36,5,0.00,,0.00,,0.00,,0.00,,0.00,
gpt-oss-120b-high,0.00,0.00%,0.00%,0.00%,0.030,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A
seed-oss_1024,0.00,,0.00%,0.00%,0.030,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.030,0.00,2,0.00,,N/A,,N/A,,0.00,,N/A,
Llama-3.1-8B-Instruct,0.00,,0.00%,0.00%,0.032,0.31,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,0.00,,0.00%,0.00%,0.036,0.47,5,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,0.00,,0.41%,0.00%,0.090,0.78,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,0.00,,0.00%,0.00%,0.230,51.86,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B,0.00,,0.41%,0.00%,0.252,1.02,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.454,0.81,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.460,1.14,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,0.00,,0.00%,0.00%,0.474,1.20,5,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,0.00%,0.00%,0.908,8.29,5,0.00,,0.00,,0.00,,0.00,,0.00,
