Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bingo,bingo_rel,knjige,knjige_rel,lepeze,lepeze_rel,putovanje,putovanje_rel,roboti,roboti_rel
deepseek-chat,133.00,42.36%,47.59%,40.00%,0.518,123.65,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%,13.00,11.82%
DeepSeek-R1-Distill-Qwen-14B,125.00,,36.78%,20.00%,0.578,1.75,5,50.00,,0.00,,0.00,,65.00,,10.00,
Qwen3-8B,122.00,33.82%,39.05%,20.00%,0.502,1.63,5,50.00,100.00%,7.00,10.00%,0.00,0.00%,65.00,59.09%,0.00,0.00%
OlympicCoder-7B,122.00,33.82%,41.04%,20.00%,0.518,1.57,5,50.00,100.00%,7.00,10.00%,0.00,0.00%,65.00,59.09%,0.00,0.00%
seed-oss_1024,102.00,,35.62%,20.00%,0.100,117.98,5,50.00,,7.00,,0.00,,45.00,,0.00,
Qwen3-30B-Non-Thinking,102.00,30.18%,35.12%,20.00%,0.496,1.38,5,50.00,100.00%,7.00,10.00%,0.00,0.00%,45.00,40.91%,0.00,0.00%
Llama-4-Scout,102.00,30.18%,34.35%,20.00%,0.498,1.28,5,50.00,100.00%,7.00,10.00%,0.00,0.00%,45.00,40.91%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,102.00,30.18%,34.35%,20.00%,0.502,1.50,5,50.00,100.00%,7.00,10.00%,0.00,0.00%,45.00,40.91%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,102.00,,35.65%,20.00%,0.756,1.85,5,50.00,,7.00,,0.00,,45.00,,0.00,
Qwen2.5-72B,102.00,,39.74%,20.00%,0.910,15.19,5,50.00,,7.00,,0.00,,45.00,,0.00,
Mistral-Large-Instruct-2411,102.00,30.18%,37.08%,20.00%,0.986,116.17,5,50.00,100.00%,7.00,10.00%,0.00,0.00%,45.00,40.91%,0.00,0.00%
Qwen3-14B-Non-Thinking,95.00,35.23%,37.65%,25.00%,0.622,1.16,4,50.00,100.00%,N/A,N/A,0.00,0.00%,45.00,40.91%,0.00,0.00%
Qwen3-4B-Non-Thinking,95.00,28.18%,31.17%,20.00%,0.974,123.24,5,50.00,100.00%,0.00,0.00%,0.00,0.00%,45.00,40.91%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,79.00,21.78%,21.91%,0.00%,0.984,123.31,5,34.00,68.00%,0.00,0.00%,0.00,0.00%,45.00,40.91%,0.00,0.00%
Qwen3-32B-Non-Thinking,77.00,27.71%,41.16%,20.00%,0.746,123.91,5,50.00,100.00%,27.00,38.57%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B,75.00,13.64%,16.78%,0.00%,0.976,1.46,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,65.00,59.09%,10.00,9.09%
seed-oss_512,57.00,,27.35%,20.00%,0.016,1.54,5,50.00,,7.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,57.00,22.00%,25.86%,20.00%,0.034,1.69,5,50.00,100.00%,7.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,57.00,22.00%,25.45%,20.00%,0.198,115.97,5,50.00,100.00%,7.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,57.00,,25.58%,20.00%,0.502,1.44,5,50.00,,7.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,50.00,20.00%,21.29%,20.00%,0.038,1.90,5,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,50.00,20.00%,20.86%,20.00%,0.296,1.02,5,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,50.00,,21.75%,20.00%,0.496,1.40,5,50.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,50.00,20.00%,23.40%,20.00%,0.510,51.98,5,50.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
