Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,abc,abc_rel,cyberland,cyberland_rel,sequence,sequence_rel
gpt-oss-120b_sp3,31.00,10.33%,22.70%,0.00%,0.720,18.93,3,0.00,0.00%,20.00,20.00%,11.00,11.00%
Qwen3-8B,31.00,10.33%,22.70%,0.00%,0.727,10.66,3,0.00,0.00%,20.00,20.00%,11.00,11.00%
gpt-oss-120b_sp4,31.00,10.33%,23.54%,0.00%,0.797,8.16,3,0.00,0.00%,20.00,20.00%,11.00,11.00%
Qwen3-14B-Non-Thinking,31.00,10.33%,23.10%,0.00%,0.957,805.54,3,0.00,0.00%,20.00,20.00%,11.00,11.00%
Qwen3-8B-Non-Thinking,31.00,10.33%,22.70%,0.00%,1.637,188.86,3,0.00,0.00%,20.00,20.00%,11.00,11.00%
Codestral-22B-v0.1,26.00,8.67%,22.29%,0.00%,0.667,820.62,3,0.00,0.00%,15.00,15.00%,11.00,11.00%
Qwen2.5-Coder-32B-Instruct,26.00,8.67%,21.88%,0.00%,0.967,792.05,3,0.00,0.00%,15.00,15.00%,11.00,11.00%
Mistral-Large-Instruct-2411,26.00,13.00%,32.21%,0.00%,1.430,1223.07,2,N/A,N/A,15.00,15.00%,11.00,11.00%
gpt-oss-20b-low,24.00,8.00%,18.67%,0.00%,0.273,22.02,3,4.00,4.00%,20.00,20.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,24.00,8.00%,19.08%,0.00%,1.017,830.67,3,4.00,4.00%,20.00,20.00%,0.00,0.00%
gpt-oss-120b-low,24.00,8.00%,15.80%,0.00%,1.017,17.79,3,4.00,4.00%,20.00,20.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,20.00,6.67%,7.72%,0.00%,0.100,7.31,3,0.00,0.00%,20.00,20.00%,0.00,0.00%
Qwen3-30B,20.00,6.67%,13.72%,0.00%,0.210,22.90,3,0.00,0.00%,20.00,20.00%,0.00,0.00%
QwQ-32B,20.00,6.67%,13.34%,0.00%,0.230,17.70,3,0.00,0.00%,20.00,20.00%,0.00,0.00%
Qwen3-14B,20.00,6.67%,13.72%,0.00%,0.243,22.90,3,0.00,0.00%,20.00,20.00%,0.00,0.00%
Qwen3-4B,20.00,6.67%,13.72%,0.00%,0.253,28.47,3,0.00,0.00%,20.00,20.00%,0.00,0.00%
seed-oss_1024,20.00,,12.97%,0.00%,0.663,23.02,3,0.00,,20.00,,0.00,
seed-oss_2048,20.00,,8.55%,0.00%,0.697,26.96,3,0.00,,20.00,,0.00,
Llama-3.1-8B-Instruct,15.00,5.00%,6.50%,0.00%,0.093,5.14,3,0.00,0.00%,15.00,15.00%,0.00,0.00%
gpt-oss-120b-medium,15.00,5.00%,12.53%,0.00%,0.340,17.36,3,0.00,0.00%,15.00,15.00%,0.00,0.00%
gpt-oss-20b-medium,15.00,5.00%,15.33%,0.00%,0.420,19.71,3,0.00,0.00%,15.00,15.00%,0.00,0.00%
Llama-4-Scout,15.00,5.00%,20.31%,0.00%,0.650,5.86,3,4.00,4.00%,0.00,0.00%,11.00,11.00%
gpt-oss-120b_sp1,15.00,5.00%,14.28%,0.00%,0.893,19.47,3,0.00,0.00%,15.00,15.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,15.00,5.00%,11.40%,0.00%,1.617,85.06,3,0.00,0.00%,15.00,15.00%,0.00,0.00%
OlympicCoder-7B,15.00,5.00%,14.28%,0.00%,1.617,9.11,3,0.00,0.00%,15.00,15.00%,0.00,0.00%
Qwen2.5-72B,11.00,3.67%,14.97%,0.00%,0.613,819.04,3,0.00,0.00%,0.00,0.00%,11.00,11.00%
Qwen3-4B-Non-Thinking,11.00,5.50%,22.46%,0.00%,0.950,36.74,2,N/A,N/A,0.00,0.00%,11.00,11.00%
Qwen2.5-Coder-14B-Instruct,11.00,3.67%,15.38%,0.00%,1.193,1632.21,3,0.00,0.00%,0.00,0.00%,11.00,11.00%
Llama-3.3-70B-Instruct,11.00,3.67%,15.78%,0.00%,1.617,510.83,3,0.00,0.00%,0.00,0.00%,11.00,11.00%
Qwen2.5-Coder-7B-Instruct,11.00,3.67%,15.38%,0.00%,1.640,153.41,3,0.00,0.00%,0.00,0.00%,11.00,11.00%
DeepSeek-R1-Distill-Llama-8B,4.00,1.33%,5.33%,0.00%,0.097,4.89,3,4.00,4.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
