contest,total_score,included_tasks,pass_rate_percent,relative_score_percent,human_percentile,medal,rank,source_file
USACO-2023-December_Contest-platinum,417.0,3,0.0,41.74174174174174,,Silver,10,USACO-2023-December_Contest-platinum_rankings.csv
USACO-2023-February_Contest-combined,3000.0,9,100.0,100.10010010010011,,Gold,1,USACO-2023-February_Contest-combined_rankings.csv
USACO-2023-February_Contest-platinum,999.0,3,100.0,100.0,,Gold,1,USACO-2023-February_Contest-platinum_rankings.csv
USACO-2023-January_Contest-combined,2090.0,9,66.66666666666666,69.73640306973641,,Bronze,7,USACO-2023-January_Contest-combined_rankings.csv
USACO-2023-January_Contest-platinum,766.0,3,66.66666666666666,76.67667667667668,,Gold,1,USACO-2023-January_Contest-platinum_rankings.csv
USACO-2023-US_Open_Contest-combined,2084.0,9,66.66666666666666,69.5362028695362,,Silver,2,USACO-2023-US_Open_Contest-combined_rankings.csv
USACO-2023-US_Open_Contest-platinum,470.0,3,33.33333333333333,47.047047047047045,,Silver,1,USACO-2023-US_Open_Contest-platinum_rankings.csv
USACO-2024-December_Contest-combined,2895.0,9,88.88888888888889,96.5965965965966,,Gold,1,USACO-2024-December_Contest-combined_rankings.csv
USACO-2024-December_Contest-platinum,473.0,3,33.33333333333333,47.347347347347345,,Silver,1,USACO-2024-December_Contest-platinum_rankings.csv
USACO-2024-February_Contest-combined,2717.0,9,88.88888888888889,90.65732399065732,,Gold,1,USACO-2024-February_Contest-combined_rankings.csv
USACO-2024-February_Contest-platinum,604.0,3,33.33333333333333,60.46046046046046,,Silver,1,USACO-2024-February_Contest-platinum_rankings.csv
USACO-2024-January_Contest-combined,2834.0,9,88.88888888888889,94.56122789456123,,Gold,2,USACO-2024-January_Contest-combined_rankings.csv
USACO-2024-January_Contest-platinum,600.0,3,33.33333333333333,60.06006006006006,,Silver,2,USACO-2024-January_Contest-platinum_rankings.csv
USACO-2024-US_Open_Contest-combined,3000.0,9,100.0,100.10010010010011,,Gold,1,USACO-2024-US_Open_Contest-combined_rankings.csv
USACO-2024-US_Open_Contest-platinum,217.0,3,0.0,21.72172172172172,,None,12,USACO-2024-US_Open_Contest-platinum_rankings.csv
USACO-2025-February_Contest-combined,3000.0,9,100.0,100.10010010010011,,Gold,2,USACO-2025-February_Contest-combined_rankings.csv
USACO-2025-February_Contest-platinum,666.0,3,66.66666666666666,66.66666666666666,,Silver,2,USACO-2025-February_Contest-platinum_rankings.csv
USACO-2025-January_Contest-combined,2867.0,9,88.88888888888889,95.66232899566232,,Gold,1,USACO-2025-January_Contest-combined_rankings.csv
USACO-2025-January_Contest-platinum,446.0,3,33.33333333333333,44.64464464464464,,Silver,1,USACO-2025-January_Contest-platinum_rankings.csv
USACO-2025-US_Open_Contest-combined,2726.0,9,88.88888888888889,90.95762429095763,,Gold,1,USACO-2025-US_Open_Contest-combined_rankings.csv
USACO-2025-US_Open_Contest-platinum,95.0,3,0.0,9.50950950950951,,None,5,USACO-2025-US_Open_Contest-platinum_rankings.csv
