Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,dizalo,dizalo_rel,kuglice,kuglice_rel,pahuljice,pahuljice_rel,pingvin,pingvin_rel,zatopljenje,zatopljenje_rel
gpt-oss-20b-medium,340.00,80.00%,80.00%,80.00%,0.062,7.22,5,0.00,0.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
seed-oss_-1,340.00,80.00%,80.00%,80.00%,0.066,15.37,5,0.00,0.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gpt-oss-20b-high,340.00,80.00%,80.00%,80.00%,0.066,8.90,5,0.00,0.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
QwQ-32B,340.00,,80.00%,80.00%,0.066,12.80,5,0.00,,110.00,,50.00,,70.00,,110.00,
gpt-oss-120b-low,340.00,80.00%,80.00%,80.00%,0.072,7.77,5,0.00,0.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gpt-o3-mini-high,340.00,80.00%,80.00%,80.00%,0.074,13.66,5,0.00,0.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
deepseek-reasoner,340.00,80.00%,80.00%,80.00%,0.078,12.28,5,0.00,0.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
OpenCodeReasoning-Nemotron-32B-IOI,340.00,80.00%,80.00%,80.00%,0.088,12.62,5,0.00,0.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gpt-4.1,340.00,80.00%,80.00%,80.00%,0.090,17.34,5,0.00,0.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
Qwen3-30B,340.00,,80.00%,80.00%,0.096,12.90,5,0.00,,110.00,,50.00,,70.00,,110.00,
seed-oss_8192,340.00,,80.00%,80.00%,0.154,31.82,5,0.00,,110.00,,50.00,,70.00,,110.00,
Qwen3-32B,340.00,,80.00%,80.00%,0.234,29.60,5,0.00,,110.00,,50.00,,70.00,,110.00,
Qwen3-14B,340.00,,80.00%,80.00%,0.246,26.25,5,0.00,,110.00,,50.00,,70.00,,110.00,
Qwen3-8B,340.00,80.00%,80.00%,80.00%,0.252,32.52,5,0.00,0.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
seed-oss_4096,273.00,,68.92%,60.00%,0.208,25.63,5,0.00,,43.00,,50.00,,70.00,,110.00,
deepseek-chat,250.00,63.64%,65.00%,60.00%,0.070,10.90,5,0.00,0.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,20.00,18.18%
gpt-oss-20b-low,230.00,60.00%,62.43%,60.00%,0.066,12.49,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
DeepSeek-R1-Distill-Llama-70B,230.00,60.00%,62.16%,60.00%,0.170,16.46,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
OlympicCoder-7B,230.00,60.00%,61.89%,60.00%,0.222,32.61,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
claude-sonnet-4.5,210.00,56.36%,72.24%,40.00%,1.334,9.82,5,35.00,31.82%,25.00,22.73%,50.00,100.00%,70.00,100.00%,30.00,27.27%
Qwen3-4B,140.00,43.64%,53.64%,40.00%,0.622,44.71,5,0.00,0.00%,10.00,9.09%,50.00,100.00%,70.00,100.00%,10.00,9.09%
DeepSeek-R1-Distill-Qwen-32B,130.00,,48.50%,40.00%,0.460,19.02,5,0.00,,0.00,,50.00,,70.00,,10.00,
Mistral-Small-3.1-24B-2503,130.00,41.82%,49.58%,40.00%,0.510,3.35,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,70.00,100.00%,10.00,9.09%
Qwen3-32B-Non-Thinking,130.00,41.82%,49.31%,40.00%,0.512,4.68,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,70.00,100.00%,10.00,9.09%
Llama-4-Scout,130.00,41.82%,49.58%,40.00%,0.520,1.70,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,70.00,100.00%,10.00,9.09%
Mistral-Large-Instruct-2411,130.00,41.82%,52.01%,40.00%,0.524,1.77,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,70.00,100.00%,10.00,9.09%
Qwen3-8B-Non-Thinking,130.00,41.82%,49.04%,40.00%,0.580,124.99,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,70.00,100.00%,10.00,9.09%
Llama-3.3-70B-Instruct,130.00,,50.93%,40.00%,1.122,2.79,5,0.00,,0.00,,50.00,,70.00,,10.00,
Qwen2.5-72B,130.00,,50.43%,40.00%,1.124,2.22,5,0.00,,0.00,,50.00,,70.00,,10.00,
Qwen2.5-Coder-14B-Instruct,130.00,41.82%,49.58%,40.00%,1.232,1.61,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,70.00,100.00%,10.00,9.09%
Codestral-22B-v0.1,123.00,39.82%,47.44%,20.00%,0.542,2.90,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,63.00,90.00%,10.00,9.09%
seed-oss_1024,120.00,,42.16%,40.00%,0.012,1.29,5,0.00,,0.00,,50.00,,70.00,,0.00,
seed-oss_0,120.00,,40.27%,40.00%,0.022,1.19,5,0.00,,0.00,,50.00,,70.00,,0.00,
seed-oss_2048,120.00,,41.62%,40.00%,0.024,8.51,5,0.00,,0.00,,50.00,,70.00,,0.00,
seed-oss_512,120.00,,41.62%,40.00%,0.030,16.14,5,0.00,,0.00,,50.00,,70.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,80.00,,28.50%,20.00%,0.470,16.16,5,0.00,,0.00,,0.00,,70.00,,10.00,
Qwen3-30B-Non-Thinking,80.00,21.82%,29.86%,20.00%,0.578,245.95,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,70.00,100.00%,10.00,9.09%
DeepSeek-Coder-V2-Lite-Instruct,70.00,20.00%,24.44%,20.00%,0.770,2.34,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,37.00,10.79%,30.65%,0.00%,0.514,1.92,5,0.00,0.00%,0.00,0.00%,11.00,22.00%,16.00,22.86%,10.00,9.09%
Qwen2.5-Coder-32B-Instruct,33.00,,19.50%,0.00%,0.472,1.13,5,0.00,,0.00,,0.00,,23.00,,10.00,
Qwen2.5-Coder-7B-Instruct,16.00,4.57%,7.01%,0.00%,0.524,15.74,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,16.00,22.86%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,0.00,0.00%,5.32%,0.00%,0.030,0.00,4,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,7.50%,0.00%,0.034,0.84,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
