Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,s1j4,s1j4_rel,s2,s2_rel,s3,s3_rel,s4,s4_rel,s5,s5_rel
seed-oss_1024,14.00,,22.91%,0.00%,0.298,25.84,5,6.00,,5.00,,0.00,,3.00,,0.00,
Qwen2.5-72B,14.00,,22.67%,0.00%,0.570,70.88,5,6.00,,5.00,,0.00,,3.00,,0.00,
Qwen2.5-Coder-32B-Instruct,14.00,,22.65%,0.00%,0.572,1.10,5,6.00,,5.00,,0.00,,3.00,,0.00,
Mistral-Large-Instruct-2411,11.00,,18.54%,0.00%,0.226,0.00,5,6.00,,5.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,11.00,,17.74%,0.00%,0.238,0.00,5,6.00,,5.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,11.00,,18.04%,0.00%,0.242,0.00,5,6.00,,5.00,,0.00,,0.00,,0.00,
Llama-4-Scout,11.00,,18.27%,0.00%,0.248,0.62,5,6.00,,5.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,11.00,,18.60%,0.00%,0.440,93.71,5,3.00,,5.00,,0.00,,3.00,,0.00,
Qwen3-8B-Non-Thinking,11.00,,19.14%,0.00%,0.572,0.31,5,6.00,,5.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,11.00,,18.04%,0.00%,0.572,1.04,5,6.00,,5.00,,0.00,,0.00,,0.00,
seed-oss_2048,9.00,,16.60%,0.00%,0.412,7.79,5,6.00,,0.00,,0.00,,3.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,8.00,,13.12%,0.00%,0.012,0.00,5,6.00,,0.00,,2.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,8.00,,16.04%,0.00%,0.248,1.04,5,3.00,,5.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,8.00,,13.17%,0.00%,0.562,21.25,5,0.00,,5.00,,0.00,,3.00,,0.00,
Qwen3-4B-Non-Thinking,8.00,,14.85%,0.00%,0.568,3.31,5,3.00,,5.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,8.00,,14.54%,0.00%,0.572,0.79,5,3.00,,5.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.48%,0.00%,0.028,0.99,5,0.00,,0.00,,0.00,,0.00,,0.00,
