Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,hijerarhija,hijerarhija_rel,osobna,osobna_rel,skokovi,skokovi_rel,uciteljica,uciteljica_rel,zbunjenost,zbunjenost_rel
OpenCodeReasoning-Nemotron-32B-IOI,210.00,60.00%,60.97%,60.00%,0.080,3.69,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,210.00,60.00%,61.30%,60.00%,0.126,5.81,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,210.00,60.00%,60.97%,60.00%,0.168,3.80,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,210.00,60.00%,60.97%,60.00%,0.188,131.21,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-low,210.00,60.00%,61.30%,60.00%,1.274,3.62,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B,210.00,60.00%,61.63%,60.00%,1.340,8.72,5,90.00,100.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,202.00,,64.10%,40.00%,0.720,6.45,5,67.00,,50.00,,70.00,,0.00,,15.00,
seed-oss_1024,193.00,,57.55%,40.00%,0.106,7.06,5,73.00,,50.00,,70.00,,0.00,,0.00,
OlympicCoder-7B,175.00,42.50%,47.10%,40.00%,0.088,3.79,5,90.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,15.00,12.50%
Qwen3-30B,175.00,,49.07%,40.00%,1.238,3.61,5,90.00,,0.00,,70.00,,0.00,,15.00,
seed-oss_512,160.00,,40.33%,40.00%,0.058,3.72,5,90.00,,0.00,,70.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,160.00,,44.52%,40.00%,0.212,7.94,5,90.00,,0.00,,70.00,,0.00,,0.00,
seed-oss_4096,142.00,,51.52%,40.00%,0.042,3.58,5,22.00,,50.00,,70.00,,0.00,,0.00,
seed-oss_2048,142.00,,48.98%,40.00%,0.750,7.27,5,22.00,,50.00,,70.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,135.00,42.50%,47.76%,40.00%,1.258,8.11,5,0.00,0.00%,50.00,100.00%,70.00,100.00%,0.00,0.00%,15.00,12.50%
Qwen2.5-72B,120.00,,40.33%,40.00%,0.040,2.42,5,0.00,,50.00,,70.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,92.00,30.60%,38.89%,20.00%,0.882,6.50,5,22.00,24.44%,50.00,100.00%,20.00,28.57%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,92.00,24.89%,29.31%,20.00%,1.992,82.10,5,22.00,24.44%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,75.00,18.25%,21.86%,0.00%,1.942,8.67,5,50.00,55.56%,0.00,0.00%,25.00,35.71%,0.00,0.00%,0.00,0.00%
seed-oss_0,72.00,,23.01%,0.00%,1.256,9.91,5,22.00,,0.00,,50.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,70.00,20.00%,26.96%,20.00%,1.982,7.09,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,57.00,13.10%,25.35%,0.00%,1.944,7.43,5,22.00,24.44%,0.00,0.00%,20.00,28.57%,0.00,0.00%,15.00,12.50%
Llama-4-Scout,47.00,12.03%,16.58%,0.00%,1.360,55.50,5,22.00,24.44%,0.00,0.00%,25.00,35.71%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,45.00,12.86%,17.18%,0.00%,1.246,9.05,5,0.00,0.00%,0.00,0.00%,45.00,64.29%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,38.00,,24.24%,0.00%,2.538,119.23,5,0.00,,0.00,,25.00,,0.00,,13.00,
Qwen3-4B-Non-Thinking,25.00,7.14%,10.27%,0.00%,1.210,0.98,5,0.00,0.00%,0.00,0.00%,25.00,35.71%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,25.00,7.14%,13.29%,0.00%,1.294,1.34,5,0.00,0.00%,0.00,0.00%,25.00,35.71%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,25.00,7.14%,11.07%,0.00%,1.942,11.84,5,0.00,0.00%,0.00,0.00%,25.00,35.71%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,25.00,7.14%,9.73%,0.00%,2.408,1.40,5,0.00,0.00%,0.00,0.00%,25.00,35.71%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,22.00,4.89%,6.11%,0.00%,0.096,0.52,5,22.00,24.44%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,20.00,5.71%,10.23%,0.00%,0.034,0.57,5,0.00,0.00%,0.00,0.00%,20.00,28.57%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,20.00,,15.56%,0.00%,1.814,3.10,5,0.00,,0.00,,20.00,,0.00,,0.00,
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,2,N/A,,0.00,,0.00,,N/A,,N/A,
