Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Hoof_Paper_Scissors_Minus_One,bronze_Hoof_Paper_Scissors_Minus_One_rel,bronze_Its_Mooin_Time_III,bronze_Its_Mooin_Time_III_rel,bronze_More_Cow_Photos,bronze_More_Cow_Photos_rel,gold_Election_Queries,gold_Election_Queries_rel,gold_Moo_Decomposition,gold_Moo_Decomposition_rel,gold_OohMoo_Milk,gold_OohMoo_Milk_rel,platinum_Forklift_Certified,platinum_Forklift_Certified_rel,platinum_Lazy_Sort,platinum_Lazy_Sort_rel,platinum_Package_Pickup,platinum_Package_Pickup_rel,silver_Compatible_Pairs,silver_Compatible_Pairs_rel,silver_Sequence_Construction,silver_Sequence_Construction_rel,silver_Ski_Slope,silver_Ski_Slope_rel
deepseek-reasoner,1935.00,49.40%,50.83%,41.67%,0.388,7.19,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,175.00,55.56%,0.00,0.00%,95.00,29.50%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%,333.00,104.06%
seed-oss_-1,1925.00,49.39%,52.36%,41.67%,0.182,20.09,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,333.00,105.71%,98.00,30.34%,95.00,29.50%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,333.00,104.06%
seed-oss_16384,1886.00,,49.04%,33.33%,0.868,25.95,12,333.00,,267.00,,333.00,,0.00,,333.00,,59.00,,95.00,,0.00,,0.00,,133.00,,0.00,,333.00,
claude-sonnet-4.5,1853.00,47.32%,51.55%,33.33%,1.238,74.86,12,333.00,100.91%,167.00,50.61%,333.00,100.91%,128.00,39.38%,143.00,45.40%,59.00,18.27%,24.00,7.45%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%,333.00,104.06%
QwQ-32B,1748.00,,46.39%,33.33%,0.192,8.12,12,333.00,,333.00,,333.00,,0.00,,254.00,,0.00,,95.00,,0.00,,0.00,,67.00,,0.00,,333.00,
Qwen3-32B,1720.00,,47.32%,33.33%,0.460,32.10,12,333.00,,167.00,,333.00,,0.00,,333.00,,59.00,,95.00,,0.00,,0.00,,67.00,,0.00,,333.00,
Qwen3-30B,1720.00,,45.93%,33.33%,0.522,8.17,12,333.00,,167.00,,333.00,,0.00,,333.00,,59.00,,95.00,,0.00,,0.00,,67.00,,0.00,,333.00,
gpt-oss-20b-medium,1698.00,47.50%,48.33%,45.45%,0.655,12.92,11,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,333.00,105.71%,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%,33.00,10.00%,0.00,0.00%,333.00,104.06%
OpenCodeReasoning-Nemotron-32B-IOI,1684.00,43.08%,45.19%,33.33%,0.180,11.15,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,190.00,60.32%,0.00,0.00%,95.00,29.50%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,333.00,104.06%
Qwen3-14B,1482.00,,40.49%,25.00%,0.688,6.57,12,333.00,,167.00,,333.00,,0.00,,95.00,,59.00,,95.00,,0.00,,0.00,,67.00,,0.00,,333.00,
gpt-oss-120b-low,1456.00,37.20%,37.66%,25.00%,0.367,9.48,12,333.00,100.91%,167.00,50.61%,333.00,100.91%,0.00,0.00%,95.00,30.16%,0.00,0.00%,95.00,29.50%,0.00,0.00%,0.00,0.00%,100.00,30.30%,0.00,0.00%,333.00,104.06%
gpt-oss-20b-low,1447.00,36.86%,35.72%,33.33%,0.365,9.49,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,48.00,15.24%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,333.00,104.06%
seed-oss_8192,1361.00,,35.90%,25.00%,0.440,4.34,12,333.00,,0.00,,333.00,,0.00,,333.00,,0.00,,95.00,,0.00,,0.00,,267.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,1172.00,,32.63%,25.00%,0.546,18.86,12,333.00,,67.00,,333.00,,0.00,,0.00,,39.00,,0.00,,0.00,,0.00,,67.00,,0.00,,333.00,
OlympicCoder-7B,967.00,24.49%,27.55%,16.67%,0.735,17.05,12,333.00,100.91%,133.00,40.30%,333.00,100.91%,0.00,0.00%,0.00,0.00%,39.00,12.07%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,62.00,19.38%
Qwen3-4B,928.00,23.48%,27.32%,16.67%,0.740,46.20,12,333.00,100.91%,133.00,40.30%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,62.00,19.38%
Qwen3-8B,825.00,21.01%,25.46%,8.33%,0.766,21.59,12,0.00,0.00%,167.00,50.61%,333.00,100.91%,0.00,0.00%,0.00,0.00%,59.00,18.27%,95.00,29.50%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,104.00,32.50%
seed-oss_4096,800.00,,22.61%,16.67%,0.292,41.11,12,333.00,,67.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,795.00,,23.05%,16.67%,0.491,42.41,12,333.00,,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,,62.00,
DeepSeek-R1-Distill-Llama-70B,757.00,19.13%,21.00%,16.67%,0.350,19.77,12,0.00,0.00%,67.00,20.30%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,24.00,7.45%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%,0.00,0.00%
deepseek-chat,529.00,13.41%,17.85%,8.33%,0.615,49.42,12,333.00,100.91%,67.00,20.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,62.00,19.38%
gpt-4.1,435.00,11.10%,15.10%,0.00%,0.678,64.04,12,152.00,46.06%,67.00,20.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,24.00,7.45%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,125.00,39.06%
seed-oss_2048,430.00,,12.69%,8.33%,0.537,33.15,12,30.00,,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,319.00,8.79%,10.88%,0.00%,0.838,6.36,11,152.00,46.06%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,67.00,20.30%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,286.00,,10.33%,0.00%,0.818,13.46,12,152.00,,67.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,244.00,6.76%,8.18%,0.00%,0.937,9.03,11,152.00,46.06%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,59.00,18.27%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.00%,N/A,N/A,0.00,0.00%
Mistral-Large-Instruct-2411,235.00,6.00%,9.25%,0.00%,1.312,83.99,12,0.00,0.00%,67.00,20.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,39.00,12.07%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,62.00,19.38%
Llama-4-Scout,216.00,5.51%,9.06%,0.00%,0.900,25.25,12,0.00,0.00%,67.00,20.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,20.00,6.19%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,62.00,19.38%
Qwen2.5-Coder-14B-Instruct,193.00,4.91%,7.71%,0.00%,0.998,42.04,12,0.00,0.00%,67.00,20.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,59.00,18.27%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,162.00,4.14%,6.61%,0.00%,0.812,27.74,12,0.00,0.00%,33.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,62.00,19.38%
Qwen3-32B-Non-Thinking,129.00,3.31%,6.05%,0.00%,1.001,6.60,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,62.00,19.38%
Qwen2.5-72B,126.00,,5.75%,0.00%,0.263,22.90,12,0.00,,0.00,,0.00,,0.00,,0.00,,59.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,100.00,,4.09%,0.00%,0.700,82.60,12,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
seed-oss_1024,67.00,,3.33%,0.00%,0.027,1.52,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
seed-oss_512,67.00,,3.89%,0.00%,0.030,1.28,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
seed-oss_0,67.00,,3.33%,0.00%,0.037,1.99,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,67.00,1.69%,3.67%,0.00%,0.043,3.05,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,67.00,1.85%,3.03%,0.00%,0.595,2.82,11,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%,67.00,20.30%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,33.00,0.83%,1.58%,0.00%,0.329,48.18,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,0.00%,0.00%,0.016,0.15,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,0.00%,0.00%,0.016,0.15,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,0.89%,0.00%,0.067,1.77,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,1.39%,0.00%,0.286,13.82,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
