Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Candy_Cane_Feast,bronze_Candy_Cane_Feast_rel,bronze_Cowntact_Tracing_2,bronze_Cowntact_Tracing_2_rel,bronze_Farmer_John_Actually_Farms,bronze_Farmer_John_Actually_Farms_rel,gold_Flight_Routes,gold_Flight_Routes_rel,gold_Haybale_Distribution,gold_Haybale_Distribution_rel,gold_Minimum_Longest_Trip,gold_Minimum_Longest_Trip_rel,platinum_A_Graph_Problem,platinum_A_Graph_Problem_rel,platinum_Cowntact_Tracing,platinum_Cowntact_Tracing_rel,platinum_Train_Scheduling,platinum_Train_Scheduling_rel,silver_Bovine_Acrobatics,silver_Bovine_Acrobatics_rel,silver_Cycle_Correspondence,silver_Cycle_Correspondence_rel,silver_Target_Practice,silver_Target_Practice_rel
gpt-oss-120b_sp2,3347.00,85.76%,85.18%,75.00%,0.278,12.52,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,50.00,15.62%,0.00,0.00%,300.00,93.75%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-o3-mini-high,3331.00,85.48%,85.69%,66.67%,0.466,20.98,12,333.00,102.46%,167.00,50.61%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,50.00,15.62%,150.00,46.88%,300.00,93.75%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-oss-120b-low,3076.00,78.85%,78.06%,58.33%,0.176,11.16,12,333.00,102.46%,167.00,50.61%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,0.00,0.00%,0.00,0.00%,300.00,93.75%,333.00,100.91%,333.00,102.78%,278.00,85.80%
seed-oss_16384,2998.00,,78.88%,58.33%,0.657,20.65,12,333.00,,167.00,,333.00,,333.00,,333.00,,333.00,,50.00,,67.00,,300.00,,333.00,,333.00,,83.00,
deepseek-reasoner,2688.00,68.82%,72.60%,50.00%,0.743,11.34,12,333.00,102.46%,167.00,50.61%,333.00,100.91%,333.00,104.06%,333.00,100.91%,83.00,25.94%,17.00,5.31%,67.00,20.94%,300.00,93.75%,333.00,100.91%,333.00,102.78%,56.00,17.28%
seed-oss_8192,2504.00,,66.12%,50.00%,0.660,12.43,12,333.00,,167.00,,333.00,,333.00,,333.00,,333.00,,50.00,,67.00,,33.00,,133.00,,333.00,,56.00,
Qwen3-32B,2481.00,,68.02%,41.67%,0.641,14.66,12,333.00,,167.00,,333.00,,333.00,,333.00,,83.00,,50.00,,0.00,,300.00,,133.00,,333.00,,83.00,
claude-sonnet-4.5,2480.00,63.50%,68.26%,50.00%,1.060,75.60,12,333.00,102.46%,33.00,10.00%,333.00,100.91%,333.00,104.06%,333.00,100.91%,83.00,25.94%,17.00,5.31%,33.00,10.31%,233.00,72.81%,333.00,100.91%,333.00,102.78%,83.00,25.62%
gemini-2.5-flash,2464.00,62.87%,65.64%,50.00%,1.023,56.07,12,333.00,102.46%,300.00,90.91%,333.00,100.91%,0.00,0.00%,333.00,100.91%,333.00,104.06%,17.00,5.31%,33.00,10.31%,33.00,10.31%,333.00,100.91%,333.00,102.78%,83.00,25.62%
QwQ-32B,2437.00,,66.27%,50.00%,0.521,9.65,12,333.00,,67.00,,333.00,,333.00,,333.00,,83.00,,50.00,,0.00,,183.00,,333.00,,333.00,,56.00,
grok-4-fast-reasoning,2331.00,79.57%,79.77%,66.67%,0.104,9.28,9,333.00,102.46%,333.00,100.91%,333.00,100.91%,0.00,0.00%,N/A,N/A,N/A,N/A,333.00,104.06%,33.00,10.31%,300.00,93.75%,333.00,100.91%,N/A,N/A,333.00,102.78%
OpenCodeReasoning-Nemotron-32B-IOI,2327.00,59.61%,62.06%,41.67%,0.545,9.76,12,333.00,102.46%,167.00,50.61%,333.00,100.91%,333.00,104.06%,333.00,100.91%,0.00,0.00%,50.00,15.62%,0.00,0.00%,300.00,93.75%,89.00,26.97%,333.00,102.78%,56.00,17.28%
DeepSeek-R1-Distill-Llama-70B,2248.00,57.41%,61.29%,41.67%,0.532,50.17,12,333.00,102.46%,100.00,30.30%,333.00,100.91%,17.00,5.31%,333.00,100.91%,83.00,25.94%,0.00,0.00%,0.00,0.00%,300.00,93.75%,333.00,100.91%,333.00,102.78%,83.00,25.62%
Qwen3-30B,2115.00,,59.61%,41.67%,0.855,12.53,12,333.00,,67.00,,333.00,,17.00,,333.00,,83.00,,17.00,,0.00,,183.00,,333.00,,333.00,,83.00,
Qwen3-14B,2015.00,,57.14%,33.33%,1.039,32.33,12,333.00,,100.00,,333.00,,0.00,,333.00,,83.00,,50.00,,17.00,,183.00,,222.00,,333.00,,28.00,
DeepSeek-R1-Distill-Qwen-32B,1904.00,,52.78%,33.33%,0.413,10.99,12,333.00,,133.00,,333.00,,333.00,,333.00,,0.00,,17.00,,0.00,,183.00,,44.00,,139.00,,56.00,
gpt-oss-20b-low,1838.00,46.88%,50.97%,33.33%,0.551,11.76,12,51.00,15.69%,133.00,40.30%,333.00,100.91%,333.00,104.06%,333.00,100.91%,83.00,25.94%,17.00,5.31%,0.00,0.00%,0.00,0.00%,333.00,100.91%,139.00,42.90%,83.00,25.62%
gpt-4.1,1808.00,46.45%,51.82%,16.67%,1.155,64.87,12,231.00,71.08%,100.00,30.30%,0.00,0.00%,333.00,104.06%,333.00,100.91%,83.00,25.94%,17.00,5.31%,33.00,10.31%,300.00,93.75%,156.00,47.27%,139.00,42.90%,83.00,25.62%
Qwen3-8B,1772.00,45.21%,51.88%,25.00%,0.783,32.57,12,333.00,102.46%,100.00,30.30%,333.00,100.91%,17.00,5.31%,333.00,100.91%,0.00,0.00%,17.00,5.31%,0.00,0.00%,300.00,93.75%,200.00,60.61%,56.00,17.28%,83.00,25.62%
deepseek-chat,1712.00,43.98%,46.02%,16.67%,0.742,21.42,12,333.00,102.46%,100.00,30.30%,0.00,0.00%,0.00,0.00%,333.00,100.91%,312.00,97.50%,50.00,15.62%,0.00,0.00%,300.00,93.75%,89.00,26.97%,28.00,8.64%,167.00,51.54%
seed-oss_512,1511.00,,40.15%,25.00%,0.182,5.92,12,333.00,,100.00,,0.00,,333.00,,333.00,,312.00,,0.00,,0.00,,0.00,,44.00,,28.00,,28.00,
seed-oss_4096,1441.00,,39.95%,25.00%,0.507,18.80,12,26.00,,133.00,,333.00,,333.00,,333.00,,83.00,,0.00,,0.00,,0.00,,89.00,,28.00,,83.00,
Qwen3-4B,1429.00,36.39%,41.60%,16.67%,0.847,33.03,12,51.00,15.69%,100.00,30.30%,333.00,100.91%,17.00,5.31%,333.00,100.91%,83.00,25.94%,17.00,5.31%,0.00,0.00%,183.00,57.19%,200.00,60.61%,56.00,17.28%,56.00,17.28%
seed-oss_2048,1231.00,,33.57%,25.00%,0.062,4.64,12,0.00,,100.00,,0.00,,333.00,,333.00,,104.00,,0.00,,0.00,,0.00,,333.00,,0.00,,28.00,
Qwen3-32B-Non-Thinking,1046.00,26.95%,29.33%,8.33%,0.919,27.39,12,231.00,71.08%,67.00,20.30%,0.00,0.00%,333.00,104.06%,44.00,13.33%,104.00,32.50%,17.00,5.31%,0.00,0.00%,50.00,15.62%,89.00,26.97%,28.00,8.64%,83.00,25.62%
DeepSeek-R1-Distill-Qwen-14B,1028.00,,32.02%,16.67%,0.388,24.87,12,333.00,,100.00,,0.00,,17.00,,333.00,,0.00,,17.00,,0.00,,0.00,,89.00,,56.00,,83.00,
Qwen3-30B-Non-Thinking,1004.00,25.76%,28.83%,16.67%,0.345,7.30,12,51.00,15.69%,100.00,30.30%,0.00,0.00%,333.00,104.06%,333.00,100.91%,104.00,32.50%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,83.00,25.62%
seed-oss_1024,952.00,,27.44%,16.67%,0.083,7.95,12,26.00,,100.00,,0.00,,333.00,,333.00,,104.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56.00,
OlympicCoder-7B,934.00,23.77%,27.35%,16.67%,0.377,31.26,12,333.00,102.46%,100.00,30.30%,0.00,0.00%,17.00,5.31%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.30%,56.00,17.28%,28.00,8.64%
Qwen2.5-Coder-32B-Instruct,931.00,,26.55%,8.33%,0.688,21.24,12,333.00,,100.00,,0.00,,0.00,,111.00,,104.00,,0.00,,0.00,,0.00,,200.00,,0.00,,83.00,
Qwen3-14B-Non-Thinking,740.00,20.57%,23.70%,9.09%,0.923,11.66,11,26.00,8.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,333.00,100.91%,104.00,32.50%,0.00,0.00%,0.00,0.00%,50.00,15.62%,44.00,13.33%,N/A,N/A,83.00,25.62%
Mistral-Large-Instruct-2411,739.00,18.86%,21.81%,8.33%,0.932,6.72,12,333.00,102.46%,100.00,30.30%,0.00,0.00%,0.00,0.00%,111.00,33.64%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,67.00,20.30%,28.00,8.64%,83.00,25.62%
Qwen2.5-72B,721.00,,21.91%,8.33%,0.678,5.28,12,333.00,,100.00,,0.00,,0.00,,22.00,,104.00,,17.00,,0.00,,0.00,,89.00,,28.00,,28.00,
Llama-3.3-70B-Instruct,709.00,,24.36%,8.33%,1.212,6.65,12,333.00,,100.00,,0.00,,17.00,,44.00,,104.00,,0.00,,0.00,,0.00,,0.00,,28.00,,83.00,
Llama-4-Scout,577.00,14.75%,21.40%,8.33%,1.187,20.22,12,333.00,102.46%,100.00,30.30%,0.00,0.00%,17.00,5.31%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,22.00,6.67%,0.00,0.00%,83.00,25.62%
Qwen3-8B-Non-Thinking,458.00,12.76%,20.12%,0.00%,1.030,34.59,11,231.00,71.08%,100.00,30.30%,0.00,0.00%,0.00,0.00%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%,0.00,0.00%,83.00,25.62%
Qwen3-4B-Non-Thinking,453.00,11.56%,14.10%,0.00%,1.120,11.09,12,231.00,71.08%,100.00,30.30%,0.00,0.00%,0.00,0.00%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,44.00,13.33%,28.00,8.64%,28.00,8.64%
Qwen2.5-Coder-14B-Instruct,427.00,10.91%,13.62%,0.00%,0.719,29.38,12,51.00,15.69%,100.00,30.30%,0.00,0.00%,17.00,5.31%,0.00,0.00%,42.00,13.12%,17.00,5.31%,0.00,0.00%,0.00,0.00%,89.00,26.97%,28.00,8.64%,83.00,25.62%
seed-oss_0,399.00,,11.64%,0.00%,0.083,9.11,12,0.00,,100.00,,0.00,,17.00,,0.00,,104.00,,0.00,,0.00,,33.00,,89.00,,28.00,,28.00,
Qwen2.5-Coder-7B-Instruct,265.00,6.72%,8.42%,0.00%,0.872,2.76,12,26.00,8.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,89.00,26.97%,0.00,0.00%,28.00,8.64%
Mistral-Small-3.1-24B-2503,251.00,6.38%,8.24%,0.00%,0.312,4.71,12,51.00,15.69%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,44.00,13.33%,28.00,8.64%,28.00,8.64%
Codestral-22B-v0.1,251.00,6.38%,8.12%,0.00%,0.505,6.53,12,51.00,15.69%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,44.00,13.33%,0.00,0.00%,56.00,17.28%
DeepSeek-Coder-V2-Lite-Instruct,225.00,5.74%,6.41%,0.00%,0.909,6.61,12,26.00,8.00%,33.00,10.00%,0.00,0.00%,17.00,5.31%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,44.00,13.33%,0.00,0.00%,83.00,25.62%
Llama-3.1-8B-Instruct,123.00,3.13%,3.78%,0.00%,0.272,3.68,12,0.00,0.00%,67.00,20.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,28.00,8.64%,28.00,8.64%
DeepSeek-R1-Distill-Llama-8B,100.00,2.53%,2.78%,0.00%,0.011,0.14,12,0.00,0.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
