Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,crtez,crtez_rel,stablo,stablo_rel,tornjevi,tornjevi_rel,wow,wow_rel,zid,zid_rel
Qwen3-32B-Non-Thinking,99.00,,30.37%,0.00%,0.664,5.40,5,0.00,,0.00,,61.00,,0.00,,38.00,
Qwen3-8B-Non-Thinking,99.00,,30.37%,0.00%,0.698,4.31,5,0.00,,0.00,,61.00,,0.00,,38.00,
Llama-4-Scout,99.00,,33.54%,0.00%,1.572,19.09,5,0.00,,0.00,,61.00,,0.00,,38.00,
DeepSeek-R1-Distill-Llama-70B,90.00,,20.00%,20.00%,0.140,2.58,5,0.00,,0.00,,90.00,,0.00,,0.00,
seed-oss_2048,84.00,,29.25%,0.00%,0.578,22.34,5,20.00,,0.00,,64.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,78.00,,27.04%,0.00%,0.678,2.12,5,0.00,,0.00,,61.00,,0.00,,17.00,
Qwen3-30B-Non-Thinking,77.00,,27.78%,20.00%,0.482,2.54,5,0.00,,0.00,,7.00,,0.00,,70.00,
Llama-3.3-70B-Instruct,67.00,,22.59%,0.00%,0.680,1.35,5,0.00,,0.00,,50.00,,0.00,,17.00,
DeepSeek-R1-Distill-Qwen-14B,61.00,,15.93%,0.00%,0.444,1.70,5,0.00,,0.00,,61.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,60.00,,25.54%,0.00%,1.506,49.86,5,0.00,,15.00,,7.00,,0.00,,38.00,
seed-oss_4096,57.00,,23.70%,20.00%,0.490,10.93,5,0.00,,0.00,,7.00,,50.00,,0.00,
Qwen2.5-Coder-14B-Instruct,45.00,,18.15%,0.00%,0.266,4.12,5,0.00,,0.00,,7.00,,0.00,,38.00,
Qwen3-4B-Non-Thinking,45.00,,19.26%,0.00%,0.272,3.10,5,0.00,,0.00,,7.00,,0.00,,38.00,
DeepSeek-Coder-V2-Lite-Instruct,24.00,,10.37%,0.00%,0.686,2.73,5,0.00,,0.00,,7.00,,0.00,,17.00,
seed-oss_512,22.00,,11.27%,0.00%,0.870,35.89,5,0.00,,15.00,,7.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,7.00,,6.67%,0.00%,0.448,1.81,5,0.00,,0.00,,7.00,,0.00,,0.00,
seed-oss_0,7.00,,5.93%,0.00%,0.482,4.25,5,0.00,,0.00,,7.00,,0.00,,0.00,
seed-oss_1024,7.00,,5.93%,0.00%,0.490,2.31,5,0.00,,0.00,,7.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,
Llama-3.1-8B-Instruct,0.00,,1.11%,0.00%,0.012,0.31,5,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,1.11%,0.00%,0.014,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
