Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,baltazar,baltazar_rel,bomboni,bomboni_rel,dirigent,dirigent_rel,estimathon,estimathon_rel,skrivaca,skrivaca_rel
DeepSeek-R1-Distill-Qwen-32B,230.00,,60.00%,60.00%,0.184,15.73,5,0.00,,110.00,,70.00,,50.00,,0.00,
gpt-4.1,230.00,,62.81%,60.00%,1.050,21.73,5,0.00,,110.00,,70.00,,50.00,,0.00,
Qwen3-4B,230.00,,69.38%,60.00%,1.090,108.54,5,0.00,,110.00,,70.00,,50.00,,0.00,
Qwen3-8B,230.00,,69.38%,60.00%,1.104,110.41,5,0.00,,110.00,,70.00,,50.00,,0.00,
deepseek-chat,180.00,,52.86%,40.00%,0.164,53.29,5,0.00,,110.00,,20.00,,50.00,,0.00,
Qwen2.5-Coder-32B-Instruct,163.00,,52.98%,20.00%,1.242,110.90,5,15.00,,63.00,,35.00,,50.00,,0.00,
seed-oss_8192,160.00,,40.00%,40.00%,0.050,5.88,5,0.00,,110.00,,0.00,,50.00,,0.00,
Qwen3-32B-Non-Thinking,160.00,,40.00%,40.00%,0.144,41.90,5,0.00,,110.00,,0.00,,50.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,160.00,,40.71%,40.00%,0.334,40.33,5,0.00,,110.00,,0.00,,50.00,,0.00,
Mistral-Large-Instruct-2411,148.00,,49.14%,20.00%,1.244,95.62,5,0.00,,63.00,,35.00,,50.00,,0.00,
Qwen2.5-Coder-14B-Instruct,143.00,,50.84%,20.00%,1.250,106.75,5,15.00,,63.00,,15.00,,50.00,,0.00,
Mistral-Small-3.1-24B-2503,128.00,,42.71%,20.00%,0.280,46.56,5,0.00,,63.00,,15.00,,50.00,,0.00,
Qwen2.5-72B,107.00,,33.61%,0.00%,0.280,4.86,5,0.00,,33.00,,35.00,,39.00,,0.00,
Qwen3-30B-Non-Thinking,104.00,,33.48%,0.00%,0.584,114.42,5,0.00,,30.00,,35.00,,39.00,,0.00,
Llama-3.3-70B-Instruct,96.00,,30.40%,20.00%,0.512,109.06,5,0.00,,46.00,,0.00,,50.00,,0.00,
Llama-4-Scout,85.00,,32.14%,20.00%,0.244,0.00,5,0.00,,0.00,,35.00,,50.00,,0.00,
Qwen3-4B-Non-Thinking,85.00,,32.94%,20.00%,0.318,114.37,5,0.00,,0.00,,35.00,,50.00,,0.00,
Qwen3-14B-Non-Thinking,80.00,,28.00%,20.00%,0.384,112.48,5,0.00,,30.00,,0.00,,50.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,50.00,,20.00%,20.00%,0.000,0.00,5,0.00,,0.00,,0.00,,50.00,,0.00,
Qwen2.5-Coder-7B-Instruct,50.00,,20.00%,20.00%,0.000,0.00,5,0.00,,0.00,,0.00,,50.00,,0.00,
seed-oss_1024,50.00,,20.00%,20.00%,0.000,0.00,5,0.00,,0.00,,0.00,,50.00,,0.00,
seed-oss_512,50.00,,20.00%,20.00%,0.012,0.31,5,0.00,,0.00,,0.00,,50.00,,0.00,
seed-oss_2048,50.00,,20.00%,20.00%,0.024,2.79,5,0.00,,0.00,,0.00,,50.00,,0.00,
seed-oss_0,50.00,,20.00%,20.00%,0.036,3.56,5,0.00,,0.00,,0.00,,50.00,,0.00,
seed-oss_4096,50.00,,20.71%,20.00%,0.268,5.37,5,0.00,,0.00,,0.00,,50.00,,0.00,
Llama-3.1-8B-Instruct,39.00,,16.00%,0.00%,0.024,1.77,5,0.00,,0.00,,0.00,,39.00,,0.00,
Qwen3-8B-Non-Thinking,39.00,,16.00%,0.00%,0.038,3.87,5,0.00,,0.00,,0.00,,39.00,,0.00,
Codestral-22B-v0.1,39.00,,16.80%,0.00%,0.126,4.73,5,0.00,,0.00,,0.00,,39.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,39.00,,13.73%,0.00%,0.332,0.98,5,0.00,,0.00,,0.00,,39.00,,0.00,
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,2,0.00,,N/A,,0.00,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
