Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bikesvscars,bikesvscars_rel,candy,candy_rel,carnival,carnival_rel,findthebox,findthebox_rel,guessinggame,guessinggame_rel,inflation,inflation_rel,ppp,ppp_rel,sopsug,sopsug_rel
seed-oss_4096,200.00,,25.00%,25.00%,0.025,2.52,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
gpt-oss-20b-low,200.00,,25.18%,25.00%,0.026,4.29,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
seed-oss_8192,200.00,,25.71%,25.00%,0.029,9.82,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
gpt-oss-120b-low,200.00,,25.36%,25.00%,0.031,4.23,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
gpt-oss-120b-medium,200.00,25.00%,25.71%,25.00%,0.034,4.83,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,200.00,,29.54%,25.00%,0.235,121.34,8,0.00,,0.00,,100.00,,0.00,,0.00,,100.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,171.00,,25.54%,12.50%,0.906,131.36,8,0.00,,71.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,166.00,,26.22%,0.00%,0.835,144.32,8,0.00,,71.00,,11.00,,0.00,,0.00,,84.00,,0.00,,0.00,
seed-oss_2048,141.00,,23.61%,12.50%,0.569,70.91,8,0.00,,41.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
Codestral-22B-v0.1,130.00,,22.85%,12.50%,0.031,1.95,8,100.00,,0.00,,11.00,,0.00,,0.00,,19.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,123.00,,16.78%,12.50%,0.877,3.26,8,0.00,,0.00,,100.00,,0.00,,0.00,,23.00,,0.00,,0.00,
seed-oss_0,100.00,,15.07%,12.50%,0.019,2.06,8,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
seed-oss_1024,100.00,,15.33%,12.50%,0.028,3.32,8,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
Qwen3-8B,100.00,,15.79%,12.50%,0.184,127.84,8,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
Qwen3-4B,100.00,,15.79%,12.50%,0.186,126.18,8,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
seed-oss_512,84.00,,12.57%,0.00%,0.015,1.88,8,0.00,,0.00,,0.00,,0.00,,0.00,,84.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,53.00,,12.73%,0.00%,0.048,2.53,8,0.00,,0.00,,11.00,,0.00,,0.00,,42.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,53.00,,13.10%,0.00%,0.064,5.64,8,0.00,,0.00,,11.00,,0.00,,0.00,,42.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,53.00,,12.98%,0.00%,0.456,1.85,8,0.00,,0.00,,11.00,,0.00,,0.00,,42.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,50.00,,16.01%,0.00%,0.591,2.65,8,0.00,,6.00,,11.00,,0.00,,0.00,,33.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,39.00,,13.00%,0.00%,0.469,1.47,8,0.00,,0.00,,11.00,,0.00,,0.00,,28.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,39.00,,12.88%,0.00%,0.854,1.94,8,0.00,,0.00,,11.00,,0.00,,0.00,,28.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,36.00,,14.09%,0.00%,0.492,5.05,8,0.00,,6.00,,11.00,,0.00,,0.00,,19.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,30.00,,7.25%,0.00%,0.044,2.96,8,0.00,,0.00,,11.00,,0.00,,0.00,,19.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,25.00,,12.73%,0.00%,0.444,4.42,8,0.00,,0.00,,11.00,,0.00,,0.00,,14.00,,0.00,,0.00,
Qwen2.5-72B,19.00,,7.66%,0.00%,0.051,2.37,8,0.00,,0.00,,0.00,,0.00,,0.00,,19.00,,0.00,,0.00,
Llama-4-Scout,19.00,,6.35%,0.00%,0.068,154.77,8,0.00,,0.00,,0.00,,0.00,,0.00,,19.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,19.00,,8.52%,0.00%,0.191,115.56,8,0.00,,0.00,,0.00,,0.00,,0.00,,19.00,,0.00,,0.00,
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,4.93%,0.00%,0.019,0.00,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,6.05%,0.00%,1.167,2.97,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
