Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,animeshops,animeshops_rel,chairgame,chairgame_rel,thinice,thinice_rel
QwQ-32B,9.00,3.00%,31.33%,0.00%,0.513,3.92,3,0.00,0.00%,9.00,9.00%,0.00,0.00%
Qwen3-4B,9.00,3.00%,18.53%,0.00%,0.540,3.66,3,0.00,0.00%,9.00,9.00%,0.00,0.00%
OlympicCoder-7B,9.00,3.00%,28.44%,0.00%,0.710,19.00,3,0.00,0.00%,9.00,9.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,5.00,1.67%,12.23%,0.00%,0.170,4.07,3,0.00,0.00%,5.00,5.00%,0.00,0.00%
seed-oss_2048,4.00,,21.52%,0.00%,0.067,3.61,3,0.00,,4.00,,0.00,
seed-oss_512,4.00,,26.35%,0.00%,0.067,8.12,3,0.00,,4.00,,0.00,
deepseek-chat,4.00,1.33%,24.03%,0.00%,0.177,3.90,3,0.00,0.00%,4.00,4.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,4.00,1.33%,22.18%,0.00%,0.197,5.06,3,0.00,0.00%,4.00,4.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,4.00,1.33%,18.37%,0.00%,0.460,1.05,3,0.00,0.00%,4.00,4.00%,0.00,0.00%
Llama-3.3-70B-Instruct,4.00,1.33%,24.49%,0.00%,0.573,77.59,3,0.00,0.00%,4.00,4.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,0.00,,6.21%,0.00%,0.040,3.27,3,0.00,,0.00,,0.00,
seed-oss_1024,0.00,,12.90%,0.00%,0.043,3.87,3,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.057,3.18,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,0.65%,0.00%,0.060,0.69,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,0.00,0.00%,7.34%,0.00%,0.120,3.64,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,12.90%,0.00%,0.137,3.70,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,0.00,0.00%,12.34%,0.00%,0.167,131.75,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,7.34%,0.00%,0.170,3.27,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,0.00,0.00%,12.90%,0.00%,0.180,3.35,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,0.65%,0.00%,0.180,3.27,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,8.07%,0.00%,0.467,3.78,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,0.00,0.00%,5.56%,0.00%,0.530,5.92,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,0.00,0.00%,16.67%,0.00%,1.210,12.20,1,0.00,0.00%,N/A,N/A,N/A,N/A
