Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,benzinska,benzinska_rel,cipele,cipele_rel,sah,sah_rel,tura,tura_rel,xor,xor_rel
Qwen3-8B,147.00,44.50%,42.58%,40.00%,0.060,2.58,5,70.00,100.00%,27.00,22.50%,50.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,147.00,44.50%,42.58%,40.00%,0.068,3.98,5,70.00,100.00%,27.00,22.50%,50.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,147.00,44.50%,42.72%,40.00%,0.072,5.46,5,70.00,100.00%,27.00,22.50%,50.00,100.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,147.00,,42.58%,40.00%,0.096,5.74,5,70.00,,27.00,,50.00,,0.00,,0.00,
Qwen3-30B,147.00,,42.72%,40.00%,0.106,5.85,5,70.00,,27.00,,50.00,,0.00,,0.00,
deepseek-reasoner,147.00,44.50%,42.72%,40.00%,0.126,9.79,5,70.00,100.00%,27.00,22.50%,50.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-low,147.00,44.50%,45.82%,40.00%,0.196,8.61,5,70.00,100.00%,27.00,22.50%,50.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_4096,120.00,,40.00%,40.00%,0.020,1.24,5,70.00,,0.00,,50.00,,0.00,,0.00,
gpt-oss-20b-low,120.00,40.00%,40.00%,40.00%,0.044,2.57,5,70.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,120.00,,40.14%,40.00%,0.044,4.78,5,70.00,,0.00,,50.00,,0.00,,0.00,
OlympicCoder-7B,120.00,40.00%,40.14%,40.00%,0.046,1.17,5,70.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,120.00,40.00%,40.14%,40.00%,0.056,2.07,5,70.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,120.00,,40.14%,40.00%,0.058,1.59,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,120.00,,40.14%,40.00%,0.058,1.59,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen3-4B,120.00,40.00%,40.14%,40.00%,0.060,1.75,5,70.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,120.00,40.00%,40.14%,40.00%,0.062,1.86,5,70.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,120.00,,40.14%,40.00%,0.068,1.70,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen2.5-72B,120.00,,40.14%,40.00%,0.070,1.19,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,120.00,40.00%,40.14%,40.00%,0.072,5.05,5,70.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,120.00,40.00%,40.14%,40.00%,0.080,4.32,5,70.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,120.00,40.00%,40.14%,40.00%,0.086,3.74,5,70.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,120.00,40.00%,40.14%,40.00%,0.094,9.17,5,70.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,120.00,,40.14%,40.00%,0.114,4.49,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,102.00,32.80%,32.79%,20.00%,0.068,3.02,5,70.00,100.00%,0.00,0.00%,32.00,64.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,102.00,32.80%,32.65%,20.00%,0.212,7.74,5,70.00,100.00%,0.00,0.00%,32.00,64.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,102.00,32.80%,32.79%,20.00%,0.238,5.61,5,70.00,100.00%,0.00,0.00%,32.00,64.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,70.00,20.00%,20.00%,20.00%,0.502,8.40,5,70.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,65.00,,26.94%,20.00%,0.028,2.06,5,15.00,,0.00,,50.00,,0.00,,0.00,
seed-oss_0,65.00,,26.94%,20.00%,0.044,2.92,5,15.00,,0.00,,50.00,,0.00,,0.00,
Codestral-22B-v0.1,50.00,20.00%,21.60%,20.00%,0.032,0.58,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,50.00,20.00%,21.60%,20.00%,0.044,0.88,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,50.00,20.00%,32.94%,20.00%,0.178,1.39,5,0.00,0.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_512,47.00,,19.45%,0.00%,0.022,0.88,5,15.00,,0.00,,32.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,32.00,12.80%,13.99%,0.00%,0.094,2.43,5,0.00,0.00%,0.00,0.00%,32.00,64.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,13.00,5.20%,11.48%,0.00%,0.034,0.93,5,0.00,0.00%,0.00,0.00%,13.00,26.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,13.00,5.20%,7.44%,0.00%,0.054,1.97,5,0.00,0.00%,0.00,0.00%,13.00,26.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
