Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Maximizing_Productivity,bronze_Maximizing_Productivity_rel,bronze_Milk_Exchange,bronze_Milk_Exchange_rel,bronze_Palindrome_Game,bronze_Palindrome_Game_rel,gold_Bessla_Motors,gold_Bessla_Motors_rel,gold_Milk_Exchange,gold_Milk_Exchange_rel,gold_Quantum_Moochanics,gold_Quantum_Moochanics_rel,platinum_Infinite_Adventure,platinum_Infinite_Adventure_rel,platinum_Lazy_Cow,platinum_Lazy_Cow_rel,platinum_Minimum_Sum_of_Maximums,platinum_Minimum_Sum_of_Maximums_rel,silver_Moorbles,silver_Moorbles_rel,silver_Target_Practice_II,silver_Target_Practice_II_rel,silver_Test_Tubes,silver_Test_Tubes_rel
deepseek-reasoner,1505.00,38.70%,41.80%,25.00%,0.687,14.82,12,333.00,104.06%,333.00,102.46%,0.00,0.00%,139.00,42.90%,50.00,15.62%,33.00,10.00%,83.00,25.94%,0.00,0.00%,17.00,5.31%,333.00,100.91%,167.00,51.86%,17.00,5.31%
gpt-4.1,1410.00,36.40%,40.15%,25.00%,1.235,35.64,12,333.00,104.06%,128.00,39.38%,333.00,102.78%,333.00,102.78%,50.00,15.62%,0.00,0.00%,83.00,25.94%,0.00,0.00%,33.00,10.31%,67.00,20.30%,0.00,0.00%,50.00,15.62%
Qwen3-8B,1322.00,34.11%,38.37%,16.67%,0.838,4.25,12,333.00,104.06%,154.00,47.38%,333.00,102.78%,306.00,94.44%,50.00,15.62%,0.00,0.00%,62.00,19.38%,0.00,0.00%,17.00,5.31%,67.00,20.30%,0.00,0.00%,0.00,0.00%
Qwen3-14B,1296.00,,36.19%,16.67%,0.808,6.87,12,333.00,,154.00,,333.00,,306.00,,50.00,,0.00,,62.00,,0.00,,17.00,,0.00,,24.00,,17.00,
gpt-oss-20b-low,1231.00,31.77%,32.73%,16.67%,0.163,7.58,12,333.00,104.06%,103.00,31.69%,333.00,102.78%,278.00,85.80%,0.00,0.00%,0.00,0.00%,83.00,25.94%,0.00,0.00%,17.00,5.31%,67.00,20.30%,0.00,0.00%,17.00,5.31%
QwQ-32B,1211.00,,33.29%,16.67%,0.737,7.36,12,333.00,,256.00,,333.00,,139.00,,50.00,,0.00,,42.00,,0.00,,17.00,,0.00,,24.00,,17.00,
deepseek-chat,1142.00,29.53%,32.37%,16.67%,1.007,15.79,12,333.00,104.06%,154.00,47.38%,333.00,102.78%,139.00,42.90%,50.00,15.62%,0.00,0.00%,83.00,25.94%,0.00,0.00%,33.00,10.31%,0.00,0.00%,0.00,0.00%,17.00,5.31%
DeepSeek-R1-Distill-Qwen-32B,1109.00,,31.15%,16.67%,0.603,7.22,12,333.00,,154.00,,333.00,,139.00,,0.00,,0.00,,42.00,,0.00,,0.00,,67.00,,24.00,,17.00,
Qwen3-4B,1049.00,27.06%,32.85%,16.67%,0.940,4.73,12,333.00,104.06%,154.00,47.38%,333.00,102.78%,111.00,34.26%,17.00,5.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,67.00,20.30%,0.00,0.00%,17.00,5.31%
Qwen3-32B-Non-Thinking,1037.00,26.82%,28.81%,16.67%,0.618,34.43,12,333.00,104.06%,77.00,23.69%,333.00,102.78%,83.00,25.62%,33.00,10.31%,0.00,0.00%,42.00,13.12%,0.00,0.00%,17.00,5.31%,0.00,0.00%,119.00,36.96%,0.00,0.00%
Qwen3-30B,977.00,,32.38%,9.09%,0.830,6.54,11,333.00,,154.00,,N/A,,111.00,,50.00,,0.00,,62.00,,0.00,,33.00,,67.00,,167.00,,0.00,
seed-oss_1024,948.00,,25.99%,16.67%,0.312,22.94,12,333.00,,154.00,,333.00,,111.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,
DeepSeek-R1-Distill-Qwen-14B,916.00,,25.44%,16.67%,0.752,4.76,12,333.00,,77.00,,333.00,,111.00,,0.00,,0.00,,21.00,,0.00,,0.00,,0.00,,24.00,,17.00,
seed-oss_2048,912.00,,25.34%,16.67%,0.258,5.62,12,333.00,,154.00,,333.00,,0.00,,0.00,,0.00,,42.00,,0.00,,17.00,,33.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,827.00,,24.53%,8.33%,0.911,13.14,12,333.00,,128.00,,167.00,,111.00,,33.00,,0.00,,21.00,,0.00,,17.00,,0.00,,0.00,,17.00,
Qwen3-30B-Non-Thinking,777.00,20.10%,22.83%,8.33%,0.782,27.73,12,333.00,104.06%,128.00,39.38%,167.00,51.54%,83.00,25.62%,33.00,10.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,776.00,20.06%,24.89%,8.33%,0.667,14.09,12,333.00,104.06%,128.00,39.38%,0.00,0.00%,139.00,42.90%,33.00,10.31%,0.00,0.00%,42.00,13.12%,0.00,0.00%,17.00,5.31%,67.00,20.30%,0.00,0.00%,17.00,5.31%
OlympicCoder-7B,774.00,20.01%,24.12%,8.33%,0.770,5.72,12,333.00,104.06%,154.00,47.38%,0.00,0.00%,111.00,34.26%,50.00,15.62%,0.00,0.00%,42.00,13.12%,0.00,0.00%,17.00,5.31%,67.00,20.30%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,709.00,18.27%,19.82%,0.00%,0.884,36.54,12,62.00,19.38%,154.00,47.38%,167.00,51.54%,250.00,77.16%,0.00,0.00%,0.00,0.00%,42.00,13.12%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,17.00,5.31%
seed-oss_512,575.00,,15.50%,8.33%,0.322,2.81,12,333.00,,103.00,,0.00,,139.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,527.00,13.61%,16.74%,0.00%,0.729,26.87,12,167.00,52.19%,128.00,39.38%,111.00,34.26%,83.00,25.62%,0.00,0.00%,0.00,0.00%,21.00,6.56%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,509.00,13.22%,15.80%,8.33%,0.363,64.15,12,333.00,104.06%,26.00,8.00%,0.00,0.00%,83.00,25.62%,50.00,15.62%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%
Qwen3-4B-Non-Thinking,472.00,12.25%,14.09%,8.33%,0.451,51.70,12,333.00,104.06%,0.00,0.00%,139.00,42.90%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,457.00,11.77%,14.13%,0.00%,0.875,22.11,12,62.00,19.38%,128.00,39.38%,0.00,0.00%,250.00,77.16%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,422.00,10.88%,15.29%,0.00%,1.337,53.73,12,62.00,19.38%,128.00,39.38%,83.00,25.62%,111.00,34.26%,0.00,0.00%,0.00,0.00%,21.00,6.56%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,403.00,,12.44%,0.00%,0.791,25.69,12,0.00,,77.00,,167.00,,83.00,,0.00,,0.00,,42.00,,0.00,,17.00,,0.00,,0.00,,17.00,
Llama-3.3-70B-Instruct,361.00,,14.97%,0.00%,0.871,27.26,12,62.00,,128.00,,0.00,,83.00,,33.00,,0.00,,21.00,,0.00,,17.00,,0.00,,0.00,,17.00,
seed-oss_0,340.00,,11.35%,0.00%,0.460,38.02,12,0.00,,103.00,,83.00,,83.00,,33.00,,0.00,,21.00,,0.00,,0.00,,0.00,,0.00,,17.00,
seed-oss_4096,333.00,,100.00%,100.00%,0.050,1.70,1,N/A,,N/A,,333.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
seed-oss_16384,333.00,,50.00%,50.00%,0.010,0.80,2,0.00,,N/A,,333.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
Qwen2.5-Coder-7B-Instruct,310.00,8.01%,10.64%,0.00%,1.157,1.99,12,62.00,19.38%,77.00,23.69%,56.00,17.28%,56.00,17.28%,0.00,0.00%,0.00,0.00%,42.00,13.12%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%
DeepSeek-Coder-V2-Lite-Instruct,297.00,7.66%,9.28%,0.00%,0.868,27.65,12,62.00,19.38%,51.00,15.69%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%
Mistral-Small-3.1-24B-2503,265.00,6.83%,9.11%,0.00%,0.427,1.05,12,62.00,19.38%,103.00,31.69%,0.00,0.00%,83.00,25.62%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,207.00,5.82%,7.12%,0.00%,0.481,1.77,11,62.00,19.38%,128.00,39.38%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,17.00,5.31%
Llama-3.1-8B-Instruct,165.00,4.28%,6.36%,0.00%,0.562,1.74,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,56.00,17.28%,0.00,0.00%,0.00,0.00%,42.00,13.12%,0.00,0.00%,50.00,15.62%,0.00,0.00%,0.00,0.00%,17.00,5.31%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
