Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,d1p1,d1p1_rel,d1p2,d1p2_rel,d1p3,d1p3_rel,d2p1,d2p1_rel,d2p2,d2p2_rel,d2p3,d2p3_rel
deepseek-chat,26.00,,18.95%,16.67%,1.762,32.67,6,25.00,,0.00,,1.00,,0.00,,0.00,,0.00,
Qwen3-14B,26.00,,20.16%,16.67%,2.160,65.91,6,25.00,,0.00,,1.00,,0.00,,0.00,,0.00,
Qwen3-8B,25.00,,16.67%,16.67%,0.190,18.14,6,25.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,25.00,,16.86%,16.67%,0.205,27.65,6,25.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,25.00,,17.53%,16.67%,1.003,43.77,6,25.00,,0.00,,0.00,,0.00,,0.00,,0.00,
QwQ-32B,25.00,,17.81%,16.67%,1.088,52.57,6,25.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B,25.00,,18.10%,16.67%,1.737,24.73,6,25.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B,25.00,,19.40%,16.67%,1.785,42.22,6,25.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,10.00,,11.59%,0.00%,0.268,219.52,6,10.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,6.00,,4.92%,0.00%,1.588,35.59,6,5.00,,0.00,,1.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,5.00,,4.06%,0.00%,0.792,28.11,6,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,5.00,,4.15%,0.00%,0.807,27.52,6,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,5.00,,4.30%,0.00%,0.837,64.70,6,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,5.00,,4.44%,0.00%,0.957,193.32,6,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,5.00,,4.06%,0.00%,1.475,21.30,6,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,5.00,,4.54%,0.00%,1.497,204.28,6,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,5.00,,4.06%,0.00%,1.647,40.60,6,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,5.00,,4.25%,0.00%,1.658,37.17,6,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,5.00,,4.44%,0.00%,1.730,245.36,6,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,1.00,,0.95%,0.00%,0.072,8.34,6,0.00,,0.00,,1.00,,0.00,,0.00,,0.00,
Qwen3-4B,1.00,,9.54%,0.00%,2.427,222.37,6,0.00,,0.00,,1.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,2,N/A,,N/A,,N/A,,0.00,,N/A,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-14B,0.00,,6.05%,0.00%,0.760,20.72,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,0.00,,0.48%,0.00%,0.810,5.61,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,0.33%,0.00%,0.837,25.25,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,0.00,,2.07%,0.00%,0.887,133.64,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,0.00,,0.62%,0.00%,0.937,33.27,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,0.28%,0.00%,1.177,26.39,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,2.47%,0.00%,1.478,19.28,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
