Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,aquarelle,aquarelle_rel,parentheses,parentheses_rel,tolls,tolls_rel,twins,twins_rel,walk,walk_rel,xy,xy_rel
gpt-oss-120b_sp1,300.00,50.00%,50.00%,50.00%,0.157,16.05,6,100.00,100.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-medium,289.00,48.17%,49.37%,33.33%,0.165,20.74,6,89.00,89.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,269.00,,52.42%,33.33%,0.218,43.42,6,29.00,,100.00,,100.00,,40.00,,0.00,,0.00,
gpt-4.1,251.00,41.83%,50.69%,33.33%,0.163,4.73,6,11.00,11.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B,251.00,,48.84%,33.33%,0.198,7.76,6,11.00,,100.00,,100.00,,40.00,,0.00,,0.00,
gpt-oss-120b_sp4,240.00,48.00%,57.54%,40.00%,0.062,5.76,5,0.00,0.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,N/A,N/A,0.00,0.00%
seed-oss_16384,240.00,,41.37%,33.33%,0.038,8.32,6,0.00,,100.00,,100.00,,40.00,,0.00,,0.00,
seed-oss_8192,240.00,,46.34%,33.33%,0.038,13.38,6,0.00,,100.00,,100.00,,40.00,,0.00,,0.00,
OpenCodeReasoning-Nemotron-32B-IOI,240.00,40.00%,40.77%,33.33%,0.090,7.09,6,0.00,0.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,240.00,40.00%,46.44%,33.33%,0.102,9.73,6,0.00,0.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%
deepseek-reasoner,240.00,40.00%,46.81%,33.33%,0.108,8.37,6,0.00,0.00%,100.00,100.00%,100.00,100.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,240.00,,46.81%,33.33%,0.112,7.27,6,0.00,,100.00,,100.00,,40.00,,0.00,,0.00,
gpt-oss-120b-high,229.00,38.17%,47.14%,33.33%,0.105,6.68,6,29.00,29.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp2,200.00,33.33%,41.97%,33.33%,0.035,3.10,6,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-low,200.00,33.33%,35.21%,33.33%,0.092,2.46,6,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,200.00,33.33%,37.25%,33.33%,0.132,4.70,6,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,191.00,31.83%,47.54%,16.67%,0.143,2.10,6,11.00,11.00%,40.00,40.00%,100.00,100.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,140.00,,24.91%,16.67%,0.050,18.35,6,0.00,,0.00,,100.00,,40.00,,0.00,,0.00,
seed-oss_1024,140.00,,26.03%,16.67%,0.050,5.84,6,0.00,,0.00,,100.00,,40.00,,0.00,,0.00,
seed-oss_4096,140.00,,23.75%,16.67%,0.082,3.77,6,0.00,,0.00,,100.00,,40.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,140.00,23.33%,30.66%,16.67%,0.130,4.38,6,0.00,0.00%,0.00,0.00%,100.00,100.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,130.00,,42.26%,0.00%,0.153,7.10,6,0.00,,40.00,,50.00,,40.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,130.00,,43.30%,0.00%,0.162,6.46,6,0.00,,40.00,,50.00,,40.00,,0.00,,0.00,
Qwen3-4B,100.00,16.67%,30.36%,0.00%,0.090,2.78,6,0.00,0.00%,0.00,0.00%,60.00,60.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,60.00,,27.80%,0.00%,0.160,14.42,6,0.00,,40.00,,20.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,40.00,6.67%,17.18%,0.00%,0.063,0.67,6,0.00,0.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,40.00,6.67%,18.74%,0.00%,0.082,1.08,6,0.00,0.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,40.00,6.67%,17.18%,0.00%,0.098,2.18,6,0.00,0.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,40.00,6.67%,19.01%,0.00%,0.125,1.65,6,0.00,0.00%,40.00,40.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,40.00,,18.91%,0.00%,0.127,1.21,6,0.00,,40.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,5.00,0.83%,14.10%,0.00%,0.075,9.54,6,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,
Qwen3-30B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,2,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,0.00,0.00%,N/A,N/A
Qwen3-4B-Non-Thinking,0.00,0.00%,0.52%,0.00%,0.017,0.63,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,0.00,,2.39%,0.00%,0.018,0.90,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,0.00%,5.15%,0.00%,0.025,0.47,4,0.00,0.00%,N/A,N/A,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,0.00,0.00%,2.87%,0.00%,0.064,1.32,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.52%,0.00%,0.067,0.30,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,2.39%,0.00%,0.078,0.50,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,2.45%,0.00%,0.080,4.60,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,0.00,0.00%,8.79%,0.00%,0.085,0.80,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,0.00,0.00%,2.39%,0.00%,0.092,0.60,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,0.72%,0.00%,0.100,2.40,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,0.00,,7.70%,0.00%,0.118,1.33,5,0.00,,0.00,,0.00,,0.00,,N/A,,0.00,
