Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,five,five_rel,game,game_rel,lexgcd,lexgcd_rel,ones,ones_rel,travel,travel_rel
gemini-2.5-flash,59.00,11.80%,12.01%,0.00%,0.720,28.94,5,0.00,0.00%,0.00,0.00%,10.00,10.00%,29.00,29.00%,20.00,20.00%
Qwen2.5-Coder-32B-Instruct,56.00,,9.98%,0.00%,0.766,193.23,5,5.00,,0.00,,6.00,,25.00,,20.00,
seed-oss_8192,55.00,,10.06%,0.00%,0.628,9.20,5,0.00,,8.00,,0.00,,27.00,,20.00,
OpenCodeReasoning-Nemotron-32B-IOI,53.00,10.60%,12.04%,0.00%,0.680,142.13,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
DeepSeek-R1-Distill-Llama-70B,53.00,10.60%,13.53%,0.00%,0.688,213.59,5,0.00,0.00%,8.00,8.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
Qwen3-32B-Non-Thinking,50.00,10.00%,9.82%,0.00%,0.422,134.01,5,5.00,5.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
QwQ-32B,50.00,,10.63%,0.00%,0.472,8.23,5,5.00,,0.00,,0.00,,25.00,,20.00,
deepseek-chat,50.00,10.00%,10.84%,0.00%,0.538,69.91,5,5.00,5.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
seed-oss_16384,50.00,,7.90%,0.00%,0.638,21.03,5,0.00,,0.00,,0.00,,30.00,,20.00,
Qwen3-14B-Non-Thinking,45.00,9.00%,5.88%,0.00%,0.282,9.41,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
gpt-oss-20b-low,45.00,9.00%,7.90%,0.00%,0.322,8.54,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
deepseek-reasoner,45.00,9.00%,9.52%,0.00%,0.322,8.44,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
Qwen2.5-Coder-14B-Instruct,45.00,9.00%,6.63%,0.00%,0.652,8.80,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,20.00,20.00%
Qwen3-30B,45.00,,7.90%,0.00%,0.666,20.41,5,0.00,,0.00,,0.00,,25.00,,20.00,
Qwen3-32B,45.00,,7.90%,0.00%,0.674,9.06,5,0.00,,0.00,,0.00,,25.00,,20.00,
DeepSeek-R1-Distill-Qwen-32B,45.00,,7.41%,0.00%,0.680,11.49,5,0.00,,0.00,,0.00,,25.00,,20.00,
Mistral-Large-Instruct-2411,34.00,6.80%,10.14%,0.00%,0.364,68.87,5,5.00,5.00%,0.00,0.00%,0.00,0.00%,9.00,9.00%,20.00,20.00%
Qwen3-14B,30.00,,7.62%,0.00%,0.210,69.81,5,5.00,,0.00,,0.00,,25.00,,0.00,
OlympicCoder-7B,30.00,6.00%,5.29%,0.00%,0.296,28.30,5,5.00,5.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,0.00,0.00%
Qwen3-8B,30.00,6.00%,6.00%,0.00%,0.362,129.83,5,5.00,5.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,25.00,5.00%,1.15%,0.00%,0.060,1.48,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,25.00,,1.48%,0.00%,0.064,2.18,5,0.00,,0.00,,0.00,,25.00,,0.00,
seed-oss_4096,25.00,,2.02%,0.00%,0.078,18.32,5,0.00,,0.00,,0.00,,25.00,,0.00,
Qwen3-4B,25.00,5.00%,2.19%,0.00%,0.098,7.12,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,0.00,0.00%
seed-oss_1024,25.00,,2.02%,0.00%,0.122,2.77,5,0.00,,0.00,,0.00,,25.00,,0.00,
Qwen3-30B-Non-Thinking,25.00,5.00%,0.66%,0.00%,0.436,8.77,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,0.00,0.00%
Qwen2.5-72B,25.00,,0.98%,0.00%,0.450,8.12,5,0.00,,0.00,,0.00,,25.00,,0.00,
Qwen3-4B-Non-Thinking,22.00,4.40%,1.72%,0.00%,0.190,55.30,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,22.00,22.00%,0.00,0.00%
Llama-4-Scout,20.00,4.00%,7.36%,0.00%,0.270,67.10,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,20.00,20.00%
gpt-4.1,20.00,4.00%,4.10%,0.00%,0.924,91.33,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,20.00,20.00%,0.00,0.00%
seed-oss_2048,13.00,,1.48%,0.00%,0.056,0.82,5,0.00,,0.00,,0.00,,13.00,,0.00,
Llama-3.3-70B-Instruct,6.00,,1.07%,0.00%,0.162,245.43,5,0.00,,0.00,,6.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,5.00,1.00%,4.26%,0.00%,0.458,61.98,5,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,3.00,,1.48%,0.00%,0.142,2.95,5,0.00,,0.00,,0.00,,3.00,,0.00,
Qwen2.5-Coder-7B-Instruct,3.00,0.60%,0.98%,0.00%,0.390,8.84,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%,0.00,0.00%
seed-oss_512,1.00,,1.85%,0.00%,0.436,3.34,5,0.00,,0.00,,0.00,,1.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,1.15%,0.00%,0.020,0.36,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,2.02%,0.00%,0.052,12.64,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,0.66%,0.00%,0.388,0.78,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
