Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,boi,boi_rel,dev,dev_rel,gcd,gcd_rel,tou,tou_rel,tow,tow_rel,exp,exp_rel
Qwen2.5-Coder-32B-Instruct,14.00,2.33%,8.25%,0.00%,0.677,57.46,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,14.00,14.00%
Qwen3-4B,12.00,2.00%,6.31%,0.00%,0.070,7.28,6,12.00,12.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B,12.00,2.00%,7.74%,0.00%,0.687,27.16,6,12.00,12.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.55%,0.00%,0.005,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,0.00,0.00%,1.54%,0.00%,0.048,8.75,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-low,0.00,0.00%,3.45%,0.00%,0.052,0.61,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A
Qwen2.5-Coder-14B-Instruct,0.00,0.00%,3.58%,0.00%,0.073,8.33,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,1.82%,0.00%,0.102,57.92,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,0.00,0.00%,6.58%,0.00%,0.103,57.68,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,1.64%,0.00%,0.105,12.14,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,0.00,0.00%,1.82%,0.00%,0.115,16.52,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,0.00,0.00%,1.54%,0.00%,0.130,19.99,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,0.00,0.00%,7.48%,0.00%,0.147,21.67,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,0.00,0.00%,4.54%,0.00%,0.150,32.11,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,1.82%,0.00%,0.180,14.69,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,1.54%,0.00%,0.263,8.09,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,0.00,0.00%,1.83%,0.00%,0.307,45.34,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,0.00,0.00%,5.33%,0.00%,0.342,17.97,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,0.00,0.00%,3.53%,0.00%,0.347,52.87,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,0.00,0.00%,6.69%,0.00%,0.355,25.28,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,0.00,0.00%,4.47%,0.00%,0.387,33.55,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,0.00,0.00%,3.31%,0.00%,0.422,39.66,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,0.00,0.00%,7.22%,0.00%,0.462,29.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,1.11%,0.00%,0.478,14.41,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,0.00,0.00%,1.76%,0.00%,0.638,14.17,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,0.00,0.00%,6.30%,0.00%,0.670,28.30,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B,0.00,0.00%,9.62%,0.00%,0.705,10.61,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,4.59%,0.00%,0.775,30.82,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,0.00,0.00%,4.26%,0.00%,0.833,48.20,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
