Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,benzinska,benzinska_rel,cipele,cipele_rel,sah,sah_rel,tura,tura_rel,xor,xor_rel
deepseek-reasoner,147.00,,42.72%,40.00%,0.104,9.69,5,70.00,,27.00,,50.00,,0.00,,0.00,
Qwen3-30B,147.00,,42.72%,40.00%,0.106,5.85,5,70.00,,27.00,,50.00,,0.00,,0.00,
gpt-oss-120b-low,147.00,,45.82%,40.00%,0.176,9.10,5,70.00,,27.00,,50.00,,0.00,,0.00,
seed-oss_4096,120.00,,40.00%,40.00%,0.020,1.24,5,70.00,,0.00,,50.00,,0.00,,0.00,
gpt-oss-20b-low,120.00,,40.00%,40.00%,0.022,2.42,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen3-4B,120.00,,40.14%,40.00%,0.034,1.58,5,70.00,,0.00,,50.00,,0.00,,0.00,
Llama-4-Scout,120.00,,40.14%,40.00%,0.036,1.99,5,70.00,,0.00,,50.00,,0.00,,0.00,
seed-oss_2048,120.00,,40.14%,40.00%,0.044,4.78,5,70.00,,0.00,,50.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,120.00,,40.14%,40.00%,0.058,1.59,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,120.00,,40.14%,40.00%,0.058,1.59,5,70.00,,0.00,,50.00,,0.00,,0.00,
deepseek-chat,120.00,,40.14%,40.00%,0.064,4.22,5,70.00,,0.00,,50.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,120.00,,40.14%,40.00%,0.068,1.70,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen2.5-72B,120.00,,40.14%,40.00%,0.070,1.19,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,120.00,,40.14%,40.00%,0.072,3.94,5,70.00,,0.00,,50.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,120.00,,40.14%,40.00%,0.078,1.65,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,120.00,,40.14%,40.00%,0.086,5.00,5,70.00,,0.00,,50.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,120.00,,40.14%,40.00%,0.114,4.49,5,70.00,,0.00,,50.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,102.00,,32.79%,20.00%,0.080,3.10,5,70.00,,0.00,,32.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,102.00,,32.65%,20.00%,0.218,7.71,5,70.00,,0.00,,32.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,72.00,,29.59%,0.00%,0.322,4.87,5,40.00,,0.00,,32.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,70.00,,20.00%,20.00%,0.474,10.56,5,70.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,65.00,,26.94%,20.00%,0.028,2.06,5,15.00,,0.00,,50.00,,0.00,,0.00,
seed-oss_0,65.00,,26.94%,20.00%,0.044,2.92,5,15.00,,0.00,,50.00,,0.00,,0.00,
Codestral-22B-v0.1,50.00,,21.60%,20.00%,0.038,0.58,5,0.00,,0.00,,50.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,50.00,,21.60%,20.00%,0.060,0.88,5,0.00,,0.00,,50.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,50.00,,32.94%,20.00%,0.190,1.46,5,0.00,,0.00,,50.00,,0.00,,0.00,
seed-oss_512,47.00,,19.45%,0.00%,0.022,0.88,5,15.00,,0.00,,32.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,32.00,,13.99%,0.00%,0.108,2.58,5,0.00,,0.00,,32.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,13.00,,11.48%,0.00%,0.036,0.93,5,0.00,,0.00,,13.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,13.00,,7.44%,0.00%,0.066,2.02,5,0.00,,0.00,,13.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
