Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2024-open-t1_Examination_2,2024-open-t1_Examination_2_rel,2024-open-t2_Heat_Stroke,2024-open-t2_Heat_Stroke_rel,2024-open-t3_Library_3,2024-open-t3_Library_3_rel
gpt-o3-mini-high,26.00,8.67%,33.56%,0.00%,0.883,22.36,3,20.00,20.00%,6.00,6.00%,0.00,0.00%
Qwen3-8B,26.00,8.67%,25.59%,0.00%,0.897,6.43,3,20.00,20.00%,6.00,6.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,26.00,8.67%,25.59%,0.00%,0.907,13.76,3,20.00,20.00%,6.00,6.00%,0.00,0.00%
gpt-oss-120b-medium,26.00,8.67%,31.71%,0.00%,0.910,6.95,3,20.00,20.00%,6.00,6.00%,0.00,0.00%
gpt-oss-120b-low,26.00,8.67%,34.90%,0.00%,0.930,24.93,3,20.00,20.00%,6.00,6.00%,0.00,0.00%
gpt-oss-120b_sp4,26.00,8.67%,32.48%,0.00%,0.933,10.04,3,20.00,20.00%,6.00,6.00%,0.00,0.00%
gpt-oss-20b-medium,26.00,8.67%,39.15%,0.00%,0.973,10.78,3,20.00,20.00%,6.00,6.00%,0.00,0.00%
claude-sonnet-4.5,22.00,7.33%,36.75%,0.00%,1.613,201.16,3,20.00,20.00%,0.00,0.00%,2.00,2.00%
Qwen3-14B-Non-Thinking,21.00,7.00%,33.26%,0.00%,0.127,0.52,3,0.00,0.00%,0.00,0.00%,21.00,21.00%
Llama-3.3-70B-Instruct,21.00,7.00%,33.26%,0.00%,0.127,0.52,3,0.00,0.00%,0.00,0.00%,21.00,21.00%
gpt-oss-20b-low,20.00,6.67%,20.35%,0.00%,0.803,8.89,3,20.00,20.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,20.00,6.67%,26.47%,0.00%,0.860,13.78,3,20.00,20.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,20.00,6.67%,18.00%,0.00%,0.893,51.01,3,20.00,20.00%,0.00,0.00%,0.00,0.00%
gemini-2.5-flash,20.00,6.67%,33.56%,0.00%,0.903,22.00,3,20.00,20.00%,0.00,0.00%,0.00,0.00%
seed-oss_4096,6.00,,14.41%,0.00%,0.033,0.00,3,0.00,,6.00,,0.00,
Qwen3-4B,6.00,2.00%,12.19%,0.00%,0.053,0.00,3,0.00,0.00%,6.00,6.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,6.00,2.00%,14.41%,0.00%,0.103,0.00,3,0.00,0.00%,6.00,6.00%,0.00,0.00%
deepseek-reasoner,6.00,2.00%,18.31%,0.00%,0.200,1.55,3,0.00,0.00%,6.00,6.00%,0.00,0.00%
QwQ-32B,6.00,2.00%,20.09%,0.00%,0.927,10.78,3,0.00,0.00%,6.00,6.00%,0.00,0.00%
Llama-4-Scout,2.00,0.67%,24.41%,0.00%,0.063,0.52,3,0.00,0.00%,0.00,0.00%,2.00,2.00%
Qwen3-30B-Non-Thinking,2.00,0.67%,25.18%,0.00%,0.067,0.52,3,0.00,0.00%,0.00,0.00%,2.00,2.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,6.95%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,0.00,,7.67%,0.00%,0.017,0.00,3,0.00,,0.00,,0.00,
seed-oss_512,0.00,,9.89%,0.00%,0.017,0.50,3,0.00,,0.00,,0.00,
Qwen2.5-72B,0.00,0.00%,13.07%,0.00%,0.050,0.52,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,9.17%,0.00%,0.050,0.50,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,6.95%,0.00%,0.053,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,6.95%,0.00%,0.053,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,11.20%,0.00%,0.053,0.52,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,0.00,0.00%,6.95%,0.00%,0.053,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,0.00,0.00%,3.33%,0.00%,0.075,0.74,2,0.00,0.00%,N/A,N/A,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,0.00,0.00%,9.17%,0.00%,0.103,0.22,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,9.17%,0.00%,0.103,0.79,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,0.00,0.00%,9.17%,0.00%,0.107,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,0.00,0.00%,11.74%,0.00%,0.113,4.40,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,8.84%,0.00%,0.167,9.01,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,0.00,0.00%,10.67%,0.00%,0.303,2.97,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,0.00,0.00%,17.19%,0.00%,0.820,5.63,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,0.00,,11.39%,0.00%,0.837,5.83,3,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,10.31%,0.00%,0.860,8.79,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
