Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,chatnoi,chatnoi_rel,icecreammachines,icecreammachines_rel,islandalliances,islandalliances_rel
Llama-4-Scout,107.00,35.67%,55.60%,33.33%,2.410,115.85,3,100.00,100.00%,7.00,7.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,103.00,34.33%,58.25%,0.00%,2.323,294.00,3,0.00,0.00%,66.00,66.00%,37.00,37.00%
Qwen3-4B-Non-Thinking,100.00,33.33%,35.48%,33.33%,2.150,15.43,3,100.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,91.00,30.33%,55.85%,0.00%,0.637,24.94,3,12.00,12.00%,79.00,79.00%,0.00,0.00%
seed-oss_512,87.00,,52.49%,0.00%,0.533,121.82,3,12.00,,0.00,,75.00,
Mistral-Large-Instruct-2411,59.00,19.67%,55.09%,0.00%,0.927,409.32,3,0.00,0.00%,7.00,7.00%,52.00,52.00%
Qwen3-14B-Non-Thinking,59.00,19.67%,40.74%,0.00%,1.993,11.86,3,0.00,0.00%,7.00,7.00%,52.00,52.00%
Qwen2.5-Coder-14B-Instruct,59.00,19.67%,42.10%,0.00%,2.017,13.43,3,0.00,0.00%,7.00,7.00%,52.00,52.00%
Qwen3-8B-Non-Thinking,44.00,14.67%,28.31%,0.00%,2.050,2.24,3,0.00,0.00%,7.00,7.00%,37.00,37.00%
Qwen3-4B,42.00,14.00%,47.94%,0.00%,2.103,6.73,3,0.00,0.00%,7.00,7.00%,35.00,35.00%
DeepSeek-Coder-V2-Lite-Instruct,37.00,12.33%,14.71%,0.00%,2.050,0.95,3,0.00,0.00%,0.00,0.00%,37.00,37.00%
seed-oss_1024,36.00,,44.22%,0.00%,0.273,48.51,3,29.00,,7.00,,0.00,
Codestral-22B-v0.1,29.00,9.67%,39.46%,0.00%,0.327,18.38,3,22.00,22.00%,7.00,7.00%,0.00,0.00%
Llama-3.1-8B-Instruct,24.00,8.00%,21.74%,0.00%,0.233,23.45,3,17.00,17.00%,7.00,7.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,7.00,2.33%,30.84%,0.00%,2.047,17.62,3,0.00,0.00%,7.00,7.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,1.08%,0.00%,1.977,5.68,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
