Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Farmer_Johns_Favorite_Permutation,bronze_Farmer_Johns_Favorite_Permutation_rel,bronze_Logical_Moos,bronze_Logical_Moos_rel,bronze_Walking_Along_a_Fence,bronze_Walking_Along_a_Fence_rel,gold_Cowreography,gold_Cowreography_rel,gold_Grass_Segments,gold_Grass_Segments_rel,gold_Smaller_Averages,gold_Smaller_Averages_rel,platinum_Activating_Robots,platinum_Activating_Robots_rel,platinum_Identity_Theft,platinum_Identity_Theft_rel,platinum_Splitting_Haybales,platinum_Splitting_Haybales_rel,silver_Bessies_Interview,silver_Bessies_Interview_rel,silver_Painting_Fence_Posts,silver_Painting_Fence_Posts_rel,silver_The_Winning_Gene,silver_The_Winning_Gene_rel
Qwen3-32B,1621.00,,43.50%,25.00%,1.058,28.77,12,0.00,,333.00,,333.00,,100.00,,333.00,,188.00,,67.00,,50.00,,17.00,,67.00,,0.00,,133.00,
deepseek-reasoner,1416.00,,38.48%,16.67%,0.502,14.47,12,0.00,,181.00,,333.00,,100.00,,333.00,,125.00,,200.00,,50.00,,17.00,,33.00,,0.00,,44.00,
Qwen3-14B,1227.00,,32.65%,16.67%,0.806,51.63,12,0.00,,111.00,,333.00,,100.00,,333.00,,0.00,,167.00,,0.00,,17.00,,33.00,,0.00,,133.00,
QwQ-32B,1224.00,,36.16%,8.33%,0.862,13.15,12,0.00,,236.00,,333.00,,100.00,,118.00,,104.00,,33.00,,50.00,,17.00,,100.00,,0.00,,133.00,
Qwen3-30B,1160.00,,32.99%,16.67%,0.818,18.24,12,0.00,,69.00,,333.00,,100.00,,333.00,,125.00,,33.00,,50.00,,17.00,,33.00,,0.00,,67.00,
seed-oss_8192,1146.00,,30.47%,16.67%,0.753,29.05,12,0.00,,153.00,,333.00,,100.00,,333.00,,83.00,,33.00,,17.00,,17.00,,33.00,,0.00,,44.00,
Qwen3-8B,1121.00,,31.80%,8.33%,0.682,19.65,12,0.00,,83.00,,333.00,,100.00,,118.00,,104.00,,200.00,,0.00,,17.00,,33.00,,0.00,,133.00,
gpt-oss-120b-low,1053.00,,27.80%,8.33%,0.320,39.68,12,0.00,,153.00,,333.00,,100.00,,118.00,,0.00,,100.00,,0.00,,0.00,,33.00,,83.00,,133.00,
DeepSeek-R1-Distill-Qwen-32B,887.00,,26.33%,8.33%,0.562,65.70,12,0.00,,83.00,,333.00,,0.00,,118.00,,104.00,,33.00,,50.00,,0.00,,33.00,,0.00,,133.00,
gpt-4.1,841.00,,25.31%,8.33%,0.716,9.26,12,33.00,,28.00,,333.00,,33.00,,118.00,,146.00,,33.00,,0.00,,17.00,,33.00,,0.00,,67.00,
gpt-oss-20b-low,832.00,,25.21%,8.33%,0.489,11.84,12,0.00,,83.00,,333.00,,100.00,,118.00,,104.00,,0.00,,0.00,,17.00,,33.00,,0.00,,44.00,
Qwen3-4B,672.00,,22.31%,8.33%,0.682,25.27,12,0.00,,0.00,,333.00,,0.00,,118.00,,104.00,,33.00,,0.00,,17.00,,0.00,,0.00,,67.00,
deepseek-chat,630.00,,19.92%,0.00%,1.077,10.68,12,0.00,,69.00,,167.00,,100.00,,118.00,,104.00,,0.00,,0.00,,17.00,,33.00,,0.00,,22.00,
DeepSeek-R1-Distill-Llama-70B,513.00,,16.73%,8.33%,0.703,33.08,12,0.00,,42.00,,333.00,,0.00,,0.00,,104.00,,17.00,,0.00,,17.00,,0.00,,0.00,,0.00,
Llama-4-Scout,462.00,,17.84%,0.00%,1.443,54.97,12,33.00,,97.00,,167.00,,0.00,,39.00,,42.00,,0.00,,0.00,,17.00,,0.00,,0.00,,67.00,
seed-oss_4096,433.00,,12.01%,8.33%,0.018,1.87,12,0.00,,0.00,,333.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,428.00,,11.27%,0.00%,0.432,22.61,12,0.00,,56.00,,267.00,,33.00,,0.00,,0.00,,17.00,,0.00,,0.00,,33.00,,0.00,,22.00,
Qwen3-30B-Non-Thinking,384.00,,13.07%,0.00%,1.026,14.13,12,0.00,,83.00,,167.00,,0.00,,0.00,,0.00,,0.00,,17.00,,17.00,,33.00,,0.00,,67.00,
seed-oss_1024,309.00,,9.24%,0.00%,0.422,3.48,12,0.00,,42.00,,167.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,305.00,,10.03%,0.00%,0.575,0.99,12,0.00,,0.00,,0.00,,0.00,,0.00,,188.00,,33.00,,0.00,,17.00,,0.00,,0.00,,67.00,
Qwen2.5-Coder-14B-Instruct,278.00,,10.71%,0.00%,0.819,33.26,12,0.00,,97.00,,0.00,,0.00,,39.00,,42.00,,0.00,,0.00,,0.00,,33.00,,0.00,,67.00,
Llama-3.3-70B-Instruct,253.00,,10.48%,0.00%,0.863,7.10,12,0.00,,97.00,,0.00,,0.00,,39.00,,0.00,,0.00,,0.00,,17.00,,33.00,,0.00,,67.00,
Qwen2.5-Coder-32B-Instruct,246.00,,9.13%,0.00%,0.876,29.56,12,0.00,,42.00,,0.00,,0.00,,0.00,,104.00,,0.00,,0.00,,0.00,,33.00,,0.00,,67.00,
seed-oss_0,228.00,,6.69%,0.00%,0.223,2.34,12,0.00,,28.00,,167.00,,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,214.00,,6.79%,0.00%,0.615,4.86,12,0.00,,14.00,,167.00,,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,171.00,,6.95%,0.00%,0.646,48.93,12,0.00,,0.00,,0.00,,0.00,,0.00,,104.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,
Mistral-Large-Instruct-2411,151.00,,8.51%,0.00%,0.793,27.09,12,0.00,,28.00,,0.00,,0.00,,39.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,67.00,
Qwen3-14B-Non-Thinking,150.00,,5.93%,0.00%,0.632,3.69,12,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,,17.00,,33.00,,0.00,,67.00,
Qwen2.5-72B,128.00,,7.36%,0.00%,0.837,5.39,12,0.00,,28.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,33.00,,0.00,,67.00,
Qwen3-4B-Non-Thinking,106.00,,4.53%,0.00%,0.477,23.88,12,0.00,,0.00,,0.00,,0.00,,39.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,
Mistral-Small-3.1-24B-2503,95.00,,5.82%,0.00%,0.840,27.23,12,0.00,,28.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,
DeepSeek-Coder-V2-Lite-Instruct,89.00,,5.17%,0.00%,0.922,73.89,12,0.00,,28.00,,0.00,,0.00,,39.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,22.00,
Qwen2.5-Coder-7B-Instruct,39.00,,2.07%,0.00%,0.415,1.46,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,22.00,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,1.20%,0.00%,0.037,1.83,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,1.61%,0.00%,0.243,1.95,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
