Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,ekspert,ekspert_rel,kruhologija,kruhologija_rel,lampice,lampice_rel,prijateljice,prijateljice_rel,tramvaji,tramvaji_rel
gpt-oss-120b-medium,160.00,40.00%,40.48%,40.00%,0.038,2.48,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,110.00,100.00%,50.00,100.00%
QwQ-32B,160.00,,45.00%,40.00%,0.040,1.85,5,0.00,,0.00,,0.00,,110.00,,50.00,
Qwen3-30B,160.00,,40.95%,40.00%,0.046,8.74,5,0.00,,0.00,,0.00,,110.00,,50.00,
DeepSeek-R1-Distill-Llama-70B,160.00,,40.48%,40.00%,0.054,2.32,5,0.00,,0.00,,0.00,,110.00,,50.00,
DeepSeek-R1-Distill-Qwen-32B,160.00,,40.48%,40.00%,0.056,2.98,5,0.00,,0.00,,0.00,,110.00,,50.00,
gemini-2.5-flash,160.00,,40.48%,40.00%,0.088,3.99,5,0.00,,0.00,,0.00,,110.00,,50.00,
seed-oss_8192,160.00,,40.95%,40.00%,0.732,8.22,5,0.00,,0.00,,0.00,,110.00,,50.00,
gpt-oss-120b-low,160.00,,45.48%,40.00%,0.738,2.85,5,0.00,,0.00,,0.00,,110.00,,50.00,
Qwen3-4B-Non-Thinking,135.00,,41.25%,25.00%,0.045,4.13,4,0.00,,N/A,,0.00,,110.00,,25.00,
DeepSeek-R1-Distill-Qwen-14B,110.00,,20.00%,20.00%,0.018,2.66,5,0.00,,0.00,,0.00,,110.00,,0.00,
Qwen3-30B-Non-Thinking,110.00,,28.53%,20.00%,0.028,1.91,5,0.00,,0.00,,0.00,,60.00,,50.00,
seed-oss_0,50.00,,21.60%,20.00%,0.004,0.00,5,0.00,,0.00,,0.00,,0.00,,50.00,
seed-oss_2048,50.00,,21.81%,20.00%,0.012,0.00,5,0.00,,0.00,,0.00,,0.00,,50.00,
gpt-oss-20b-low,50.00,,21.28%,20.00%,0.016,0.00,5,0.00,,0.00,,0.00,,0.00,,50.00,
Qwen3-32B-Non-Thinking,50.00,,22.34%,20.00%,0.032,0.82,5,0.00,,0.00,,0.00,,0.00,,50.00,
Mistral-Large-Instruct-2411,50.00,,22.61%,20.00%,0.048,2.73,5,0.00,,0.00,,0.00,,0.00,,50.00,
Qwen2.5-Coder-14B-Instruct,50.00,,22.34%,20.00%,0.674,0.88,5,0.00,,0.00,,0.00,,0.00,,50.00,
Codestral-22B-v0.1,50.00,,21.28%,20.00%,0.682,0.38,5,0.00,,0.00,,0.00,,0.00,,50.00,
seed-oss_1024,50.00,,26.34%,20.00%,0.724,0.37,5,0.00,,0.00,,0.00,,0.00,,50.00,
Qwen3-8B-Non-Thinking,38.00,,15.74%,0.00%,0.674,1.56,5,0.00,,0.00,,0.00,,0.00,,38.00,
Llama-3.3-70B-Instruct,25.00,,14.74%,0.00%,0.668,1.50,5,0.00,,0.00,,0.00,,0.00,,25.00,
Mistral-Small-3.1-24B-2503,25.00,,12.08%,0.00%,0.676,0.88,5,0.00,,0.00,,0.00,,0.00,,25.00,
DeepSeek-Coder-V2-Lite-Instruct,25.00,,10.73%,0.00%,0.732,53.92,5,0.00,,0.00,,12.00,,0.00,,13.00,
Qwen3-14B-Non-Thinking,13.00,,11.40%,0.00%,0.012,0.00,5,0.00,,0.00,,0.00,,0.00,,13.00,
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,0.00,,N/A,,N/A,,N/A,
Qwen2.5-72B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,N/A,,N/A,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,1.60%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,1.87%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.48%,0.00%,0.024,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
