Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2024-sp_Board_Game,2024-sp_Board_Game_rel,2024-sp_Card_Collection,2024-sp_Card_Collection_rel,2024-sp_Escape_Route_2,2024-sp_Escape_Route_2_rel,2024-sp_Fish_3,2024-sp_Fish_3_rel,2024-sp_Growing_Vegetables_is_Fun_5,2024-sp_Growing_Vegetables_is_Fun_5_rel,2024-sp_Island_Hopping,2024-sp_Island_Hopping_rel,2024-sp_JOI_Tour,2024-sp_JOI_Tour_rel,2024-sp_Ski_2,2024-sp_Ski_2_rel,2024-sp_Spy_3,2024-sp_Spy_3_rel,2024-sp_Table_Tennis,2024-sp_Table_Tennis_rel,2024-sp_Tower,2024-sp_Tower_rel,2024-sp_Tricolor_Lights,2024-sp_Tricolor_Lights_rel
gpt-oss-20b-medium,78.00,6.50%,16.12%,0.00%,0.360,19.02,12,10.00,10.00%,0.00,0.00%,54.00,54.00%,9.00,9.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,44.00,4.00%,13.45%,0.00%,0.854,2.31,11,3.00,3.00%,0.00,0.00%,0.00,0.00%,9.00,9.00%,30.00,30.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,35.00,2.92%,10.90%,0.00%,0.809,4.89,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-low,33.00,2.75%,16.18%,0.00%,0.823,67.30,12,3.00,3.00%,0.00,0.00%,14.00,14.00%,0.00,0.00%,9.00,9.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,30.00,2.73%,9.37%,0.00%,0.785,12.56,11,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,14.00,1.17%,8.75%,0.00%,0.766,2.97,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,9.00,9.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,10.00,0.83%,10.39%,0.00%,0.395,29.78,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%
Qwen2.5-72B,9.00,0.75%,6.71%,0.00%,0.433,2.67,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,9.00,9.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,9.00,0.75%,10.23%,0.00%,0.643,202.93,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,4.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%
gpt-oss-20b-low,8.00,0.67%,6.79%,0.00%,0.292,4.65,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,7.00,0.58%,3.02%,0.00%,0.097,2.56,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,7.00,7.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_4096,5.00,,3.16%,0.00%,0.038,2.77,12,3.00,,0.00,,0.00,,0.00,,0.00,,2.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,5.00,0.42%,5.94%,0.00%,0.128,0.76,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,5.00,0.42%,3.09%,0.00%,0.308,1.96,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,5.00,0.42%,7.97%,0.00%,0.448,2.32,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%
QwQ-32B,5.00,0.42%,6.39%,0.00%,0.460,2.19,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,5.00,0.42%,6.41%,0.00%,0.885,5.26,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,3.00,0.25%,0.71%,0.00%,0.031,0.37,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,3.00,0.25%,2.41%,0.00%,0.290,44.18,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,3.00,0.25%,4.45%,0.00%,0.443,2.44,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,2.00,,2.20%,0.00%,0.021,2.52,12,0.00,,0.00,,0.00,,0.00,,0.00,,2.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,2.00,,3.34%,0.00%,0.042,2.34,12,0.00,,0.00,,0.00,,0.00,,0.00,,2.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,2.00,,3.59%,0.00%,0.077,48.56,12,0.00,,0.00,,0.00,,0.00,,0.00,,2.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B,2.00,0.17%,4.30%,0.00%,0.184,83.54,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,2.00,,3.01%,0.00%,0.228,1.17,12,0.00,,0.00,,0.00,,0.00,,0.00,,2.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,2.30%,0.00%,0.044,1.94,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,1.60%,0.00%,0.057,1.76,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,0.00,0.00%,0.86%,0.00%,0.128,21.38,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,1.31%,0.00%,0.138,6.03,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,0.00,0.00%,1.45%,0.00%,0.148,8.47,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,2.58%,0.00%,0.328,8.08,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
