Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bikeparking,bikeparking_rel,bouquet,bouquet_rel,circlepassing,circlepassing_rel,gardendecorations,gardendecorations_rel,infiniterace,infiniterace_rel,lightbulbs,lightbulbs_rel,makethemmeet,makethemmeet_rel,teamcoding,teamcoding_rel
claude-sonnet-4.5,244.00,40.67%,61.78%,16.67%,1.855,27.01,6,25.00,25.00%,52.00,52.00%,56.00,56.00%,N/A,N/A,100.00,100.00%,N/A,N/A,11.00,11.00%,0.00,0.00%
seed-oss_16384,235.00,,42.23%,25.00%,0.640,8.56,8,25.00,,100.00,,100.00,,0.00,,0.00,,0.00,,10.00,,0.00,
seed-oss_-1,225.00,28.12%,41.40%,25.00%,0.664,7.41,8,25.00,25.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-high,200.00,40.00%,40.00%,40.00%,0.048,3.51,5,100.00,100.00%,100.00,100.00%,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%,0.00,0.00%,N/A,N/A
gemini-2.5-flash,191.00,23.88%,38.74%,12.50%,0.404,174.31,8,25.00,25.00%,100.00,100.00%,56.00,56.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%
deepseek-reasoner,171.00,21.38%,36.01%,12.50%,0.086,6.50,8,25.00,25.00%,24.00,24.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,12.00,12.00%
OpenCodeReasoning-Nemotron-32B-IOI,125.00,15.62%,30.47%,12.50%,0.439,155.11,8,25.00,25.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_8192,124.00,,27.42%,12.50%,0.617,4.27,8,0.00,,100.00,,14.00,,0.00,,0.00,,0.00,,10.00,,0.00,
Llama-3.1-8B-Instruct,100.00,12.50%,15.23%,12.50%,0.031,0.91,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-low,95.00,11.88%,33.72%,0.00%,0.195,8.34,8,16.00,16.00%,24.00,24.00%,14.00,14.00%,0.00,0.00%,29.00,29.00%,0.00,0.00%,0.00,0.00%,12.00,12.00%
deepseek-chat,81.00,10.12%,29.72%,0.00%,0.386,151.72,8,25.00,25.00%,0.00,0.00%,56.00,56.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B,81.00,,32.41%,0.00%,0.601,6.29,8,25.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,72.00,,22.30%,0.00%,0.295,0.68,8,16.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B,57.00,,29.78%,0.00%,0.360,77.26,8,25.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,12.00,
seed-oss_4096,56.00,,15.50%,0.00%,0.320,1.13,8,0.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,56.00,,17.97%,0.00%,1.404,3.56,8,0.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,54.00,6.75%,25.35%,0.00%,0.654,154.18,8,16.00,16.00%,24.00,24.00%,14.00,14.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B,51.00,,27.83%,0.00%,0.079,3.16,8,25.00,,0.00,,14.00,,0.00,,0.00,,0.00,,0.00,,12.00,
gpt-4.1,39.00,4.88%,23.14%,0.00%,0.069,33.39,8,25.00,25.00%,0.00,0.00%,14.00,14.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,36.00,4.50%,23.32%,0.00%,0.925,10.61,8,16.00,16.00%,0.00,0.00%,20.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,32.00,4.00%,23.46%,0.00%,0.352,76.77,8,0.00,0.00%,0.00,0.00%,20.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,12.00,12.00%
Qwen3-4B,32.00,4.00%,23.67%,0.00%,0.370,78.71,8,0.00,0.00%,0.00,0.00%,20.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,12.00,12.00%
Llama-4-Scout,28.00,3.50%,20.54%,0.00%,0.060,1.91,8,16.00,16.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,12.00,12.00%
OlympicCoder-7B,26.00,3.25%,15.87%,0.00%,0.066,3.00,8,0.00,0.00%,0.00,0.00%,14.00,14.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,12.00,12.00%
Qwen3-32B-Non-Thinking,20.00,2.50%,15.01%,0.00%,0.128,144.56,8,0.00,0.00%,0.00,0.00%,20.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,20.00,2.50%,14.50%,0.00%,0.323,97.22,8,0.00,0.00%,0.00,0.00%,20.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,20.00,2.50%,16.55%,0.00%,0.387,160.75,8,0.00,0.00%,0.00,0.00%,20.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,20.00,2.50%,20.28%,0.00%,0.746,142.41,8,0.00,0.00%,0.00,0.00%,20.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,16.00,2.00%,8.87%,0.00%,0.034,0.36,8,16.00,16.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,16.00,2.00%,14.41%,0.00%,0.196,1.20,8,16.00,16.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,16.00,,13.86%,0.00%,0.620,3.13,8,16.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,16.00,2.00%,14.42%,0.00%,0.641,4.87,8,16.00,16.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,14.00,1.75%,5.27%,0.00%,0.012,0.00,8,0.00,0.00%,0.00,0.00%,14.00,14.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,14.00,,7.45%,0.00%,0.016,0.71,8,0.00,,0.00,,14.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,12.00,,9.48%,0.00%,0.019,2.39,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,12.00,
seed-oss_512,12.00,,10.37%,0.00%,0.323,76.70,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,12.00,
QwQ-32B,11.00,3.67%,7.93%,0.00%,0.240,171.23,3,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%,11.00,11.00%,N/A,N/A
DeepSeek-R1-Distill-Qwen-32B,10.00,3.33%,6.79%,0.00%,0.027,0.69,3,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%,10.00,10.00%,N/A,N/A
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,3.67%,0.00%,0.027,0.00,3,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%,0.00,0.00%,N/A,N/A
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,6.23%,0.00%,0.027,0.00,3,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%,0.00,0.00%,N/A,N/A
Codestral-22B-v0.1,0.00,0.00%,3.27%,0.00%,0.035,4.42,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,6.50%,0.00%,0.048,0.78,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,6.67%,0.00%,0.622,7.87,8,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
