Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Making_Mexes,bronze_Making_Mexes_rel,bronze_Printing_Sequences,bronze_Printing_Sequences_rel,bronze_Reflection,bronze_Reflection_rel,gold_Bessies_Function,gold_Bessies_Function_rel,gold_Friendship_Editing,gold_Friendship_Editing_rel,gold_The_Best_Subsequence,gold_The_Best_Subsequence_rel,platinum_Min_Max_Subarrays,platinum_Min_Max_Subarrays_rel,platinum_Transforming_Pairs,platinum_Transforming_Pairs_rel,platinum_True_or_False_Test,platinum_True_or_False_Test_rel,silver_The_Best_Lineup,silver_The_Best_Lineup_rel,silver_Transforming_Pairs,silver_Transforming_Pairs_rel,silver_Vocabulary_Quiz,silver_Vocabulary_Quiz_rel
Qwen3-8B,957.00,,30.73%,16.67%,1.011,19.91,12,333.00,,30.00,,333.00,,35.00,,0.00,,59.00,,0.00,,0.00,,0.00,,0.00,,167.00,,0.00,
Qwen3-30B,601.00,,20.06%,8.33%,0.757,32.45,12,0.00,,121.00,,0.00,,88.00,,0.00,,59.00,,0.00,,0.00,,0.00,,0.00,,333.00,,0.00,
gpt-4.1,534.00,,18.72%,8.33%,1.138,40.42,12,0.00,,333.00,,44.00,,35.00,,44.00,,59.00,,0.00,,19.00,,0.00,,0.00,,0.00,,0.00,
QwQ-32B,471.00,,16.04%,8.33%,0.272,4.06,12,0.00,,30.00,,333.00,,88.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,368.00,,11.91%,8.33%,0.388,2.26,12,333.00,,0.00,,0.00,,35.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,252.00,,10.50%,0.00%,1.221,27.11,12,0.00,,30.00,,111.00,,0.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,
Qwen3-32B-Non-Thinking,241.00,,7.87%,0.00%,0.726,48.61,12,0.00,,30.00,,0.00,,0.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,167.00,,0.00,
seed-oss_1024,181.00,,8.29%,0.00%,0.046,2.22,12,0.00,,30.00,,0.00,,18.00,,133.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,129.00,,6.67%,0.00%,0.229,1.55,12,0.00,,30.00,,0.00,,18.00,,22.00,,59.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,121.00,,5.21%,0.00%,0.626,22.28,12,0.00,,0.00,,0.00,,18.00,,44.00,,59.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B,88.00,,5.56%,0.00%,0.318,1.61,12,0.00,,0.00,,0.00,,88.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,88.00,,6.95%,0.00%,0.352,3.92,12,0.00,,0.00,,0.00,,88.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,74.00,,3.27%,0.00%,0.040,2.58,12,0.00,,30.00,,0.00,,0.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,74.00,,3.92%,0.00%,0.247,7.44,12,0.00,,30.00,,0.00,,0.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,67.00,,4.05%,0.00%,0.565,27.57,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,
Llama-3.3-70B-Instruct,67.00,,3.37%,0.00%,0.685,26.56,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,
Qwen2.5-Coder-14B-Instruct,65.00,,4.30%,0.00%,0.568,23.47,12,0.00,,30.00,,0.00,,35.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,52.00,,2.85%,0.00%,0.326,2.15,12,0.00,,30.00,,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,35.00,,1.43%,0.00%,0.317,22.89,12,0.00,,0.00,,0.00,,35.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,30.00,,1.28%,0.00%,0.008,0.00,12,0.00,,30.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,30.00,,1.40%,0.00%,0.039,0.82,11,0.00,,30.00,,0.00,,0.00,,0.00,,0.00,,N/A,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,30.00,,2.32%,0.00%,0.307,2.13,12,0.00,,30.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
Codestral-22B-v0.1,0.00,,0.00%,0.00%,0.000,0.00,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.42%,0.00%,0.032,0.75,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,0.00,,2.85%,0.00%,0.074,24.19,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,0.00,,1.68%,0.00%,0.475,0.78,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,2.39%,0.00%,0.527,1.82,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,0.00,,4.17%,0.00%,0.551,0.92,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
