Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Candy_Cane_Feast,bronze_Candy_Cane_Feast_rel,bronze_Cowntact_Tracing_2,bronze_Cowntact_Tracing_2_rel,bronze_Farmer_John_Actually_Farms,bronze_Farmer_John_Actually_Farms_rel,gold_Flight_Routes,gold_Flight_Routes_rel,gold_Haybale_Distribution,gold_Haybale_Distribution_rel,gold_Minimum_Longest_Trip,gold_Minimum_Longest_Trip_rel,platinum_A_Graph_Problem,platinum_A_Graph_Problem_rel,platinum_Cowntact_Tracing,platinum_Cowntact_Tracing_rel,platinum_Train_Scheduling,platinum_Train_Scheduling_rel,silver_Bovine_Acrobatics,silver_Bovine_Acrobatics_rel,silver_Cycle_Correspondence,silver_Cycle_Correspondence_rel,silver_Target_Practice,silver_Target_Practice_rel
gpt-4.1,1741.00,,50.43%,16.67%,1.088,60.27,12,231.00,,100.00,,0.00,,333.00,,333.00,,83.00,,17.00,,33.00,,233.00,,156.00,,139.00,,83.00,
deepseek-chat,1712.00,,46.02%,16.67%,0.643,21.07,12,333.00,,100.00,,0.00,,0.00,,333.00,,312.00,,50.00,,0.00,,300.00,,89.00,,28.00,,167.00,
seed-oss_512,1511.00,,40.15%,25.00%,0.182,5.92,12,333.00,,100.00,,0.00,,333.00,,333.00,,312.00,,0.00,,0.00,,0.00,,44.00,,28.00,,28.00,
seed-oss_4096,1441.00,,39.95%,25.00%,0.507,18.80,12,26.00,,133.00,,333.00,,333.00,,333.00,,83.00,,0.00,,0.00,,0.00,,89.00,,28.00,,83.00,
Qwen3-4B,1429.00,,41.60%,16.67%,0.777,32.78,12,51.00,,100.00,,333.00,,17.00,,333.00,,83.00,,17.00,,0.00,,183.00,,200.00,,56.00,,56.00,
seed-oss_2048,1231.00,,33.57%,25.00%,0.062,4.64,12,0.00,,100.00,,0.00,,333.00,,333.00,,104.00,,0.00,,0.00,,0.00,,333.00,,0.00,,28.00,
DeepSeek-R1-Distill-Qwen-14B,1028.00,,32.02%,16.67%,0.388,24.87,12,333.00,,100.00,,0.00,,17.00,,333.00,,0.00,,17.00,,0.00,,0.00,,89.00,,56.00,,83.00,
Qwen3-30B-Non-Thinking,1004.00,,28.83%,16.67%,0.329,7.23,12,51.00,,100.00,,0.00,,333.00,,333.00,,104.00,,0.00,,0.00,,0.00,,0.00,,0.00,,83.00,
seed-oss_1024,952.00,,27.44%,16.67%,0.083,7.95,12,26.00,,100.00,,0.00,,333.00,,333.00,,104.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56.00,
Qwen2.5-Coder-32B-Instruct,931.00,,26.55%,8.33%,0.688,21.24,12,333.00,,100.00,,0.00,,0.00,,111.00,,104.00,,0.00,,0.00,,0.00,,200.00,,0.00,,83.00,
Qwen3-14B-Non-Thinking,740.00,,23.70%,9.09%,0.868,8.23,11,26.00,,100.00,,0.00,,0.00,,333.00,,104.00,,0.00,,0.00,,50.00,,44.00,,N/A,,83.00,
Mistral-Large-Instruct-2411,739.00,,21.81%,8.33%,0.865,6.73,12,333.00,,100.00,,0.00,,0.00,,111.00,,0.00,,17.00,,0.00,,0.00,,67.00,,28.00,,83.00,
Qwen2.5-72B,721.00,,21.91%,8.33%,0.678,5.28,12,333.00,,100.00,,0.00,,0.00,,22.00,,104.00,,17.00,,0.00,,0.00,,89.00,,28.00,,28.00,
Llama-3.3-70B-Instruct,709.00,,24.36%,8.33%,1.212,6.65,12,333.00,,100.00,,0.00,,17.00,,44.00,,104.00,,0.00,,0.00,,0.00,,0.00,,28.00,,83.00,
Llama-4-Scout,577.00,,21.40%,8.33%,1.115,17.91,12,333.00,,100.00,,0.00,,17.00,,22.00,,0.00,,0.00,,0.00,,0.00,,22.00,,0.00,,83.00,
Qwen3-4B-Non-Thinking,453.00,,14.10%,0.00%,1.063,11.61,12,231.00,,100.00,,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,44.00,,28.00,,28.00,
Qwen2.5-Coder-14B-Instruct,427.00,,13.62%,0.00%,0.689,28.38,12,51.00,,100.00,,0.00,,17.00,,0.00,,42.00,,17.00,,0.00,,0.00,,89.00,,28.00,,83.00,
seed-oss_0,399.00,,11.64%,0.00%,0.083,9.11,12,0.00,,100.00,,0.00,,17.00,,0.00,,104.00,,0.00,,0.00,,33.00,,89.00,,28.00,,28.00,
Qwen2.5-Coder-7B-Instruct,265.00,,8.42%,0.00%,0.810,3.08,12,26.00,,100.00,,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,89.00,,0.00,,28.00,
Mistral-Small-3.1-24B-2503,251.00,,8.24%,0.00%,0.298,4.73,12,51.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,44.00,,28.00,,28.00,
Codestral-22B-v0.1,251.00,,8.12%,0.00%,0.462,6.24,12,51.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,44.00,,0.00,,56.00,
DeepSeek-Coder-V2-Lite-Instruct,225.00,,6.41%,0.00%,0.862,6.79,12,26.00,,33.00,,0.00,,17.00,,22.00,,0.00,,0.00,,0.00,,0.00,,44.00,,0.00,,83.00,
Llama-3.1-8B-Instruct,123.00,,3.78%,0.00%,0.249,3.36,12,0.00,,67.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,28.00,,28.00,
DeepSeek-R1-Distill-Llama-8B,100.00,,2.78%,0.00%,0.009,0.15,12,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,2,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,0.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
