Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_FEB,bronze_FEB_rel,bronze_Moo_Language,bronze_Moo_Language_rel,bronze_Rotate_and_Shift,bronze_Rotate_and_Shift_rel,gold_Custodial_Cleanup,gold_Custodial_Cleanup_rel,gold_Pareidolia,gold_Pareidolia_rel,gold_Tree_Merging,gold_Tree_Merging_rel,platinum_Good_Bitstrings,platinum_Good_Bitstrings_rel,platinum_Pareidolia,platinum_Pareidolia_rel,platinum_Triples_of_Cows,platinum_Triples_of_Cows_rel,silver_Field_Day,silver_Field_Day_rel,silver_Milk_Sum,silver_Milk_Sum_rel,silver_Pareidolia,silver_Pareidolia_rel
Llama-3.3-70B-Instruct,335.00,,12.52%,0.00%,1.964,15.04,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,33.00,,17.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,327.00,8.43%,9.68%,0.00%,0.312,29.64,12,118.00,36.53%,0.00,0.00%,139.00,42.90%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,70.00,21.67%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,302.00,7.78%,11.72%,0.00%,1.468,62.74,12,118.00,36.53%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,276.00,,8.31%,0.00%,0.597,3.02,12,39.00,,0.00,,167.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,265.00,6.82%,7.40%,0.00%,0.445,26.19,12,98.00,30.34%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,265.00,6.82%,9.63%,0.00%,1.034,27.00,12,98.00,30.34%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,258.00,6.66%,8.83%,0.00%,1.453,15.11,12,118.00,36.53%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,123.00,38.08%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,257.00,,8.48%,0.00%,0.638,27.58,12,118.00,,0.00,,139.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,206.00,5.30%,5.74%,0.00%,0.613,1.07,12,39.00,12.07%,0.00,0.00%,167.00,51.54%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,188.00,,5.88%,0.00%,0.221,0.72,12,118.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
seed-oss_2048,150.00,,5.58%,0.00%,0.419,3.21,12,59.00,,0.00,,0.00,,21.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,118.00,3.04%,4.17%,0.00%,0.795,52.04,12,118.00,36.53%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,90.00,,2.96%,0.00%,0.232,0.85,12,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
seed-oss_512,90.00,,2.92%,0.00%,0.337,0.79,12,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,70.00,1.81%,1.67%,0.00%,0.020,0.22,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,70.00,21.67%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,59.00,1.52%,2.08%,0.00%,0.663,2.87,12,59.00,18.27%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,39.00,1.01%,1.94%,0.00%,0.638,2.55,12,39.00,12.07%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,1.30%,0.00%,0.052,26.10,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
