Rank,Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Count,Avg Human Percentile,Avg Human Percentile (Competition)
28,Qwen3-4B,10,49,911.0,911.0,39.06122448979592,51.27632653061225,36.3265306122449,1,2,4,7,2,62.57334228854363,64.90893919424359
29,DeepSeek-R1-Distill-Llama-70B,10,49,1016.0,1016.0,41.08877551020408,47.76979591836735,42.44897959183674,1,1,5,7,2,63.50232163671698,65.37074051007596
30,OlympicCoder-7B,10,49,824.0,824.0,36.93877551020408,43.992244897959175,36.3265306122449,1,2,3,6,2,54.354423773226166,58.03547395974414
31,Qwen2.5-72B,10,49,736.0,736.0,33.98673469387755,44.82244897959183,29.591836734693878,1,1,3,5,2,52.995877595909974,55.40359581003132
32,seed-oss_16384,10,49,1112.0,1112.0,31.598979591836734,50.9265306122449,46.93877551020408,1,3,0,4,2,42.513130680622055,40.83267829419816
33,Qwen3-32B-Non-Thinking,10,49,608.0,608.0,31.721428571428568,41.9530612244898,26.53061224489796,1,1,2,4,2,49.24479401067386,52.36527029471398
34,Qwen2.5-Coder-32B-Instruct,10,49,480.0,480.0,24.020408163265305,31.49714285714286,18.367346938775512,1,1,2,4,2,36.86216073312566,37.907356560483294
35,Mistral-Small-3.1-24B-2503,10,49,504.0,504.0,27.517346938775507,34.43081632653061,24.489795918367346,1,0,3,4,2,43.94968066578218,46.62511352684244
36,Qwen3-4B-Non-Thinking,10,49,352.0,352.0,24.41530612244898,31.485306122448982,20.408163265306122,0,1,3,4,2,37.45256106281179,41.34687395956859
37,Llama-3.3-70B-Instruct,10,49,494.0,494.0,26.15714285714286,35.87795918367346,22.448979591836736,0,0,4,4,2,42.51041194935006,44.76999337771898
38,Mistral-Large-Instruct-2411,10,49,513.0,513.0,29.435714285714283,37.95102040816326,24.489795918367346,1,1,1,3,2,41.87565864503697,45.8222773730575
39,Qwen2.5-Coder-14B-Instruct,10,49,482.0,482.0,29.15,37.12142857142858,23.46938775510204,1,1,1,3,2,41.998505254348174,46.32669633110925
40,Qwen3-30B-Non-Thinking,10,49,565.0,565.0,28.41530612244898,38.77367346938775,27.55102040816326,1,0,2,3,2,43.80505983809754,46.09827490963411
41,Llama-4-Scout,10,49,490.0,490.0,28.272448979591836,35.808367346938766,22.448979591836736,1,0,2,3,2,40.86878567115493,44.84570721619384
42,seed-oss_4096,10,49,828.0,828.0,23.374489795918365,47.5495918367347,42.44897959183674,0,1,2,3,2,39.449126227381,37.3032217709934
43,Codestral-22B-v0.1,10,49,406.0,406.0,26.09591836734694,31.986326530612242,20.408163265306122,0,1,2,3,2,38.19434775628633,42.38776947499343
44,DeepSeek-R1-Distill-Qwen-32B,10,49,798.0,798.0,31.435714285714283,42.687346938775505,28.163265306122447,1,1,0,2,2,44.669518314542984,44.75466280320275
45,DeepSeek-R1-Distill-Qwen-14B,10,49,594.0,594.0,26.925510204081633,32.77755102040816,26.122448979591837,1,0,1,2,2,38.07567374199546,39.25567020794699
46,Qwen3-8B-Non-Thinking,10,49,506.0,506.0,25.476530612244897,33.07040816326531,18.367346938775512,0,1,1,2,2,36.423081858812374,38.887012786451365
47,Llama-3.1-8B-Instruct,10,49,205.0,205.0,18.292857142857144,21.77,14.285714285714285,0,1,1,2,2,26.599307776461234,30.13273914534936
48,seed-oss_512,10,49,491.0,491.0,21.58469387755102,36.700612244897954,31.734693877551024,0,0,2,2,2,35.32842400050209,36.90969770344456
49,DeepSeek-R1-Distill-Llama-8B,10,49,209.0,209.0,17.79591836734694,17.979591836734695,15.918367346938775,0,0,2,2,2,24.742126381191603,27.185122469918202
50,Qwen2.5-Coder-7B-Instruct,10,49,244.0,244.0,19.320408163265306,23.094897959183672,12.244897959183673,0,1,0,1,2,27.040118426975585,30.075772203078014
51,seed-oss_1024,10,49,624.0,624.0,21.29285714285714,44.393469387755104,38.36734693877551,0,0,1,1,2,36.73467872676537,35.790858638430635
52,DeepSeek-Coder-V2-Lite-Instruct,10,49,353.0,353.0,20.50408163265306,26.18979591836734,14.285714285714285,0,0,1,1,2,29.021856337149323,31.449309123185913
53,seed-oss_0,10,49,322.0,322.0,15.013265306122449,36.46081632653061,30.612244897959183,0,0,1,1,2,24.65369221637064,25.18109426737788
54,Qwen3-14B-Non-Thinking,9,44,308.0,308.0,13.053409090909092,22.099545454545453,10.227272727272728,0,0,1,1,2,25.064851956885974,26.697736983977357
55,seed-oss_2048,10,49,520.0,520.0,16.857142857142858,38.75469387755102,32.244897959183675,0,0,0,0,2,28.154583073529686,26.62138562060853
56,DeepSeek-R1-Distill-Qwen-7B,6,30,30.0,30.0,6.666666666666667,16.666666666666664,16.666666666666664,0,0,0,0,2,10.689373251844856,11.687664859518563
