Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,beechtree,beechtree_rel,closing,closing_rel,longesttrip,longesttrip_rel,overtaking,overtaking_rel,robot,robot_rel,soccer,soccer_rel
Qwen3-14B-Non-Thinking,39.00,6.50%,12.39%,0.00%,0.567,3.55,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,39.00,39.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-high,36.00,7.20%,17.98%,0.00%,0.440,6.39,5,N/A,N/A,17.00,17.00%,0.00,0.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-32B,34.00,5.67%,11.67%,0.00%,0.253,90.76,6,0.00,0.00%,0.00,0.00%,15.00,15.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp1,32.00,5.33%,15.18%,0.00%,0.043,8.85,6,0.00,0.00%,8.00,8.00%,5.00,5.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-low,32.00,5.33%,9.90%,0.00%,0.043,10.10,6,0.00,0.00%,8.00,8.00%,5.00,5.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-medium,32.00,5.33%,14.49%,0.00%,0.358,9.75,6,0.00,0.00%,8.00,8.00%,5.00,5.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-low,27.00,4.50%,15.07%,0.00%,0.378,9.52,6,0.00,0.00%,8.00,8.00%,0.00,0.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-medium,27.00,4.50%,15.36%,0.00%,0.380,10.11,6,0.00,0.00%,17.00,17.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,23.00,3.83%,12.72%,0.00%,0.057,11.34,6,0.00,0.00%,8.00,8.00%,5.00,5.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp3,22.00,3.67%,10.67%,0.00%,0.667,9.53,6,0.00,0.00%,17.00,17.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,19.00,3.17%,9.24%,0.00%,0.503,5.87,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,19.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp4,18.00,3.00%,6.95%,0.00%,0.378,18.48,6,0.00,0.00%,8.00,8.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B,17.00,17.00%,33.14%,0.00%,0.160,35.68,1,N/A,N/A,17.00,17.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Qwen3-8B,13.00,2.17%,7.28%,0.00%,0.333,8.71,6,0.00,0.00%,8.00,8.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
deepseek-reasoner,13.00,2.17%,9.81%,0.00%,0.338,12.89,6,0.00,0.00%,8.00,8.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,13.00,2.17%,4.60%,0.00%,0.355,15.40,6,0.00,0.00%,8.00,8.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,13.00,2.17%,10.41%,0.00%,0.398,9.09,6,0.00,0.00%,8.00,8.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,5.00,2.50%,9.37%,0.00%,0.060,6.37,2,N/A,N/A,N/A,N/A,5.00,5.00%,N/A,N/A,0.00,0.00%,N/A,N/A
DeepSeek-R1-Distill-Qwen-32B,5.00,1.67%,7.03%,0.00%,0.103,7.42,3,0.00,0.00%,N/A,N/A,5.00,5.00%,N/A,N/A,0.00,0.00%,N/A,N/A
Qwen3-4B,5.00,0.83%,4.08%,0.00%,0.317,43.14,6,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,5.00,0.83%,5.35%,0.00%,0.317,6.96,6,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,5.00,0.83%,6.12%,0.00%,0.598,7.80,6,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,5.00,2.50%,5.12%,0.00%,0.985,2.88,2,N/A,N/A,N/A,N/A,5.00,5.00%,N/A,N/A,0.00,0.00%,N/A,N/A
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,0.15%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,1.70%,0.00%,0.022,4.78,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,0.66%,0.00%,0.108,2.09,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,0.00,0.00%,0.55%,0.00%,0.303,185.10,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,0.00,0.00%,0.65%,0.00%,0.305,4.62,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,3.04%,0.00%,0.337,7.68,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,2.15%,0.00%,0.508,3.36,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,2.26%,0.00%,0.627,7.82,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
