Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,j1,j1_rel,j2,j2_rel,j3,j3_rel,j4,j4_rel,j5,j5_rel
DeepSeek-Coder-V2-Lite-Instruct,36.00,,52.44%,40.00%,0.036,1.19,5,15.00,,0.00,,6.00,,0.00,,15.00,
Qwen3-8B-Non-Thinking,33.00,,54.03%,50.00%,0.048,1.54,4,N/A,,15.00,,15.00,,3.00,,0.00,
seed-oss_16384,30.00,,100.00%,100.00%,0.015,0.00,2,15.00,,15.00,,N/A,,N/A,,N/A,
gpt-oss-20b-high,15.00,100.00%,100.00%,100.00%,0.000,0.00,1,15.00,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deepseek-reasoner,15.00,,100.00%,100.00%,0.000,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
seed-oss_0,15.00,,100.00%,100.00%,0.000,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
Qwen3-14B,15.00,,100.00%,100.00%,0.000,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
gpt-oss-20b-medium,15.00,100.00%,100.00%,100.00%,0.010,0.00,1,15.00,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gpt-oss-120b-high,15.00,100.00%,100.00%,100.00%,0.020,0.00,1,15.00,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gpt-oss-120b-low,15.00,100.00%,100.00%,100.00%,0.020,0.00,1,15.00,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seed-oss_4096,15.00,,100.00%,100.00%,0.020,0.00,1,N/A,,15.00,,N/A,,N/A,,N/A,
seed-oss_2048,15.00,,100.00%,100.00%,0.020,0.00,1,N/A,,15.00,,N/A,,N/A,,N/A,
seed-oss_1024,15.00,,100.00%,100.00%,0.020,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
Qwen3-32B,15.00,,100.00%,100.00%,0.030,0.00,1,15.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,2,0.00,,N/A,,0.00,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,0.00,
