Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Air_Cownditioning_II,bronze_Air_Cownditioning_II_rel,bronze_Leaders,bronze_Leaders_rel,bronze_Moo_Operations,bronze_Moo_Operations_rel,gold_Find_and_Replace,gold_Find_and_Replace_rel,gold_Lights_Off,gold_Lights_Off_rel,gold_Moo_Route,gold_Moo_Route_rel,platinum_Mana_Collection,platinum_Mana_Collection_rel,platinum_Subtree_Activation,platinum_Subtree_Activation_rel,platinum_Tractor_Paths,platinum_Tractor_Paths_rel,silver_Find_and_Replace,silver_Find_and_Replace_rel,silver_Following_Directions,silver_Following_Directions_rel,silver_Moo_Route,silver_Moo_Route_rel
Llama-3.3-70B-Instruct,512.00,,13.59%,8.33%,1.133,3.54,12,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,143.00,,19.00,
Mistral-Large-Instruct-2411,495.00,12.60%,14.48%,8.33%,1.054,3.21,12,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,143.00,44.41%,19.00,5.86%
seed-oss_512,488.00,,12.32%,8.33%,0.818,3.56,12,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,71.00,,48.00,,19.00,
Qwen3-4B-Non-Thinking,455.00,11.49%,12.81%,8.33%,0.032,1.04,12,333.00,100.91%,22.00,6.67%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,369.00,,9.54%,8.33%,0.017,0.72,12,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,0.00,,19.00,
DeepSeek-R1-Distill-Llama-8B,366.00,9.24%,10.25%,0.00%,0.020,0.00,12,133.00,40.30%,0.00,0.00%,233.00,70.61%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,134.00,,5.61%,0.00%,0.421,14.14,12,0.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,71.00,,0.00,,19.00,
Qwen2.5-Coder-14B-Instruct,82.00,2.09%,3.60%,0.00%,0.472,28.48,12,0.00,0.00%,44.00,13.33%,0.00,0.00%,0.00,0.00%,19.00,5.86%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,5.86%
Mistral-Small-3.1-24B-2503,63.00,1.60%,2.77%,0.00%,0.231,1.13,12,0.00,0.00%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,5.86%
Codestral-22B-v0.1,63.00,1.60%,2.35%,0.00%,0.253,17.73,12,0.00,0.00%,44.00,13.33%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,5.86%
Qwen2.5-Coder-7B-Instruct,41.00,1.04%,1.46%,0.00%,0.032,0.50,12,0.00,0.00%,22.00,6.67%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,19.00,5.86%
DeepSeek-Coder-V2-Lite-Instruct,17.00,0.44%,0.40%,0.00%,0.172,3.87,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,0.89%,0.00%,0.048,25.57,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
