Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Astral_Superposition,bronze_Astral_Superposition_rel,bronze_Cow_Checkups,bronze_Cow_Checkups_rel,bronze_Its_Mooin_Time_II,bronze_Its_Mooin_Time_II_rel,gold_Median_Heap,gold_Median_Heap_rel,gold_Photo_Op,gold_Photo_Op_rel,gold_Reachable_Pairs,gold_Reachable_Pairs_rel,platinum_DFS_Order,platinum_DFS_Order_rel,platinum_Shock_Wave,platinum_Shock_Wave_rel,platinum_Watering_the_Plants,platinum_Watering_the_Plants_rel,silver_Cow_Checkups,silver_Cow_Checkups_rel,silver_Farmer_Johns_Favorite_Operation,silver_Farmer_Johns_Favorite_Operation_rel,silver_Table_Recovery,silver_Table_Recovery_rel
seed-oss_-1,1848.00,46.97%,48.60%,41.67%,0.213,39.61,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,133.00,40.30%,0.00,0.00%,50.00,15.62%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,0.00,0.00%
gpt-oss-120b-low,1815.00,46.21%,46.57%,41.67%,0.449,26.03,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,0.00,0.00%,33.00,10.31%,117.00,36.56%,0.00,0.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,0.00,0.00%
claude-sonnet-4.5,1758.00,44.90%,50.65%,25.00%,1.354,64.74,12,333.00,100.91%,100.00,30.30%,333.00,100.91%,133.00,40.30%,67.00,20.30%,50.00,15.62%,117.00,36.56%,26.00,8.00%,0.00,0.00%,333.00,104.06%,44.00,13.33%,222.00,68.52%
seed-oss_16384,1615.00,,43.19%,33.33%,0.103,13.45,12,233.00,,333.00,,333.00,,0.00,,0.00,,50.00,,0.00,,0.00,,0.00,,333.00,,333.00,,0.00,
deepseek-reasoner,1557.00,39.62%,41.68%,33.33%,0.823,31.91,12,33.00,10.00%,333.00,100.91%,333.00,100.91%,133.00,40.30%,0.00,0.00%,33.00,10.31%,0.00,0.00%,26.00,8.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,1424.00,36.26%,37.47%,33.33%,0.407,14.04,12,33.00,10.00%,333.00,100.91%,333.00,100.91%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,26.00,8.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,0.00,0.00%
QwQ-32B,1398.00,,36.88%,33.33%,0.193,13.62,12,33.00,,333.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,333.00,,333.00,,0.00,
seed-oss_8192,1298.00,,34.71%,25.00%,0.480,10.80,12,33.00,,333.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,233.00,,333.00,,0.00,
Qwen3-14B,1165.00,,31.81%,25.00%,0.407,8.40,12,33.00,,333.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,100.00,,333.00,,0.00,
Qwen3-32B,1131.00,,31.82%,25.00%,0.511,13.48,12,33.00,,333.00,,333.00,,0.00,,22.00,,33.00,,0.00,,0.00,,0.00,,333.00,,44.00,,0.00,
gpt-oss-20b-low,1032.00,26.09%,27.00%,25.00%,0.390,13.18,12,0.00,0.00%,333.00,100.91%,333.00,100.91%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%
Qwen3-8B,999.00,25.49%,28.30%,25.00%,0.378,8.71,12,0.00,0.00%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,0.00,0.00%
gpt-4.1,808.00,20.51%,25.16%,8.33%,0.905,44.38,12,33.00,10.00%,100.00,30.30%,200.00,60.61%,0.00,0.00%,0.00,0.00%,83.00,25.94%,0.00,0.00%,26.00,8.00%,0.00,0.00%,33.00,10.31%,333.00,100.91%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,721.00,,19.74%,8.33%,0.520,25.62,12,33.00,,300.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,,22.00,,0.00,
Qwen3-30B,521.00,,17.63%,8.33%,0.313,15.73,12,33.00,,333.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,100.00,,22.00,,0.00,
seed-oss_4096,499.00,,14.99%,8.33%,0.256,9.01,12,33.00,,0.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
OlympicCoder-7B,466.00,11.85%,14.30%,8.33%,0.313,5.25,12,33.00,10.00%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,31.25%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,444.00,11.26%,14.62%,8.33%,0.392,29.79,12,0.00,0.00%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.94%,44.00,13.33%,0.00,0.00%
Qwen3-4B,334.00,8.49%,12.37%,0.00%,0.758,26.58,12,0.00,0.00%,267.00,80.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,67.00,20.94%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,333.00,,11.10%,8.33%,0.228,19.43,12,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,294.00,7.52%,12.46%,0.00%,1.147,11.38,12,33.00,10.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,31.25%,0.00,0.00%,0.00,0.00%,17.00,5.31%,44.00,13.33%,0.00,0.00%
Llama-3.3-70B-Instruct,272.00,,11.31%,0.00%,0.845,27.44,12,33.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,22.00,,0.00,
deepseek-chat,266.00,6.82%,10.53%,0.00%,0.540,7.23,12,33.00,10.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,31.25%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,255.00,,10.22%,0.00%,0.896,23.82,12,33.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,22.00,,0.00,
Qwen2.5-Coder-14B-Instruct,250.00,6.33%,10.27%,0.00%,0.905,5.13,12,33.00,10.00%,100.00,30.30%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,239.00,6.05%,9.92%,0.00%,0.863,4.33,12,0.00,0.00%,100.00,30.30%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,22.00,6.67%,0.00,0.00%
Mistral-Small-3.1-24B-2503,233.00,5.88%,9.91%,0.00%,0.877,6.57,12,33.00,10.00%,100.00,30.30%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,217.00,5.49%,8.88%,0.00%,1.077,3.26,12,0.00,0.00%,100.00,30.30%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,177.00,4.47%,8.11%,0.00%,0.607,28.50,12,33.00,10.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,44.00,13.33%,0.00,0.00%
Qwen3-30B-Non-Thinking,166.00,4.22%,7.27%,0.00%,0.503,10.59,12,33.00,10.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,166.00,4.22%,6.52%,0.00%,0.515,4.96,12,33.00,10.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,33.00,10.31%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,150.00,3.80%,5.68%,0.00%,0.654,2.74,12,0.00,0.00%,33.00,10.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%
seed-oss_2048,133.00,,7.24%,0.00%,0.249,6.06,12,33.00,,0.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,133.00,3.36%,6.91%,0.00%,0.388,29.19,12,33.00,10.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,133.00,,6.55%,0.00%,0.506,14.00,12,33.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,117.00,2.97%,5.85%,0.00%,0.439,1.56,12,0.00,0.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,5.31%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,100.00,2.53%,4.76%,0.00%,0.287,2.99,12,0.00,0.00%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,66.00,,3.95%,0.00%,0.251,4.54,12,33.00,,0.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,33.00,,1.94%,0.00%,0.028,1.54,12,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,33.00,,2.70%,0.00%,0.053,7.23,12,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,0.92%,0.00%,0.259,5.80,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
