Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2023-open-t1_Ancient_Machine_2,2023-open-t1_Ancient_Machine_2_rel,2023-open-t2_Cell_Automaton,2023-open-t2_Cell_Automaton_rel,2023-open-t3_Garden,2023-open-t3_Garden_rel
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,3.17%,0.00%,0.123,1.01,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,0.00,0.00%,9.52%,0.00%,0.153,0.52,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,0.00,0.00%,3.17%,0.00%,0.157,4.43,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp2,0.00,0.00%,18.11%,0.00%,0.170,2.75,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-medium,0.00,0.00%,7.25%,0.00%,0.827,2.84,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,0.00,0.00%,4.60%,0.00%,0.850,7.30,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,0.00,0.00%,5.93%,0.00%,0.860,4.04,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_-1,0.00,0.00%,23.74%,0.00%,0.870,0.80,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,5.93%,0.00%,0.913,3.95,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.930,74.68,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
