Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Balancing_Bacteria,bronze_Balancing_Bacteria_rel,bronze_Cannonball,bronze_Cannonball_rel,bronze_Majority_Opinion,bronze_Majority_Opinion_rel,gold_Cowmpetency,gold_Cowmpetency_rel,gold_Nap_Sort,gold_Nap_Sort_rel,gold_Walking_in_Manhattan,gold_Walking_in_Manhattan_rel,platinum_Island_Vacation,platinum_Island_Vacation_rel,platinum_Merging_Cells,platinum_Merging_Cells_rel,platinum_Mooball_Teams_III,platinum_Mooball_Teams_III_rel,silver_Cowlendar,silver_Cowlendar_rel,silver_Cowmpetency,silver_Cowmpetency_rel,silver_Potion_Farming,silver_Potion_Farming_rel
Qwen3-30B-Non-Thinking,551.00,,15.15%,8.33%,0.305,5.03,12,0.00,,333.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,194.00,,0.00,,0.00,
seed-oss_1024,516.00,,12.73%,8.33%,0.050,3.84,12,0.00,,333.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,111.00,,0.00,,48.00,
Llama-4-Scout,462.00,,13.80%,8.33%,0.625,4.87,12,0.00,,333.00,,24.00,,0.00,,0.00,,53.00,,0.00,,0.00,,0.00,,28.00,,0.00,,24.00,
Qwen2.5-Coder-14B-Instruct,416.00,,13.56%,0.00%,0.793,1.42,12,0.00,,241.00,,95.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56.00,,0.00,,24.00,
seed-oss_0,405.00,,10.35%,8.33%,0.225,2.51,12,0.00,,333.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,48.00,
seed-oss_512,363.00,,8.85%,0.00%,0.349,12.60,12,0.00,,148.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,167.00,,0.00,,24.00,
Qwen3-14B-Non-Thinking,360.00,,11.04%,0.00%,0.632,6.77,12,0.00,,259.00,,24.00,,0.00,,0.00,,53.00,,0.00,,0.00,,0.00,,0.00,,0.00,,24.00,
Llama-3.3-70B-Instruct,345.00,,11.34%,0.00%,0.792,2.18,12,0.00,,241.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56.00,,0.00,,48.00,
Qwen2.5-Coder-32B-Instruct,321.00,,10.26%,0.00%,0.809,2.23,12,0.00,,241.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56.00,,0.00,,0.00,
Qwen2.5-72B,317.00,,10.19%,0.00%,0.440,2.73,12,0.00,,241.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,28.00,,0.00,,24.00,
Qwen2.5-Coder-7B-Instruct,313.00,,8.26%,0.00%,0.227,1.49,12,0.00,,241.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,48.00,
Mistral-Small-3.1-24B-2503,287.00,,8.94%,0.00%,0.608,1.49,12,0.00,,259.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,28.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,269.00,,8.80%,0.00%,0.600,3.24,12,0.00,,241.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,28.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,265.00,,8.68%,0.00%,0.677,17.54,12,0.00,,241.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,67.00,,1.94%,0.00%,0.260,2.42,12,0.00,,19.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,24.00,
Qwen3-4B-Non-Thinking,65.00,,4.70%,0.00%,0.424,2.75,12,0.00,,37.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,28.00,,0.00,,0.00,
Codestral-22B-v0.1,61.00,,1.77%,0.00%,0.398,13.24,12,0.00,,37.00,,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,19.00,,0.97%,0.00%,0.020,0.35,12,0.00,,19.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,2,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,
