Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,berilij,berilij_rel,cokolade,cokolade_rel,desniklik,desniklik_rel,iksevi,iksevi_rel,neboderi,neboderi_rel
Qwen2.5-Coder-14B-Instruct,83.00,,28.23%,20.00%,0.126,109.94,5,0.00,,0.00,,50.00,,0.00,,33.00,
Qwen3-32B-Non-Thinking,83.00,,28.23%,20.00%,0.570,2.47,5,0.00,,0.00,,50.00,,0.00,,33.00,
Qwen3-4B-Non-Thinking,83.00,,28.23%,20.00%,0.616,30.79,5,0.00,,0.00,,50.00,,0.00,,33.00,
Qwen2.5-Coder-32B-Instruct,83.00,,28.23%,20.00%,0.638,5.25,5,0.00,,0.00,,50.00,,0.00,,33.00,
Mistral-Small-3.1-24B-2503,83.00,,28.23%,20.00%,0.778,2.94,5,0.00,,0.00,,50.00,,0.00,,33.00,
Qwen3-8B-Non-Thinking,76.00,,28.70%,20.00%,0.960,2.91,5,0.00,,15.00,,50.00,,0.00,,11.00,
Llama-3.3-70B-Instruct,76.00,,26.38%,20.00%,1.460,5.41,5,0.00,,0.00,,50.00,,15.00,,11.00,
seed-oss_1024,65.00,,25.45%,20.00%,0.264,2.68,5,0.00,,15.00,,50.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,61.00,,24.53%,20.00%,0.590,2.35,5,0.00,,0.00,,50.00,,0.00,,11.00,
Codestral-22B-v0.1,61.00,,24.16%,20.00%,0.618,2.07,5,0.00,,0.00,,50.00,,0.00,,11.00,
DeepSeek-Coder-V2-Lite-Instruct,61.00,,24.16%,20.00%,0.822,2.12,5,0.00,,0.00,,50.00,,0.00,,11.00,
Qwen2.5-72B,61.00,,24.16%,20.00%,0.838,7.02,5,0.00,,0.00,,50.00,,0.00,,11.00,
Mistral-Large-Instruct-2411,61.00,,24.16%,20.00%,0.844,3.55,5,0.00,,0.00,,50.00,,0.00,,11.00,
seed-oss_4096,50.00,,100.00%,100.00%,0.000,0.00,1,N/A,,N/A,,50.00,,N/A,,N/A,
Llama-3.1-8B-Instruct,50.00,,20.00%,20.00%,0.026,1.82,5,0.00,,0.00,,50.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,50.00,,20.45%,20.00%,0.048,13.56,5,0.00,,0.00,,50.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,50.00,,20.45%,20.00%,0.054,2.01,5,0.00,,0.00,,50.00,,0.00,,0.00,
seed-oss_0,50.00,,20.45%,20.00%,0.056,6.50,5,0.00,,0.00,,50.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
