Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2025-ho-t1_Grid_Coloring,2025-ho-t1_Grid_Coloring_rel,2025-ho-t2_Bitaro_the_Brave_2,2025-ho-t2_Bitaro_the_Brave_2_rel,2025-ho-t3_Mi_Teleférico,2025-ho-t3_Mi_Teleférico_rel,2025-ho-t4_Just_Long_Neckties_2,2025-ho-t4_Just_Long_Neckties_2_rel,2025-ho-t5_Post_Office,2025-ho-t5_Post_Office_rel
gpt-oss-120b-medium,249.00,49.80%,64.06%,40.00%,0.902,29.16,5,100.00,100.00%,100.00,100.00%,0.00,0.00%,46.00,46.00%,3.00,3.00%
gpt-oss-120b_sp1,249.00,49.80%,61.61%,40.00%,0.932,21.41,5,100.00,100.00%,100.00,100.00%,0.00,0.00%,46.00,46.00%,3.00,3.00%
seed-oss_-1,246.00,49.20%,59.58%,40.00%,1.376,227.75,5,100.00,100.00%,100.00,100.00%,0.00,0.00%,46.00,46.00%,0.00,0.00%
gpt-5,203.00,50.75%,60.95%,50.00%,0.182,19.71,4,100.00,100.00%,100.00,100.00%,N/A,N/A,0.00,0.00%,3.00,3.00%
gpt-oss-20b-high,200.00,50.00%,51.85%,50.00%,0.233,14.47,4,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,N/A,N/A
gpt-oss-20b-medium,200.00,50.00%,50.52%,50.00%,0.237,20.14,4,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,N/A,N/A
gpt-oss-120b-low,161.00,32.20%,45.84%,20.00%,1.412,29.91,5,0.00,0.00%,100.00,100.00%,30.00,30.00%,28.00,28.00%,3.00,3.00%
gpt-4.1,153.00,38.25%,49.23%,25.00%,0.750,24.54,4,50.00,50.00%,100.00,100.00%,N/A,N/A,0.00,0.00%,3.00,3.00%
DeepSeek-R1-Distill-Llama-70B,128.00,32.00%,49.70%,25.00%,0.895,312.65,4,25.00,25.00%,100.00,100.00%,N/A,N/A,0.00,0.00%,3.00,3.00%
Qwen3-32B,128.00,25.60%,42.67%,20.00%,1.126,11.02,5,25.00,25.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
Qwen3-4B,110.00,22.00%,28.23%,20.00%,1.012,11.91,5,0.00,0.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,3.00,3.00%
Qwen3-8B,110.00,22.00%,28.91%,20.00%,1.090,21.75,5,0.00,0.00%,100.00,100.00%,7.00,7.00%,0.00,0.00%,3.00,3.00%
grok-4-fast-reasoning,103.00,34.33%,46.69%,33.33%,0.260,59.91,3,N/A,N/A,N/A,N/A,100.00,100.00%,0.00,0.00%,3.00,3.00%
OlympicCoder-7B,103.00,25.75%,29.96%,25.00%,0.733,9.13,4,0.00,0.00%,100.00,100.00%,N/A,N/A,0.00,0.00%,3.00,3.00%
deepseek-reasoner,103.00,20.60%,31.15%,20.00%,0.148,10.03,5,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
Qwen3-14B,103.00,20.60%,27.59%,20.00%,1.064,14.46,5,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
OpenCodeReasoning-Nemotron-32B-IOI,100.00,33.33%,40.72%,33.33%,0.180,8.26,3,0.00,0.00%,100.00,100.00%,N/A,N/A,0.00,0.00%,N/A,N/A
seed-oss_2048,100.00,,20.00%,20.00%,0.026,5.62,5,0.00,,100.00,,0.00,,0.00,,0.00,
gpt-oss-20b-low,100.00,20.00%,20.68%,20.00%,0.176,8.15,5,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_4096,100.00,,20.48%,20.00%,0.518,6.45,5,0.00,,100.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,56.00,14.00%,32.66%,0.00%,0.455,295.72,4,25.00,25.00%,31.00,31.00%,N/A,N/A,0.00,0.00%,0.00,0.00%
Llama-4-Scout,56.00,11.20%,27.68%,0.00%,0.502,210.59,5,25.00,25.00%,31.00,31.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,56.00,14.00%,32.66%,0.00%,0.975,9.48,4,25.00,25.00%,31.00,31.00%,N/A,N/A,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,31.00,7.75%,21.21%,0.00%,1.613,10.13,4,0.00,0.00%,31.00,31.00%,N/A,N/A,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,28.00,7.00%,29.02%,0.00%,0.495,232.06,4,25.00,25.00%,0.00,0.00%,N/A,N/A,0.00,0.00%,3.00,3.00%
Qwen3-8B-Non-Thinking,28.00,7.00%,27.52%,0.00%,0.497,290.37,4,25.00,25.00%,0.00,0.00%,N/A,N/A,0.00,0.00%,3.00,3.00%
Qwen2.5-Coder-7B-Instruct,15.00,3.75%,13.58%,0.00%,0.233,308.35,4,15.00,15.00%,0.00,0.00%,N/A,N/A,0.00,0.00%,0.00,0.00%
seed-oss_1024,0.00,,0.23%,0.00%,0.030,2.69,5,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,0.00,,0.00%,0.00%,0.032,4.18,5,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,0.00,,1.32%,0.00%,0.046,16.25,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,0.00%,4.50%,0.00%,0.660,12.12,4,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%,0.00,0.00%
