Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,battle,battle_rel,covid,covid_rel,editor,editor_rel,sprinklers,sprinklers_rel,stations,stations_rel,toy,toy_rel
gpt-oss-120b_sp3,60.00,10.00%,49.59%,0.00%,0.232,74.76,6,36.00,36.00%,10.00,10.00%,5.00,5.00%,9.00,9.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,59.00,,39.97%,0.00%,0.405,345.62,6,6.00,,10.00,,5.00,,3.00,,0.00,,35.00,
seed-oss_8192,59.00,,39.33%,0.00%,1.892,335.48,6,6.00,,10.00,,5.00,,3.00,,0.00,,35.00,
seed-oss_-1,48.00,8.00%,50.20%,0.00%,0.902,530.74,6,6.00,6.00%,10.00,10.00%,5.00,5.00%,9.00,9.00%,18.00,18.00%,0.00,0.00%
gpt-oss-20b-low,46.00,7.67%,31.51%,0.00%,0.318,34.70,6,36.00,36.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,33.00,5.50%,35.34%,0.00%,1.297,134.84,6,6.00,6.00%,0.00,0.00%,0.00,0.00%,9.00,9.00%,18.00,18.00%,0.00,0.00%
Qwen3-32B,30.00,,41.65%,0.00%,0.135,13.32,6,6.00,,10.00,,5.00,,9.00,,0.00,,0.00,
deepseek-reasoner,30.00,5.00%,42.07%,0.00%,0.688,70.34,6,6.00,6.00%,10.00,10.00%,5.00,5.00%,9.00,9.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,30.00,5.00%,28.92%,0.00%,1.338,211.54,6,0.00,0.00%,10.00,10.00%,0.00,0.00%,6.00,6.00%,0.00,0.00%,14.00,14.00%
Qwen3-30B,26.00,,28.93%,0.00%,1.540,201.75,6,6.00,,0.00,,14.00,,6.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,24.00,4.00%,20.60%,0.00%,0.847,86.50,6,0.00,0.00%,10.00,10.00%,14.00,14.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,22.00,3.67%,36.29%,0.00%,1.863,76.40,6,6.00,6.00%,10.00,10.00%,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,20.00,,14.73%,0.00%,1.283,194.65,6,0.00,,0.00,,0.00,,20.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,20.00,3.33%,18.15%,0.00%,1.672,232.79,6,6.00,6.00%,0.00,0.00%,14.00,14.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,19.00,3.17%,31.95%,0.00%,0.213,15.30,6,0.00,0.00%,10.00,10.00%,0.00,0.00%,9.00,9.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,17.00,2.83%,14.61%,0.00%,1.310,90.85,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,17.00,17.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,16.00,2.67%,20.78%,0.00%,0.080,3.70,6,0.00,0.00%,10.00,10.00%,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,16.00,,27.10%,0.00%,0.403,88.75,6,6.00,,10.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B,16.00,2.67%,32.88%,0.00%,0.943,416.47,6,6.00,6.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,16.00,2.67%,20.27%,0.00%,1.752,8.00,6,0.00,0.00%,10.00,10.00%,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,16.00,2.67%,20.93%,0.00%,1.818,9.60,6,0.00,0.00%,10.00,10.00%,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,13.00,2.17%,19.75%,0.00%,1.067,214.74,6,0.00,0.00%,10.00,10.00%,0.00,0.00%,3.00,3.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,10.00,10.00%,66.67%,0.00%,0.240,1.55,1,N/A,N/A,10.00,10.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Qwen2.5-72B,10.00,,18.37%,0.00%,0.333,192.49,6,0.00,,10.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,10.00,1.67%,17.47%,0.00%,1.502,10.95,6,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,6.00,,20.74%,0.00%,0.507,37.28,6,0.00,,0.00,,0.00,,6.00,,0.00,,0.00,
seed-oss_4096,6.00,,13.87%,0.00%,0.813,91.93,6,6.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,6.00,1.00%,23.23%,0.00%,1.357,128.35,6,6.00,6.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Qwen-32B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,1.61%,0.00%,0.005,0.43,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,2.37%,0.00%,0.020,1.58,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,6.64%,0.00%,0.065,3.09,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,0.00,0.00%,5.72%,0.00%,0.067,5.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_512,0.00,,10.29%,0.00%,0.263,291.11,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,6.53%,0.00%,0.542,7.57,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,0.00,,15.85%,0.00%,0.625,203.89,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
