Rank,Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Count,Avg Human Percentile,Avg Human Percentile (Competition)
23,Qwen3-14B,14,74,1047.0,1047.0,15.608378378378378,30.475540540540546,8.108513513513513,0,1,2,3,10,24.68623913478096,24.42801151435671
24,seed-oss_4096,13,68,703.0,703.0,10.382205882352942,17.934264705882352,5.88235294117647,0,0,3,3,9,19.803301962723516,18.75440300834253
25,gpt-4.1,14,74,1105.0,1105.0,15.45972972972973,30.110810810810808,6.756756756756757,1,1,0,2,10,25.248799444269558,21.468777458574774
26,OlympicCoder-7B,14,74,885.0,885.0,12.162162162162161,21.077162162162168,9.234054054054054,1,0,1,2,10,20.382596221184123,18.662161725117663
27,DeepSeek-R1-Distill-Llama-70B,14,74,1037.0,1037.0,14.256891891891891,26.26243243243243,6.756891891891891,0,1,1,2,10,22.563858654502802,22.960866025172603
28,Qwen3-8B,14,74,1062.0,1062.0,15.73027027027027,28.483648648648646,7.882567567567568,0,0,2,2,10,25.13692851465792,24.667165533892586
29,QwQ-32B,14,74,741.0,741.0,11.27,24.36635135135135,5.40527027027027,0,0,2,2,10,16.088064543445448,16.064080489006603
30,OpenCodeReasoning-Nemotron-32B-IOI,14,74,739.0,739.0,11.24418918918919,23.37,7.432702702702702,0,0,2,2,10,19.10046920830678,18.97289427262391
31,Mistral-Large-Instruct-2411,14,74,518.0,518.0,7.244054054054053,19.26391891891892,4.054324324324324,0,0,2,2,10,13.332729046699708,13.594327098781744
32,seed-oss_2048,13,68,510.0,510.0,7.896764705882354,15.34794117647059,4.4119117647058825,0,0,2,2,9,15.727906912856838,15.355031914922913
33,Qwen2.5-Coder-14B-Instruct,14,74,479.0,479.0,6.473108108108108,16.145675675675676,4.054324324324324,0,0,2,2,10,13.170566483927834,13.41288942544214
34,Mistral-Small-3.1-24B-2503,14,74,460.0,460.0,6.257162162162162,13.461216216216219,4.054189189189189,0,0,2,2,10,13.068550594071366,13.022984475936568
35,deepseek-chat,14,74,839.0,839.0,11.379054054054054,25.312432432432434,5.405540540540541,0,1,0,1,10,19.62918646350619,16.417221895318054
36,Qwen3-32B-Non-Thinking,14,74,666.0,666.0,9.000945945945945,19.141486486486485,4.054324324324324,0,0,1,1,10,14.880187211008414,14.144145609496196
37,Llama-3.3-70B-Instruct,13,68,553.0,553.0,8.131911764705883,20.874558823529412,2.941176470588235,0,0,1,1,9,16.289269444302366,16.08293165343865
38,DeepSeek-R1-Distill-Qwen-14B,14,74,528.0,528.0,7.135135135135135,12.950540540540539,2.477027027027027,0,0,1,1,10,14.47582690368086,11.62595534248216
39,DeepSeek-R1-Distill-Qwen-32B,14,74,519.0,519.0,7.580810810810811,15.338648648648645,0.0,0,0,1,1,10,13.725962961344774,11.432497486458749
40,Llama-4-Scout,14,74,471.0,471.0,6.36554054054054,16.10824324324324,2.7028378378378375,0,0,1,1,10,13.94741706359882,13.256258334057412
41,Qwen2.5-72B,13,68,466.0,466.0,6.8975,18.326911764705876,2.941029411764706,0,0,1,1,9,13.334335065422696,11.830147307305896
42,Qwen3-14B-Non-Thinking,14,74,348.0,348.0,4.702432432432433,13.792162162162164,1.3513513513513513,0,0,1,1,10,11.696976244884555,10.370766592863005
43,Qwen3-4B-Non-Thinking,14,74,276.0,276.0,3.7299999999999995,9.527297297297297,2.7025675675675673,0,0,1,1,10,8.447303978093487,6.650801859055693
44,seed-oss_512,13,68,274.0,274.0,4.074117647058823,9.86705882352941,1.4708823529411763,0,0,1,1,9,11.855401421503247,11.538485162312325
45,Qwen3-4B,14,74,513.0,513.0,7.703108108108108,20.40027027027027,2.7027027027027026,0,0,0,0,10,10.741640967752776,10.463049816249129
46,Codestral-22B-v0.1,14,74,395.0,395.0,5.378918918918918,10.079459459459459,2.477027027027027,0,0,0,0,10,11.23438104851492,9.808521269806032
47,seed-oss_1024,13,68,391.0,391.0,5.795147058823529,12.978529411764706,4.412058823529412,0,0,0,0,9,11.38483295740282,12.35118131301317
48,Qwen2.5-Coder-32B-Instruct,14,74,316.0,316.0,4.392432432432432,18.712027027027027,1.3513513513513513,0,0,0,0,10,8.210654639257458,7.5997885535473655
49,Qwen3-8B-Non-Thinking,14,74,285.0,285.0,4.215945945945946,11.521621621621621,0.0,0,0,0,0,10,10.580862450340192,9.778695933664789
50,seed-oss_0,13,68,284.0,284.0,4.220882352941176,9.174264705882353,2.941470588235294,0,0,0,0,9,9.024182095609119,9.713865869316786
51,DeepSeek-Coder-V2-Lite-Instruct,14,74,278.0,278.0,3.7981081081081074,9.575945945945945,0.0,0,0,0,0,10,7.489202472266293,6.594241779912376
52,Llama-3.1-8B-Instruct,14,74,266.0,266.0,3.6354054054054052,7.599864864864865,0.0,0,0,0,0,10,8.217624509439952,7.895081515975759
53,Qwen3-30B-Non-Thinking,14,74,248.0,248.0,3.3913513513513514,12.334459459459458,1.3513513513513513,0,0,0,0,10,6.1371901365493295,5.327147264718481
54,claude-haiku-4.5,3,11,233.0,233.0,21.184545454545454,36.983636363636364,0.0,0,0,0,0,2,17.996858341271036,15.068682007319397
55,Qwen2.5-Coder-7B-Instruct,12,68,127.0,127.0,1.912205882352941,5.731323529411764,1.4705882352941175,0,0,0,0,9,1.7285026758317275,1.859473138362303
56,OlympicCoder-32B,2,12,125.0,125.0,10.415000000000001,25.645,0.0,0,0,0,0,2,11.532331511839708,11.532331511839708
57,DeepSeek-R1-Distill-Llama-8B,14,74,7.0,7.0,0.09445945945945947,1.0227027027027027,0.0,0,0,0,0,10,3.9523090808476407,3.173570592052041
58,DeepSeek-R1-Distill-Qwen-7B,12,60,0.0,0.0,0.0,0.34750000000000003,0.0,0,0,0,0,8,4.531865085052545,3.893022843544009
